id,Title,Authors,Source Title,Year,exclude,reason,lat,lon,elevation,city,country,human.population,human.density,GI type,GI.control,ecological.measure,intentional.species,intentional.abd,abiotic.measure,distance.greenspace,site.number,area,perimeter,height
108,"Ecosystem services provided by urban gardens in Barcelona, Spain: Insights for policy and planning","Camps-Calvet, Marta; Langemeyer, Johannes; Calvet-Mir, Laura; Gomez-Baggethun, Erik",ENVIRONMENTAL SCIENCE & POLICY,2016,,,,,,,,,,,,,,,,,,,,
109,The role of urban green infrastructure in offsetting carbon emissions in 35 major Chinese cities: A nationwide estimate,"Chen, Wendy Y.",CITIES,2015,,,,,,,,,,,,,,,,,,,,
110,Integrating community gardens into public parks: An innovative approach for providing ecosystem services in urban areas,"Middle, Isaac; Dzidic, Peta; Buckley, Amma; Bennett, Dawn; Tye, Marian; Jones, Roy",URBAN FORESTRY & URBAN GREENING,2014,,,,,,,,,,,,,,,,,,,,
111,"A comprehensive sustainability appraisal of water governance in Phoenix, AZ","Larson, Kelli L.; Wiek, Arnim; Keeler, Lauren Withycombe",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2013,,,,,,,,,,,,,,,,,,,,
112,Fading from the forest: Bird community shifts related to urban park site-specific and landscape traits,"MacGregor-Fors, Ian; Ortega-Alvarez, Ruben",URBAN FORESTRY & URBAN GREENING,2011,,,,,,,,,,,,,,,,,,,,
113,Maryland's Green Infrastructure - Using landscape assessment tools to identify a regional conservation strategy,"Weber, T; Wolf, J",ENVIRONMENTAL MONITORING AND ASSESSMENT,2000,,,,,,,,,,,,,,,,,,,,
114,Vertical greenery systems for energy savings in buildings: A comparative study between green walls and green facades,"Coma, Julia; Perez, Gabriel; de Gracia, Alvaro; Bures, Silvia; Urrestarazu, Miguel; Cabeza, Luisa F.",BUILDING AND ENVIRONMENT,2017,,,,,,,,,,,,,,,,,,,,
115,The value of urban ecosystem services in New York City: A spatially explicit multicriteria analysis of landscape scale valuation scenarios,"Kremer, Peleg; Hamstead, Zoe A.; McPhearson, Timon",ENVIRONMENTAL SCIENCE & POLICY,2016,,,,,,,,,,,,,,,,,,,,
116,Adaptive governance to promote ecosystem services in urban green spaces,"Green, Olivia Odom; Garmestani, Ahjond S.; Albro, Sandra; Ban, Natalie C.; Berland, Adam; Burkman, Caitlin E.; Gardiner, Mary M.; Gunderson, Lance; Hopton, Matthew E.; Schoon, Michael L.; Shuster, William D.",URBAN ECOSYSTEMS,2016,,,,,,,,,,,,,,,,,,,,
117,Soil bioretention protects juvenile salmon and their prey from the toxic impacts of urban stormwater runoff,"McIntyre, J. K.; Davis, J. W.; Hinman, C.; Macneale, K. H.; Anulacion, B. F.; Scholz, N. L.; Stark, J. D.",CHEMOSPHERE,2015,,,,,,,,,,,,,,,,,,,,
118,A Financial and Environmental Analysis of Constructed Wetlands for Industrial Wastewater Treatment,"DiMuro, Johnathan L.; Guertin, France M.; Helling, Rich K.; Perkins, Jessica L.; Romer, Scanlon",JOURNAL OF INDUSTRIAL ECOLOGY,2014,,,,,,,,,,,,,,,,,,,,
119,"Differential community and the perception of urban green spaces and their contents in the megacity of Karachi, Pakistan","Qureshi, Salman; Breuste, Juergen H.; Jim, C. Y.",URBAN ECOSYSTEMS,2013,,,,,,,,,,,,,,,,,,,,
120,The ecological imperative for environmental design and planning,"Steiner, Frederick; Simmons, Mark; Gallagher, Mark; Ranganathan, Janet; Robertson, Colin",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2013,,,,,,,,,,,,,,,,,,,,
121,Molecular identification of green algae from the rafts based infrastructure of Porphyra yezoensis,"Shen, Qi; Li, Hongye; Li, Yan; Wang, Zongling; Liu, Jiesheng; Yang, Weidong",MARINE POLLUTION BULLETIN,2012,,,,,,,,,,,,,,,,,,,,
122,Do railway edges provide functional connectivity for plant communities in an urban context?,"Penone, Caterina; Machon, Nathalie; Julliard, Romain; Le Viol, Isabelle",BIOLOGICAL CONSERVATION,2012,,,,,,,,,,,,,,,,,,,,
123,"Integrated Urban Land-Use Planning Based on Improving Ecosystem Service: Panyu Case, in a Typical Developed Area of China","Yu, Deyong; Jiang, Yuan; Kang, Muyi; Tian, Yuhong; Duan, Jin",JOURNAL OF URBAN PLANNING AND DEVELOPMENT-ASCE,2011,,,,,,,,,,,,,,,,,,,,
124,Two-dimensional gap analysis: A tool for efficient conservation planning and biodiversity policy implementation,"Angelstam, P; Mikusinski, G; Ronnback, BI; Ostman, A; Lazdinis, M; Roberge, JM; Arnberg, W; Olsson, J",AMBIO,2003,,,,,,,,,,,,,,,,,,,,
125,Regulating Ecosystem Services of forests in ten Italian Metropolitan Cities: Air quality improvement by PM10 and O-3 removal,"Manes, F.; Marando, F.; Capotorti, G.; Blasi, C.; Salvatori, E.; Fusaro, L.; Ciancarella, L.; Mircea, M.; Marchetti, M.; Chirici, G.; Munafo, M.",ECOLOGICAL INDICATORS,2016,,,,,,,,,,,,,,,,,,,,
126,Understanding spatial patterns in the production of multiple urban ecosystem services,"Holt, Alison R.; Mears, Meghann; Maltby, Lorraine; Warren, Philip",ECOSYSTEM SERVICES,2015,,,,,,,,,,,,,,,,,,,,
127,Contrasting values of cultural ecosystem services in urban areas: The case of park Montjuic in Barcelona,"Langemeyer, Johannes; Baro, Francesc; Roebeling, Peter; Gomez-Baggethun, Erik",ECOSYSTEM SERVICES,2015,,,,,,,,,,,,,,,,,,,,
128,Zebrafish and clean water technology: Assessing soil bioretention as a protective treatment for toxic urban runoff,"McIntyre, J. K.; Davis, J. W.; Incardona, J. P.; Stark, J. D.; Anulacion, B. F.; Scholz, N. L.",SCIENCE OF THE TOTAL ENVIRONMENT,2014,,,,,,,,,,,,,,,,,,,,
129,The potential of school green areas to improve urban green connectivity and multifunctionality,"Ioja, Cristian Loan; Gradinaru, Simona Raluca; Onose, Diana Andreea; Vanau, Gabriel Ovidiu; Tudor, Alina Constantina",URBAN FORESTRY & URBAN GREENING,2014,,,,,,,,,,,,,,,,,,,,
130,Using forest history and spatial patterns to identify potential high conservation value forests in Romania,"Patru-Stupariu, Ileana; Angelstam, Per; Elbakidze, Marine; Huzui, Alina; Andersson, Kjell",BIODIVERSITY AND CONSERVATION,2013,,,,,,,,,,,,,,,,,,,,
131,Key insights for the future of urban ecosystem services research,"Kremer, Peleg; Hamstead, Zoe; Haase, Dagmar; McPhearson, Timon; Frantzeskaki, Niki; Andersson, Erik; Kabisch, Nadja; Larondelle, Neele; Rall, Emily L.; Voigt, Annette; Baro, Francesc; Bertram, Christine; Gomez-Baggethun, Erik; Hansen, Rieke; Kaczorowska, Anna; Kain, Jaan-Henrik; Kronenberg, Jakub; Langemeyer, Johannes; Pauleit, Stephan; Rehdanz, Katrin; Schewenius, Maria; van Ham, Chantal; Wurster, Daniel; Elmqvist, Thomas",ECOLOGY AND SOCIETY,2016,,,,,,,,,,,,,,,,,,,,
132,Framing ecosystem services: Affecting behaviour of actors in collaborative landscape planning?,"Opdam, Paul; Coninx, Ingrid; Dewulf, Art; Steingrover, Eveliene; Vos, Claire; van der Wal, Merel",LAND USE POLICY,2015,,,,,,,,,,,,,,,,,,,,
