id,Title,Authors,Source Title,Year,exclude,reason,lat,lon,elevation,city,country,human.population,human.density,GI type,GI.control,ecological.measure,intentional.species,intentional.abd,abiotic.measure,distance.greenspace,site.number,area,perimeter,height
190,The Portrayal of Natural Environment in the Evolution of the Ecological Public Health Paradigm,"Coutts, Christopher; Forkink, Annet; Weiner, Jocelyn",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2014,,,,,,,,,,,,,,,,,,,,
191,Urban ecosystems and sustainable urban development-analysing and assessing interacting systems in the Stockholm region,"Mortberg, Ulla; Haas, Jan; Zetterberg, Andreas; Franklin, Joel P.; Jonsson, Daniel; Deal, Brian",URBAN ECOSYSTEMS,2013,,,,,,,,,,,,,,,,,,,,
192,Urban land use types contribute to grassland conservation: The example of Berlin,"Fischer, Leonie K.; von der Lippe, Moritz; Kowarik, Ingo",URBAN FORESTRY & URBAN GREENING,2013,,,,,,,,,,,,,,,,,,,,
193,Resilient ecological solutions for urban regeneration,"Hale, James David; Sadler, Jon",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-ENGINEERING SUSTAINABILITY,2012,,,,,,,,,,,,,,,,,,,,
194,Impact of ecological disturbance on awareness of urban nature and sense of environmental stewardship in residential neighborhoods,"Hunter, MaryCarol R.",LANDSCAPE AND URBAN PLANNING,2011,,,,,,,,,,,,,,,,,,,,
195,"The negative approach to urban growth planning of Beijing, China","Yu, Kongjian; Wang, Sisi; Li, Dihua",JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,2011,,,,,,,,,,,,,,,,,,,,
196,The forgotten and the future: reclaiming back alleys for a sustainable city,"Wolch, Jennifer; Newell, Josh; Seymour, Mona; Huang, Hilary Bradbury; Reynolds, Kim; Mapes, Jennifer",ENVIRONMENT AND PLANNING A,2010,,,,,,,,,,,,,,,,,,,,
197,Green infrastructure practices for improvement of urban air quality,"Jayasooriya, V. M.; Ng, A. W. M.; Muthukumaran, S.; Perera, B. J. C.",URBAN FORESTRY & URBAN GREENING,2017,,,,,,,,,,,,,,,,,,,,
198,"Quantifying flood mitigation services: The economic value of Otter Creek wetlands and floodplains to Middlebury, VT","Watson, Keri B.; Ricketts, Taylor; Galford, Gillian; Polasky, Stephen; O'Niel-Dunne, Jarlath",ECOLOGICAL ECONOMICS,2016,,,,,,,,,,,,,,,,,,,,
199,yy Ecosystem services in urban planning: Comparative paradigms and guidelines for high quality plans,"Woodruff, Sierra C.; BenDor, Todd K.",LANDSCAPE AND URBAN PLANNING,2016,,,,,,,,,,,,,,,,,,,,
200,"The loss of land devoted to allotment gardening: The context of the contrasting pressures of urban planning, public and private interests in Prague, Czechia","Spilkova, Jana; Vagner, Jiri",LAND USE POLICY,2016,,,,,,,,,,,,,,,,,,,,
201,A quantitative assessment of shoot flammability for 60 tree and shrub species supports rankings based on expert opinion,"Wyse, Sarah V.; Perry, George L. W.; O'Connell, Dean M.; Holland, Phillip S.; Wright, Monique J.; Hosted, Catherine L.; Whitelock, Samuel L.; Geary, Ian J.; Maurin, Kevin J. L.; Curran, Timothy J.",INTERNATIONAL JOURNAL OF WILDLAND FIRE,2016,,,,,,,,,,,,,,,,,,,,
202,Using recycled aggregates in green roof substrates for plant diversity,"Molineux, Chloe J.; Gange, Alan C.; Connop, Stuart P.; Newport, Darryl J.",ECOLOGICAL ENGINEERING,2015,,,,,,,,,,,,,,,,,,,,
203,Green infrastructure as a climate change adaptation policy intervention: Muddying the waters or clearing a path to a more secure future?,"Sussams, L. W.; Sheate, W. R.; Eales, R. P.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2015,,,,,,,,,,,,,,,,,,,,
204,Front gardens to car parks: Changes in garden permeability and effects on flood regulation,"Warhurst, Jennifer R.; Parks, Katherine E.; McCulloch, Lindsay; Hudson, Malcolm D.",SCIENCE OF THE TOTAL ENVIRONMENT,2014,,,,,,,,,,,,,,,,,,,,
205,Planning for multifunctional urban green infrastructures: Promises and challenges,"Madureira, Helena; Andresen, Teresa",URBAN DESIGN INTERNATIONAL,2014,,,,,,,,,,,,,,,,,,,,
206,"On the network, off the map: developing intervillage and intragender differentiation in rural water supply","Birkenholtz, Trevor",ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,2013,,,,,,,,,,,,,,,,,,,,
207,Benefits and Challenges of Linking Green Infrastructure and Highway Planning in the United States,"Marcucci, Daniel J.; Jordan, Lauren M.",ENVIRONMENTAL MANAGEMENT,2013,,,,,,,,,,,,,,,,,,,,
208,Relationship Between Greenways and Ecological Network: A Case Study in Italy,"Fumagalli, N.; Toccolini, A.",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,2012,,,,,,,,,,,,,,,,,,,,
209,Re-thinking wastewater landscapes: combining innovative strategies to address tomorrow's urban wastewater treatment challenges,"Smith, B. R.",WATER SCIENCE AND TECHNOLOGY,2009,,,,,,,,,,,,,,,,,,,,
210,Urban green infrastructure and urban forests: a case study of the Metropolitan Area of Milan,"Sanesi, Giovanni; Colangelo, Giuseppe; Lafortezza, Raffaele; Calvo, Enrico; Davies, Clive",LANDSCAPE RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
211,Novel and designed ecosystems,"Higgs, Eric",RESTORATION ECOLOGY,2017,,,,,,,,,,,,,,,,,,,,
212,Is urban green space per capita a valuable target to achieve cities' sustainability goals? Romania as a case study,"Badiu, Denisa L.; Ioja, Cristian I.; Patroescu, Maria; Breuste, Juergen; Artmann, Martina; Nita, Mihai R.; Gradinaru, Simona R.; Hossu, Constantina A.; Onose, Diana A.",ECOLOGICAL INDICATORS,2016,,,,,,,,,,,,,,,,,,,,
213,Biodiversity and Green Infrastructure in Europe: Boundary object or ecological trap?,"Garmendia, Eneko; Apostolopoulou, Evangelia; Adams, William M.; Bormpoudakis, Dimitrios",LAND USE POLICY,2016,,,,,,,,,,,,,,,,,,,,
214,Active citizenship for urban green infrastructure: fostering the diversity and dynamics of citizen contributions through mosaic governance,"Buijs, Arjen E.; Mattijssen, Thomas J. M.; Van der Jagt, Alexander P. N.; Ambrose-Oji, Bianca; Andersson, Erik; Elands, Birgit H. M.; Moller, Maja Steen",CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,2016,,,,,,,,,,,,,,,,,,,,
215,Toward livable and healthy urban streets: Roadside vegetation provides ecosystem services where people live and move,"Saeumel, Ina; Weber, Frauke; Kowarik, Ingo",ENVIRONMENTAL SCIENCE & POLICY,2016,,,,,,,,,,,,,,,,,,,,
216,Multifunctional floodplain management and biodiversity effects: a knowledge synthesis for six European countries,"Schindler, Stefan; O'Neill, Fionnuala H.; Biro, Marianna; Damm, Christian; Gasso, Viktor; Kanka, Robert; van der Sluis, Theo; Krug, Andreas; Lauwaars, Sophie G.; Sebesvari, Zita; Pusch, Martin; Baranovsky, Boris; Ehlert, Thomas; Neukirchen, Bernd; Martin, James R.; Euller, Katrin; Mauerhofer, Volker; Wrbka, Thomas",BIODIVERSITY AND CONSERVATION,2016,,,,,,,,,,,,,,,,,,,,
217,Coho salmon spawner mortality in western US urban watersheds: bioinfiltration prevents lethal storm water impacts,"Spromberg, Julann A.; Baldwin, David H.; Damm, Steven E.; McIntyre, Jenifer K.; Huff, Michael; Sloan, Catherine A.; Anulacion, Bernadita F.; Davis, Jay W.; Scholz, Nathaniel L.",JOURNAL OF APPLIED ECOLOGY,2016,,,,,,,,,,,,,,,,,,,,
218,Green Infrastructure Design Based on Spatial Conservation Prioritization and Modeling of Biodiversity Features and Ecosystem Services,"Snall, Tord; Lehtomaki, Joona; Arponen, Anni; Elith, Jane; Moilanen, Atte",ENVIRONMENTAL MANAGEMENT,2016,,,,,,,,,,,,,,,,,,,,
219,Progress and Recommendations for Advancing Performance-Based Sustainable and Resilient Infrastructure Design,"Minsker, Barbara; Baldwin, Lily; Crittenden, John; Kabbes, Karen; Karamouz, Mohammad; Lansey, Kevin; Malinowski, Patricia; Nzewi, Emmanuel; Pandit, Arka; Parker, John; Rivera, Samuel; Surbeck, Cristiane; Wallace, William A.; Williams, John",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,2015,,,,,,,,,,,,,,,,,,,,
220,"NDVI-Based Analysis on the Influence of Climate Change and Human Activities on Vegetation Restoration in the Shaanxi-Gansu-Ningxia Region, Central China","Li, Shuangshuang; Yang, Saini; Liu, Xianfeng; Liu, Yanxu; Shi, Mimi",REMOTE SENSING,2015,,,,,,,,,,,,,,,,,,,,
221,Special Issue on Green Infrastructure for Urban Sustainability,"Breuste, Juergen; Artmann, Martina; Li, Junxiang; Xie, Miaomiao",JOURNAL OF URBAN PLANNING AND DEVELOPMENT,2015,,,,,,,,,,,,,,,,,,,,
222,Influence of Park Size and Its Surrounding Urban Landscape Patterns on the Park Cooling Effect,"Cheng, Xiaoyun; Wei, Bensheng; Chen, Guojian; Li, Junxiang; Song, Conghe",JOURNAL OF URBAN PLANNING AND DEVELOPMENT,2015,,,,,,,,,,,,,,,,,,,,
223,"Comparison of Runoff Quality and Quantity from a Commercial Low- Impact and Conventional Development in Raleigh, North Carolina","Wilson, C. E.; Hunt, W. F.; Winston, R. J.; Smith, P.",JOURNAL OF ENVIRONMENTAL ENGINEERING,2015,,,,,,,,,,,,,,,,,,,,
224,Urban and pen-urban forests in the metropolitan area of Rome: Ecophysiological response of Quercus ilex L. in two green infrastructures in an ecosystem services perspective,"Fusaro, Lina; Salvatori, Elisabetta; Mereu, Simone; Marando, Federica; Scassellati, Elisabetta; Abbate, Giovanna; Manes, Fausto",URBAN FORESTRY & URBAN GREENING,2015,,,,,,,,,,,,,,,,,,,,
225,Chlorophyll a fluorescence of perennial ryegrass (Lolium perenne L.) varieties under long term exposure to shade,"Dabrowski, Piotr; Pawluskiewicz, Bogumila; Baczewska, Aneta Helena; Oglecki, Pawel; Kalaji, Hazem",ZEMDIRBYSTE-AGRICULTURE,2015,,,,,,,,,,,,,,,,,,,,
226,Rethinking urban areas: an example of an integrated blue-green approach,"Rozos, E.; Makropoulos, C.; Maksimovic, C.",WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY,2013,,,,,,,,,,,,,,,,,,,,
227,Developing a complementary framework for urban ecology,"Kattel, Giri R.; Elkadi, Hisham; Meikle, Helen",URBAN FORESTRY & URBAN GREENING,2013,,,,,,,,,,,,,,,,,,,,
228,"Biodiversity, biosphere reserves, and the big apple - A study of the New York Metropolitan Region","Solecki, WD; Rosenzweig, C",URBAN BIOSPHERE AND SOCIETY: PARTNERSHIP OF CITIES,2004,,,,,,,,,,,,,,,,,,,,
229,Greening cities - To be socially inclusive? About the alleged paradox of society and ecology in cities,"Haase, Dagmar; Kabisch, Sigrun; Haase, Annegret; Andersson, Erik; Banzhaf, Ellen; Baro, Francesc; Brenck, Miriam; Fischer, Leonie K.; Frantzeskaki, Niki; Kabisch, Nadja; Krellenberg, Kerstin; Kremer, Peleg; Kronenberg, Jakub; Larondelle, Neele; Mathey, Juliane; Pauleit, Stephan; Ring, Irene; Rink, Dieter; Schwarz, Nina; Wolff, Manuel",HABITAT INTERNATIONAL,2017,,,,,,,,,,,,,,,,,,,,
230,Partitioning controls on Amazon forest photosynthesis between environmental and biotic factors at hourly to interannual timescales,"Wu, Jin; Guan, Kaiyu; Hayek, Matthew; Restrepo-Coupe, Natalia; Wiedemann, Kenia T.; Xu, Xiangtao; Wehr, Richard; Christoffersen, Bradley O.; Miao, Guofang; da Silva, Rodrigo; de Araujo, Alessandro C.; Oliviera, Raimundo C.; Camargo, Plinio B.; Monson, Russell K.; Huete, Alfredo R. .; Saleska, Scott R.",GLOBAL CHANGE BIOLOGY,2017,,,,,,,,,,,,,,,,,,,,
231,"The science, policy and practice of nature-based solutions: An interdisciplinary perspective","Nesshover, Carsten; Assmuth, Timo; Irvine, Katherine N.; Rusch, Graciela M.; Waylen, Kerry A.; Delbaere, Ben; Haase, Dagmar; Jones-Walters, Lawrence; Keune, Hans; Kovacs, Eszter; Krauze, Kinga; Kulvik, Mart; Rey, Freddy; Van Dijk, Jiska; Vistad, Odd Inge; Wilkinson, Mark E.; Wittmer, Heidi",SCIENCE OF THE TOTAL ENVIRONMENT,2017,,,,,,,,,,,,,,,,,,,,
232,Integrated valuation of a nature-based solution for water pollution control. Highlighting hidden benefits,"Liquete, Camino; Udias, Angel; Conte, Giulio; Grizzetti, Bruna; Masi, Fabio",ECOSYSTEM SERVICES,2016,,,,,,,,,,,,,,,,,,,,
233,Green infrastructure and ecosystem services - is the devil in the detail?,"Cameron, Ross W. F.; Blanusa, Tijana",ANNALS OF BOTANY,2016,,,,,,,,,,,,,,,,,,,,
234,Confirmation of Stormwater Bioretention Treatment Effectiveness Using Molecular Indicators of Cardiovascular Toxicity in Developing Fish,"McIntyre, Jenifer K.; Edmunds, Richard C.; Redig, Maria G.; Mudrock, Emma M.; Davis, Jay W.; Incardona, John P.; Stark, John D.; Scholz, Nathaniel L.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2016,,,,,,,,,,,,,,,,,,,,
235,Operationalizing ecosystem-based adaptation: harnessing ecosystem services to buffer communities against climate change,"Wamsler, Christine; Niven, Lisa; Beery, Thomas H.; Bramryd, Torleif; Ekelund, Nils; Jonsson, K. Ingemar; Osmani, Adelina; Palo, Thomas; Stalhammar, Sanna",ECOLOGY AND SOCIETY,2016,,,,,,,,,,,,,,,,,,,,
236,Identifying keystone meteorological factors of green-roof stormwater retention to inform design and planning,"Wong, Gwendolyn K. L.; Jim, C. Y.",LANDSCAPE AND URBAN PLANNING,2015,,,,,,,,,,,,,,,,,,,,
237,Semi-natural vegetation in agricultural land: European map and links to ecosystem service supply,"Garcia-Feced, Celia; Weissteiner, Christof Jakob; Baraldi, Andrea; Paracchini, Maria Luisa; Maes, Joachim; Zulian, Grazia; Kempen, Markus; Elbersen, Berien; Perez-Soba, Marta",AGRONOMY FOR SUSTAINABLE DEVELOPMENT,2015,,,,,,,,,,,,,,,,,,,,
238,"Urban Forests of Riga, Latvia - Pressures Naturalness, Attitudes and Management","Jankovska, Ilze; Straupe, Inga; Brumelis, Guntis; Donis, Janis; Kupfere, Liga",BALTIC FORESTRY,2014,,,,,,,,,,,,,,,,,,,,
239,"The green areas of San Juan, Puerto Rico","Ramos-Gonzalez, Olga M.",ECOLOGY AND SOCIETY,2014,,,,,,,,,,,,,,,,,,,,
240,Re-inventing the Urban Forest: The Rise of Arboriculture in Australia,"Davison, Aidan; Kirkpatrick, Jamie",URBAN POLICY AND RESEARCH,2014,,,,,,,,,,,,,,,,,,,,
241,Identification of top priority areas and management landscapes from a national Natura 2000 network,"Mikkonen, Ninni; Moilanen, Atte",ENVIRONMENTAL SCIENCE & POLICY,2013,,,,,,,,,,,,,,,,,,,,
242,Experiential Contacts with Green Infrastructure's Diversity and Well-being of Urban Community,"Mansor, Mazlina; Said, Ismail; Mohamad, Ismail",PROCEEDINGS OF THE 1ST NATIONAL CONFERENCE ON ENVIRONMENT-BEHAVIOUR STUDIES (1NCEBS),2012,,,,,,,,,,,,,,,,,,,,
243,"All about the 'wow factor'? The relationships between aesthetics, restorative effect and perceived biodiversity in designed urban planting","Hoyle, Helen; Hitchmough, James; Jorgensen, Anna",LANDSCAPE AND URBAN PLANNING,2017,,,,,,,,,,,,,,,,,,,,
244,Designing living walls for greywater treatment,"Fowdar, Harsha S.; Hatt, Belinda E.; Breen, Peter; Cook, Perran L. M.; Deletic, Ana",WATER RESEARCH,2017,,,,,,,,,,,,,,,,,,,,
245,Green infrastructure for urban climate adaptation: How do residents' views on climate impacts and green infrastructure shape adaptation preferences?,"Derkzen, Marthe L.; van Teeffelen, Astrid J. A.; Verburg, Peter H.",LANDSCAPE AND URBAN PLANNING,2017,,,,,,,,,,,,,,,,,,,,
246,Human-biodiversity interactions in urban parks: The species level matters,"Palliwoda, Julia; Kowarik, Ingo; von der Lippe, Moritz",LANDSCAPE AND URBAN PLANNING,2017,,,,,,,,,,,,,,,,,,,,
247,Biodiversity functions of urban cemeteries: Evidence from one of the largest Jewish cemeteries in Europe,"Kowarik, Ingo; Buchholz, Sascha; von der Lippe, Moritz; Seitz, Birgit",URBAN FORESTRY & URBAN GREENING,2016,,,,,,,,,,,,,,,,,,,,
248,Climate adaptation in cities: What trees are suitable for urban heat management?,"Lanza, Kevin; Stone, Brian, Jr.",LANDSCAPE AND URBAN PLANNING,2016,,,,,,,,,,,,,,,,,,,,
249,"To green or not to green: Establishing the economic value of green infrastructure investments in The Wicker, Sheffield","Mell, Ian C.; Henneberry, John; Hehl-Lange, Sigrid; Keskin, Berna",URBAN FORESTRY & URBAN GREENING,2016,,,,,,,,,,,,,,,,,,,,
250,Holistic valuation of urban ecosystem services in New York City's Central Park,"Sutton, Paul C.; Anderson, Sharolyn J.",ECOSYSTEM SERVICES,2016,,,,,,,,,,,,,,,,,,,,
251,Building height matters: nesting activity of bees and wasps on vegetated roofs,"MacIvor, J. Scott",ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,2016,,,,,,,,,,,,,,,,,,,,
252,Tree Species Suitability to Bioswales and Impact on the Urban Water Budget,"Scharenbroch, Bryant C.; Morgenroth, Justin; Maule, Brian",JOURNAL OF ENVIRONMENTAL QUALITY,2016,,,,,,,,,,,,,,,,,,,,
253,"Substrate depth and roof age strongly affect plant abundances on sedum-moss and meadow green roofs in Helsinki, Finland","Gabrych, Malgorzata; Kotze, D. Johan; Lehvavirta, Susanna",ECOLOGICAL ENGINEERING,2016,,,,,,,,,,,,,,,,,,,,
254,Assessing growth performance and deficiency of climber species on tropical greenwalls,"Jim, C. Y.",LANDSCAPE AND URBAN PLANNING,2015,,,,,,,,,,,,,,,,,,,,
255,"Finding solutions to water scarcity: Incorporating ecosystem service values into business planning at The Dow Chemical Company's Freeport, TX facility","Reddy, Sheila M. W.; McDonald, Robert I.; Maas, Alexander S.; Rogers, Anthony; Girvetz, Evan H.; North, Jeffrey; Molnar, Jennifer; Finley, Tim; Leathers, Gena; DiMuro, Johnathan L.",ECOSYSTEM SERVICES,2015,,,,,,,,,,,,,,,,,,,,
256,Understanding the potential loss and inequities of green space distribution with urban densification,"Lin, Brenda; Meyers, Jacqui; Barnett, Guy",URBAN FORESTRY & URBAN GREENING,2015,,,,,,,,,,,,,,,,,,,,
257,Estimation of leaf area index in isolated trees with digital photography and its application to urban forestry,"Chianucci, Francesco; Puletti, Nicola; Giacomello, Elena; Cutini, Andrea; Corona, Piermaria",URBAN FORESTRY & URBAN GREENING,2015,,,,,,,,,,,,,,,,,,,,
258,Effects of stormwater management and stream restoration on watershed nitrogen retention,"Newcomer Johnson, Tamara A.; Kaushal, Sujay S.; Mayer, Paul M.; Grese, Melissa M.",BIOGEOCHEMISTRY,2014,,,,,,,,,,,,,,,,,,,,
259,"Residential runoff - The role of spatial density and surface cover, with a case study in the Hojea river catchment, southern Sweden","Sjoman, Johanna Deak; Gill, Susannah E.",URBAN FORESTRY & URBAN GREENING,2014,,,,,,,,,,,,,,,,,,,,
260,Exploring the Contribution of Fiscal Transfers to Protected Area Policy,"Borie, Maud; Mathevet, Raphael; Letourneau, Aurelien; Ring, Irene; Thompson, John D.; Marty, Pascal",ECOLOGY AND SOCIETY,2014,,,,,,,,,,,,,,,,,,,,
261,Green infrastructure and bird diversity across an urban socioeconomic gradient,"Davis, Amelie Y.; Belaire, J. Amy; Farfan, Monica A.; Milz, Dan; Sweeney, Eric R.; Loss, Scott R.; Minor, Emily S.",ECOSPHERE,2012,,,,,,,,,,,,,,,,,,,,
262,Green Infrastructure Gauge: A tool for evaluating green infrastructure inclusion in existing and future urban areas,"M'Ikiugu, Martin Mwirigi; Wang QianNa; Kinoshita, Isami",AICE-BS 2012 CAIRO (ASIA PACIFIC INTERNATIONAL CONFERENCE ON ENVIRONMENT-BEHAVIOUR STUDIES),2012,,,,,,,,,,,,,,,,,,,,
263,Green Iguanas (Iguana iguana) in Puerto Rico: is it time for management?,"Lopez-Torres, Alberto L.; Claudio-Hernandez, Hector J.; Rodriguez-Gomez, Carlos A.; Longo, Ana V.; Joglar, Rafael L.",BIOLOGICAL INVASIONS,2012,,,,,,,,,,,,,,,,,,,,
264,A preliminary assessment of socio-ecological metabolism for three neighborhoods within a rust belt urban ecosystem,"Hall, Myrna H. P.",ECOLOGICAL MODELLING,2011,,,,,,,,,,,,,,,,,,,,
265,Let's Not Forget the Biodiversity of the Cities,"Lugo, Ariel E.",BIOTROPICA,2010,,,,,,,,,,,,,,,,,,,,
266,Integrated regional assessment of global climatic change: Lessons from the Mackenzie Basin Impact Study (MBIS),"Cohen, SJ",GLOBAL AND PLANETARY CHANGE,1996,,,,,,,,,,,,,,,,,,,,
267,"Life cycle assessment of low impact development technologies combined with conventional centralized water systems for the City of Atlanta, Georgia","Jeong, Hyunju; Broesicke, Osvaldo A.; Drew, Bob; Li, Duo; Crittenden, John C.",FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,2016,,,,,,,,,,,,,,,,,,,,
268,Advancing understanding of the complex nature of urban systems,"McPhearson, Timon; Haase, Dagmar; Kabisch, Nadja; Gren, Asa",ECOLOGICAL INDICATORS,2016,,,,,,,,,,,,,,,,,,,,
269,Optimising value from the soft re-use of brownfield sites,"Bardos, R. Paul; Jones, Sarah; Stephenson, Ian; Menger, Pierre; Beumer, Victor; Neonato, Francesca; Maring, Linda; Ferber, Uwe; Track, Thomas; Wendler, Katja",SCIENCE OF THE TOTAL ENVIRONMENT,2016,,,,,,,,,,,,,,,,,,,,
270,Removal of PM10 by Forests as a Nature-Based Solution for Air Quality Improvement in the Metropolitan City of Rome,"Marando, Federica; Salvatori, Elisabetta; Fusaro, Lina; Manes, Fausto",FORESTS,2016,,,,,,,,,,,,,,,,,,,,
271,Urban gray vs. urban green vs. soil protection - Development of a systemic solution to soil sealing management on the example of Germany,"Artmann, Martina",ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,2016,,,,,,,,,,,,,,,,,,,,
272,Revealing Cultural Ecosystem Services through Instagram Images: The Potential of Social Media Volunteered Geographic Information for Urban Green Infrastructure Planning and Governance,"Guerrero, Paulina; Moller, Maja Steen; Olafsson, Anton Stahl; Snizek, Bernhard",URBAN PLANNING,2016,,,,,,,,,,,,,,,,,,,,
273,Financializing Desalination: Rethinking the Returns of Big Infrastructure,"Loftus, Alex; March, Hug",INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,2016,,,,,,,,,,,,,,,,,,,,
274,Development of multi-functional streetscape green infrastructure using a performance index approach,"Tiwary, A.; Williams, I. D.; Heidrich, O.; Namdeo, A.; Bandaru, V.; Calfapietra, C.",ENVIRONMENTAL POLLUTION,2016,,,,,,,,,,,,,,,,,,,,
275,Growing the urban forest: tree performance in response to biotic and abiotic land management,"Oldfield, Emily E.; Felson, Alexander J.; Auyeung, D. S. Novem; Crowther, Thomas W.; Sonti, Nancy F.; Harada, Yoshiki; Maynard, Daniel S.; Sokol, Noah W.; Ashton, Mark S.; Warren, Robert J., II; Hallett, Richard A.; Bradford, Mark A.",RESTORATION ECOLOGY,2015,,,,,,,,,,,,,,,,,,,,
276,Adaptive exchange of capitals in urban water resources management: an approach to sustainability?,"Shuster, William D.; Garmestani, Ahjond S.",CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,2015,,,,,,,,,,,,,,,,,,,,
277,Scale-sensitive integration of ecosystem services in urban planning,"Faehnle, Maija; Soderman, Tarja; Schulman, Harry; Lehvavirta, Susanna",GEOJOURNAL,2015,,,,,,,,,,,,,,,,,,,,
278,Anthropopressure gradients and the population genetic structure of Apodemus agrarius,"Gortat, Tomasz; Rutkowski, Robert; Gryczynska, Alicja; Pieniazek, Agnieszka; Kozakiewicz, Anna; Kozakiewicz, Michal",CONSERVATION GENETICS,2015,,,,,,,,,,,,,,,,,,,,
279,Perceptions and contributions of households towards sustainable urban green infrastructure in Malaysia,"Barau, Aliyu Salisu",HABITAT INTERNATIONAL,2015,,,,,,,,,,,,,,,,,,,,
280,Green BIM in sustainable infrastructure,"Bonenberg, Wojciech; Wei, Xia","6TH INTERNATIONAL CONFERENCE ON APPLIED HUMAN FACTORS AND ERGONOMICS (AHFE 2015) AND THE AFFILIATED CONFERENCES, AHFE 2015",2015,,,,,,,,,,,,,,,,,,,,
281,REMOVAL OF AIRBORNE PARTICULATE MATTER BY VEGETATION IN AN URBAN PARK IN THE CITY OF ROME (ITALY): AN ECOSYSTEM SERVICES PERSPECTIVE,"Silli, V; Salvatori, E.; Manes, F.",ANNALI DI BOTANICA,2015,,,,,,,,,,,,,,,,,,,,
282,Maintenance versus Maturation: Constructed Storm-Water Wetland's Fifth-Year Water Quality and Hydrologic Assessment,"Merriman, Laura S.; Hunt, William F., III",JOURNAL OF ENVIRONMENTAL ENGINEERING,2014,,,,,,,,,,,,,,,,,,,,
283,"Sustainable plants in urban parks: A life cycle analysis of traditional and alternative lawns in Georgia, USA","Smetana, Sergiy M.; Crittenden, John C.",LANDSCAPE AND URBAN PLANNING,2014,,,,,,,,,,,,,,,,,,,,
284,STRATEGIC-PLANNING FOR SUSTAINABLE RURAL-DEVELOPMENT,"JURGENS, CR",LANDSCAPE AND URBAN PLANNING,1993,,,,,,,,,,,,,,,,,,,,
285,A framework for assessing and implementing the co-benefits of nature-based solutions in urban areas,"Raymond, Christopher M.; Frantzeskaki, Niki; Kabisch, Nadja; Berry, Pam; Breil, Margaretha; Nita, Mihai Razvan; Geneletti, Davide; Calfapietra, Carlo",ENVIRONMENTAL SCIENCE & POLICY,2017,,,,,,,,,,,,,,,,,,,,
286,"A spatially-explicit method to assess the dry deposition of air pollution by urban forests in the city of Florence, Italy","Bottalico, Francesca; Travaglini, Davide; Chirici, Gherardo; Garfi, Vittorio; Giannetti, Francesca; De Marco, Alessandra; Fares, Silvano; Marchetti, Marco; Nocentini, Susanna; Paoletti, Elena; Salbitano, Fabio; Sanesi, Giovanni",URBAN FORESTRY & URBAN GREENING,2017,,,,,,,,,,,,,,,,,,,,
287,Urban ecological infrastructure: an integrated network for ecosystem services and sustainable urban systems,"Li, Feng; Liu, Xusheng; Zhang, Xiaoling; Zhao, Dan; Liu, Hongxiao; Zhou, Chuanbin; Wang, Rusong",JOURNAL OF CLEANER PRODUCTION,2017,,,,,,,,,,,,,,,,,,,,
288,"Comprehensive evaluation of different scale cities' sustainable development for economy, society, and ecological infrastructure in China","Sun, Xiao; Liu, Xusheng; Li, Feng; Tao, Yu; Song, Yingshi",JOURNAL OF CLEANER PRODUCTION,2017,,,,,,,,,,,,,,,,,,,,
289,Implications for constructed wetlands to mitigate nitrate and pesticide pollution in agricultural drained watersheds,"Tournebize, Julien; Chaumont, Cedric; Mander, Ulo",ECOLOGICAL ENGINEERING,2017,,,,,,,,,,,,,,,,,,,,
290,Green infrastructure development at European Union's eastern border: Effects of road infrastructure and forest habitat loss,"Angelstam, Per; Khaulyak, Olha; Yamelynets, Taras; Mozgeris, Gintautas; Naumov, Vladimir; Chmielewski, Tadeusz J.; Elbakidze, Marine; Manton, Michael; Prots, Bohdan; Valasiuk, Sviataslau",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2017,,,,,,,,,,,,,,,,,,,,
291,Protected areas in the world's ecoregions: How well connected are they?,"Saura, Santiago; Bastin, Lucy; Battistella, Luca; Mandrici, Andrea; Dubois, Gregoire",ECOLOGICAL INDICATORS,2017,,,,,,,,,,,,,,,,,,,,
292,Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,"Baro, Francesc; Gomez-Baggethun, Erik; Haase, Dagmar",ECOSYSTEM SERVICES,2017,,,,,,,,,,,,,,,,,,,,
