Study,Age,Years
159,yes,2
251,no,NA
546,no,NA
877,no,NA
912,no,NA
926,yes,15
949,yes,1
1049,no,NA
1051,no,NA
1059,no,NA
1273,no,NA
1286,no,NA
1288,yes,10
1290,yes,3
1292,no,NA
1295,no,NA
1297,no,NA
1305,no,NA
1423,no,NA
1487,yes,15
1500,no,NA
1541,yes,7
1550,no,NA
1592,no,NA
1603,no,NA
1606,yes,10
1619,no,NA
1646,yes,15
1671,no,NA
1672,no,NA
1692,yes,21
1776,yes,2
repo7,no,NA
