id,Title,Authors,Source.Title,Publication.Year,Volume,Issue,Beginning.Page,Ending.Page,DOI,Total.Citations
1,"Green Cellular Networks: A Survey, Some Research Issues and Challenges","Hasan, Ziaul; Boostanimehr, Hamidreza; Bhargava, Vijay K.",IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,2011,13,4,524,540,10.1109/SURV.2011.092311.00031,554
2,"Urban green space, public health, and environmental justice: The challenge of making cities 'just green enough'","Wolch, Jennifer R.; Byrne, Jason; Newell, Joshua P.",LANDSCAPE AND URBAN PLANNING,2014,125,,234,244,10.1016/j.landurbplan.2014.01.017,308
3,Classifying and valuing ecosystem services for urban planning,"Gomez-Baggethun, Erik; Barton, David N.",ECOLOGICAL ECONOMICS,2013,86,,235,245,10.1016/j.ecolecon.2012.08.019,271
4,"Coupling biogeochemical cycles in urban environments: ecosystem services, green solutions, and misconceptions","Pataki, Diane E.; Carreiro, Margaret M.; Cherrier, Jennifer; Grulke, Nancy E.; Jennings, Viniece; Pincetl, Stephanie; Pouyat, Richard V.; Whitlow, Thomas H.; Zipperer, Wayne C.",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2011,9,1,27,36,10.1890/090220,263
5,"Comprehensive concept planning of urban greening based on ecological principles: a case study in Beijing, China","Li, F; Wang, RS; Paulussen, J; Liu, XS",LANDSCAPE AND URBAN PLANNING,2005,72,4,325,336,10.1016/j.landurbplan.2004.04.002,137
6,A cellular automata model of land cover change to integrate urban growth with open space conservation,"Mitsova, Diana; Shuster, William; Wang, Xinhao",LANDSCAPE AND URBAN PLANNING,2011,99,2,141,153,10.1016/j.landurbplan.2010.10.001,103
7,Planning for cooler cities: A framework to prioritise green infrastructure to mitigate high temperatures in urban landscapes,"Norton, Briony A.; Coutts, Andrew M.; Livesley, Stephen J.; Harris, Richard J.; Hunter, Annie M.; Williams, Nicholas S. G.",LANDSCAPE AND URBAN PLANNING,2015,134,,127,138,10.1016/j.landurbplan.2014.10.018,99
8,Characterising the urban environment of UK cities and towns: A template for landscape planning,"Gill, Susannah E.; Handley, John F.; Ennos, A. Roland; Pauleit, Stephan; Theuray, Nicolas; Lindley, Sarah J.",LANDSCAPE AND URBAN PLANNING,2008,87,3,210,222,10.1016/j.landurbplan.2008.06.008,94
9,Reconnecting Cities to the Biosphere: Stewardship of Green Infrastructure and Urban Ecosystem Services,"Andersson, Erik; Barthel, Stephan; Borgstrom, Sara; Colding, Johan; Elmqvist, Thomas; Folke, Carl; Gren, Asa",AMBIO,2014,43,4,445,453,10.1007/s13280-014-0506-y,93
10,"Water conservancy projects in China: Achievements, challenges and way forward","Liu, Junguo; Zang, Chuanfu; Tian, Shiying; Liu, Jianguo; Yang, Hong; Jia, Shaofeng; You, Liangzhi; Liu, Bo; Zhang, Miao",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2013,23,3,633,643,10.1016/j.gloenvcha.2013.02.002,86
11,"Green justice or just green? Provision of urban green spaces in Berlin, Germany","Kabisch, Nadja; Haase, Dagmar",LANDSCAPE AND URBAN PLANNING,2014,122,,129,139,10.1016/j.landurbplan.2013.11.016,81
12,"Urban gardens, agriculture, and water management: Sources of resilience for long-term food security in cities","Barthel, Stephan; Isendahl, Christian",ECOLOGICAL ECONOMICS,2013,86,,224,234,10.1016/j.ecolecon.2012.06.018,76
13,Establishing green roof infrastructure through environmental policy instruments,"Carter, Timothy; Fowler, Laurie",ENVIRONMENTAL MANAGEMENT,2008,42,1,151,164,10.1007/s00267-008-9095-5,76
14,Maryland's Green Infrastructure Assessment: Development of a comprehensive approach to land conservation,"Weber, T; Sloan, A; Wolf, J",LANDSCAPE AND URBAN PLANNING,2006,77,02-Jan,94,110,10.1016/j.landurbplan.2005.02.002,76
15,Mitigating and adapting to climate change: Multi-functional and multi-scale assessment of green urban infrastructure,"Demuzere, M.; Orru, K.; Heidrich, O.; Olazabal, E.; Geneletti, D.; Orru, H.; Bhave, A. G.; Mittal, N.; Feliu, E.; Faehnle, M.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2014,146,,107,115,10.1016/j.jenvman.2014.07.025,74
16,Efficiency of parks in mitigating urban heat island effect: An example from Addis Ababa,"Feyisa, Gudina Legese; Dons, Klaus; Meilby, Henrik",LANDSCAPE AND URBAN PLANNING,2014,123,,87,95,10.1016/j.landurbplan.2013.12.008,73
17,Integrating conservation planning and landuse planning in urban landscapes,"Gordon, Ascelin; Simondson, David; White, Matt; Moilanen, Atte; Bekessy, Sarah Adine",LANDSCAPE AND URBAN PLANNING,2009,91,4,183,194,10.1016/j.landurbplan.2008.12.011,71
18,"Contribution of Ecosystem Services to Air Quality and Climate Change Mitigation Policies: The Case of Urban Forests in Barcelona, Spain","Baro, Francesc; Chaparro, Lydia; Gomez-Baggethun, Erik; Langemeyer, Johannes; Nowak, David J.; Terradas, Jaume",AMBIO,2014,43,4,466,479,10.1007/s13280-014-0507-x,70
19,Jaguar (Panthera onca) feeding ecology: distribution of predator and prey through time and space,"Weckel, M.; Giuliano, W.; Silver, S.",JOURNAL OF ZOOLOGY,2006,270,1,25,30,10.1111/j.1469-7998.2006.00106.x,66
20,Urban landscape genetics: canopy cover predicts gene flow between white-footed mouse (Peromyscus leucopus) populations in New York City,"Munshi-South, Jason",MOLECULAR ECOLOGY,2012,21,6,1360,1378,10.1111/j.1365-294X.2012.05476.x,65
21,From Multifunctionality to Multiple Ecosystem Services? A Conceptual Framework for Multifunctionality in Green Infrastructure Planning for Urban Areas,"Hansen, Rieke; Pauleit, Stephan",AMBIO,2014,43,4,516,529,10.1007/s13280-014-0510-2,63
