id,Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
1122,Plant diversity and composition compensate for negative effects of urbanization on foraging bumble bees,"Huelsmann, Marietta; von Wehrden, Henrik; Klein, Alexandra-Maria; Leonhardt, Sara Diana",APIDOLOGIE,2015,46,6,760,770,10.1007/s13592-015-0366-x,16
1123,Diversity of wild bees supports pollination services in an urbanized landscape,"Lowenstein, David M.; Matteson, Kevin C.; Minor, Emily S.",OECOLOGIA,2015,179,3,811,821,10.1007/s00442-015-3389-0,16
1124,Floral and mating system divergence in secondary sympatry: testing an alternative hypothesis to reinforcement in Clarkia,"Runquist, Ryan D. Briscoe; Moeller, David A.",ANNALS OF BOTANY,2014,113,2,223,235,10.1093/aob/mct218,16
1125,A garden study of the effects of ultraviolet-B radiation on pollination success and lifetime female fitness in Brassica,"Conner, JK; Zangori, LA",OECOLOGIA,1997,111,3,388,395,10.1007/s004420050250,16
1126,Urban gardens promote bee foraging over natural habitats and plantations,"Kaluza, Benjamin F.; Wallace, Helen; Heard, Tim A.; Klein, Alexandra-Maria; Leonhardt, Sara D.",ECOLOGY AND EVOLUTION,2016,6,5,1304,1316,10.1002/ece3.1941,15
1127,"Public approval plus more wildlife: twin benefits of reduced mowing of amenity grass in a suburban public park in Saltdean, UK","Garbuzov, Mihail; Fensome, Katherine A.; Ratnieks, Francis L. W.",INSECT CONSERVATION AND DIVERSITY,2015,8,2,107,119,10.1111/icad.12085,15
1128,Extreme divergence in floral scent among woodland star species (Lithophragma spp.) pollinated by floral parasites,"Friberg, Magne; Schwind, Christopher; Raguso, Robert A.; Thompson, John N.",ANNALS OF BOTANY,2013,111,4,539,550,10.1093/aob/mct007,15
1129,Pollination Value of Male Bees: The Specialist Bee Peponapis pruinosa (Apidae) at Summer Squash (Cucurbita pepo),"Cane, James H.; Sampson, Blair J.; Miller, Stephanie A.",ENVIRONMENTAL ENTOMOLOGY,2011,40,3,614,620,10.1603/EN10084,15
1130,Realized tolerance to nectar robbing: compensation to floral enemies in Ipomopsis aggregata,"Irwin, Rebecca E.",ANNALS OF BOTANY,2009,103,9,1425,1433,10.1093/aob/mcp056,15
1131,Foraging behaviour of wild bees at hot pepper flowers (Capsicum annuum) and its possible influence on cross pollination,"Raw, A",ANNALS OF BOTANY,2000,85,4,487,492,10.1006/anbo.1999.1090,15
1132,The city as a refuge for insect pollinators,"Hall, Damon M.; Camilo, Gerardo R.; Tonietto, Rebecca K.; Ollerton, Jeff; Ahrne, Karin; Arduser, Mike; Ascher, John S.; Baldock, Katherine C. R.; Fowler, Robert; Frankie, Gordon; Goulson, Dave; Gunnarsson, Bengt; Hanley, Mick E.; Jackson, Janet I.; Langellotto, Gail; Lowenstein, David; Minor, Emily S.; Philpott, Stacy M.; Potts, Simon G.; Sirohi, Muzafar H.; Spevak, Edward M.; Stone, Graham N.; Threlfall, Caragh G.",CONSERVATION BIOLOGY,2017,31,1,24,29,10.1111/cobi.12840,14
1133,Diversity and abundance of solitary and primitively eusocial bees in an urban centre: a case study from Northampton (England),"Sirohi, Muzafar Hussain; Jackson, Janet; Edwards, Mike; Ollerton, Jeff",JOURNAL OF INSECT CONSERVATION,2015,19,3,487,500,10.1007/s10841-015-9769-2,14
1134,Contrasting impacts of pesticides on butterflies and bumblebees in private gardens in France,"Muratet, Audrey; Fontaine, Benoit",BIOLOGICAL CONSERVATION,2015,182,,148,154,10.1016/j.biocon.2014.11.045,14
1135,The Cost of Reinforcement: Selection on Flower Color in Allopatric Populations of Phlox drummondii*,"Hopkins, Robin; Rausher, Mark D.",AMERICAN NATURALIST,2014,183,5,693,710,10.1086/675495,14
1136,Garden and Landscape-Scale Correlates of Moths of Differing Conservation Status: Significant Effects of Urbanization and Habitat Diversity,"Bates, Adam J.; Sadler, Jon P.; Grundy, Dave; Lowe, Norman; Davis, George; Baker, David; Bridge, Malcolm; Freestone, Roger; Gardner, David; Gibson, Chris; Hemming, Robin; Howarth, Stephen; Orridge, Steve; Shaw, Mark; Tams, Tom; Young, Heather",PLOS ONE,2014,9,1,,,10.1371/journal.pone.0086925,14
1137,Gardening in the desert changes bee communities and pollination network characteristics,"Gotlieb, Ariella; Hollender, Yael; Mandelik, Yael",BASIC AND APPLIED ECOLOGY,2011,12,4,310,320,10.1016/j.baae.2010.12.003,14
1138,Post-pollination barriers do not explain the persistence of two distinct Antirrhinum subspecies with parapatric distribution,"Andalo, C.; Cruzan, M. B.; Cazettes, C.; Pujol, B.; Burrus, M.; Thebaud, C.",PLANT SYSTEMATICS AND EVOLUTION,2010,286,03-Apr,223,234,10.1007/s00606-010-0303-4,14
1139,Domesticated honey bees evolutionarily reduce flower nectar volume in a Tibetan lotus,"Mu, Junpeng; Peng, Youhong; Xi, Xinqiang; Wu, Xinwei; Griffin, John N.; Niklas, Karl J.; Sun, Shucun",ECOLOGY,2014,95,11,3161,3172,,13
1140,The most effective pollinator revisited: pollen dynamics in a spring-flowering herb,"Zych, Marcin; Goldstein, Jan; Roguz, Katarzyna; Stpiczynska, Malgorzata",ARTHROPOD-PLANT INTERACTIONS,2013,7,3,315,322,10.1007/s11829-013-9246-3,13
1141,Genetic diversity analysis of the endangered slipper orchid Phragmipedium longifolium in Costa Rica,"Munoz, Melania; Warner, Jorge; Albertazzi, Federico J.",PLANT SYSTEMATICS AND EVOLUTION,2010,290,01-Apr,217,223,10.1007/s00606-010-0362-6,13
1142,"Pollinator effectiveness on co-occurring milkweeds (Asclepias; Apocynaceae, Asclepiadoideae)","Theiss, Kathryn; Kephart, Susan; Ivey, Christopher T.",ANNALS OF THE MISSOURI BOTANICAL GARDEN,2007,94,2,505,516,10.3417/0026-6493(2007)94[505:PEOCMA]2.0.CO;2,13
1143,Cost limitation through constrained oviposition site in a plant-pollinator/seed predator mutualism,"Labouche, Anne-Marie; Bernasconi, Giorgina",FUNCTIONAL ECOLOGY,2013,27,2,509,521,10.1111/1365-2435.12062,12
1144,Biological Flora of the British Isles: Spiranthes spiralis (L.) Chevall.,"Jacquemyn, Hans; Hutchings, Michael J.",JOURNAL OF ECOLOGY,2010,98,5,1253,1267,10.1111/j.1365-2745.2010.01701.x,12
1145,Breeding system of the subantarctic plant species Pringlea antiscorbutica R. Br. and search for potential insect pollinators in the Kerguelen Islands,"Schermann-Legionnet, Agnes; Hennion, Francoise; Vernon, Philippe; Atlan, Anne",POLAR BIOLOGY,2007,30,9,1183,1193,10.1007/s00300-007-0275-1,12
