id,Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
1157,Spillover of trap-nesting bees and wasps in an urban-rural interface,"Pereira-Peixoto, Maria Helena; Pufal, Gesine; Martins, Celso Feitosa; Klein, Alexandra-Maria",JOURNAL OF INSECT CONSERVATION,2014,18,5,815,826,10.1007/s10841-014-9688-7,10
1158,"The Effects of Integrated Marsh Management (IMM) on Salt Marsh Vegetation, Nekton, and Birds","Rochlin, Ilia; James-Pirri, Mary-Jane; Adamowicz, Susan C.; Dempsey, Mary E.; Iwanejko, Thomas; Ninivaggi, Dominick V.",ESTUARIES AND COASTS,2012,35,3,727,742,10.1007/s12237-011-9468-5,10
1159,Potential of invasive and native solitary specialist bee pollinators to help restore the rare cowhorn orchid (Cyrtopodium punctatum) in Florida,"Pemberton, Robert W.; Liu, Hong",BIOLOGICAL CONSERVATION,2008,141,7,1758,1764,10.1016/j.biocon.2008.04.016,10
1160,"Musa zaifui sp nov (Musaceae) from Yunnan, China","Hakkinen, Markku; Wang, Hong",NORDIC JOURNAL OF BOTANY,2008,26,01-Feb,42,46,10.1111/j.1756-1051.2008.00267.x,10
1161,Using DNA metabarcoding to investigate honey bee foraging reveals limited flower use despite high floral availability,"de Vere, Natasha; Jones, Laura E.; Gilmore, Tegan; Moscrop, Jake; Lowe, Abigail; Smith, Dan; Hegarty, Matthew J.; Creer, Simon; Ford, Col R.",SCIENTIFIC REPORTS,2017,7,,,,10.1038/srep42838,9
1162,Non-naturalized alien plants receive fewer flower visits than naturalized and native plants in a Swiss botanical garden,"Razanajatovo, Mialy; Foehr, Christine; Fischer, Markus; Prati, Daniel; van Kleunen, Mark",BIOLOGICAL CONSERVATION,2015,182,,109,116,10.1016/j.biocon.2014.11.043,9
1163,Pollination and seed set of an obligatory outcrossing plant in an urban-peri-urban gradient,"Verboven, Hans A. F.; Aertsen, Wim; Brys, Rein; Hermy, Martin",PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,2014,16,3,121,131,10.1016/j.ppees.2014.03.002,9
1164,Enhanced frugivory on invasive Silene latifolia in its native range due to increased oviposition,"Elzinga, Jelmer A.; Bernasconi, Giorgina",JOURNAL OF ECOLOGY,2009,97,5,1010,1019,10.1111/j.1365-2745.2009.01534.x,9
1165,Evolution and maintenance of pollen-colour dimorphisms in Nigella degenii: habitat-correlated variation and morph-by-environment interactions,"Jorgensen, TH; Andersson, S",NEW PHYTOLOGIST,2005,168,2,487,498,10.1111/j.1469-8137.2005.01525.x,9
1166,"Seed germination and reproductive features of Lysimachia minoricensis (Primulaceae), a wild-extinct plant","Rossello, JA; Mayol, M",ANNALS OF BOTANY,2002,89,5,559,562,10.1093/aob/mcf083,9
1167,Wild bees as pollinators of city trees,"Hausmann, Sebastian L.; Petermann, Jana S.; Rolff, Jens",INSECT CONSERVATION AND DIVERSITY,2016,9,2,97,107,10.1111/icad.12145,8
1168,Feeding damage to plants increases with plant size across 21 Brassicaceae species,"Schlinkert, Hella; Westphal, Catrin; Clough, Yann; Ludwig, Martin; Kabouw, Patrick; Tscharntke, Teja",OECOLOGIA,2015,179,2,455,466,10.1007/s00442-015-3353-z,8
1169,Modeling daily flowering probabilities: expected impact of climate change on Japanese cherry phenology,"Allen, Jenica M.; Terres, Maria A.; Katsuki, Toshio; Iwamoto, Kojiro; Kobori, Hiromi; Higuchi, Hiroyoshi; Primack, Richard B.; Wilson, Adam M.; Gelfand, Alan; Silander, John A., Jr.",GLOBAL CHANGE BIOLOGY,2014,20,4,1251,1263,10.1111/gcb.12364,8
1170,TWIN OIL SACS FACILITATE THE EVOLUTION OF A NOVEL TYPE OF POLLINATION UNIT (MERANTHIUM) IN A SOUTH AFRICAN ORCHID,"Steiner, Kim E.",AMERICAN JOURNAL OF BOTANY,2010,97,2,311,323,10.3732/ajb.0900239,8
1171,The evolutionary ecology of cheating: does superficial oviposition facilitate the evolution of a cheater yucca moth?,"Segraves, K. A.; Althoff, D. M.; Pellmyr, O.",ECOLOGICAL ENTOMOLOGY,2008,33,6,765,770,10.1111/j.1365-2311.2008.01031.x,8
1172,"Pollinators of tomato, Solanum lycopersicum (Solanaceae), in central Europe","Teppner, H",PHYTON-ANNALES REI BOTANICAE,2005,45,2,217,235,,8
1173,REPRODUCTIVE-BIOLOGY OF RAVENALA-MADAGASCARIENSIS GMEL AS AN ALIEN SPECIES,"CALLEY, M; BRAITHWAITE, RW; LADD, PG",BIOTROPICA,1993,25,1,61,72,10.2307/2388979,8
1174,Exposure to elevated pCO(2) alters post-treatment diel movement patterns of largemouth bass over short time scales,"Hasler, Caleb T.; Midway, Stephen R.; Jeffrey, Jennifer D.; Tix, John A.; Sullivan, Cody; Suski, Cory D.",FRESHWATER BIOLOGY,2016,61,9,1590,1600,10.1111/fwb.12805,7
1175,Genetic diversity and differentiation in the critically endangered orchid (Amitostigma hemipilioides): implications for conservation,"Yang, Qin; Fu, Yan; Wang, Yong-qing; Wang, Yun; Zhang, Wen-hua; Li, Xing-yuan; Reng, Yong-Quan; Zhang, Jie",PLANT SYSTEMATICS AND EVOLUTION,2014,300,5,871,879,10.1007/s00606-013-0926-3,7
1176,"Bees (Hymenoptera: Apoidea: Anthophila) of Gardiners Island, Suffolk County, New York","Ascher, John S.; Kornbluth, Sarah; Goelet, Robert G.",NORTHEASTERN NATURALIST,2014,21,1,47,71,10.1656/045.021.0105,7
1177,Biological Flora of the British Isles: Gunnera tinctoria,"Gioria, Margherita; Osborne, Bruce A.",JOURNAL OF ECOLOGY,2013,101,1,243,264,10.1111/1365-2745.12022,7
1178,Geobotany of the Niobrara chalk barrens in Colorado: A study of edaphic endemism,"Kelso, S; Bower, NW; Heckmann, KE; Beardsley, PM; Greve, DG",WESTERN NORTH AMERICAN NATURALIST,2003,63,3,299,313,,7
1179,Specialization in the yucca-yucca moth obligate pollination mutualism: A role for antagonism?,"Althoff, David M.",AMERICAN JOURNAL OF BOTANY,2016,103,10,1803,1809,10.3732/ajb.1600053,6
1180,Reduced flight-to-light behaviour of moth populations exposed to long-term urban light pollution,"Altermatt, Florian; Ebert, Dieter",BIOLOGY LETTERS,2016,12,4,,,10.1098/rsbl.2016.0111,6
1181,Using citizen science to monitor pollination services,"Birkin, Linda; Goulson, Dave",ECOLOGICAL ENTOMOLOGY,2015,40,,3,11,10.1111/een.12227,6
1182,Complementary fruiting phenologies facilitate sharing of one pollinator fig wasp by two fig trees,"Liu, Gui-Xiang; Yang, Da-Rong; Peng, Yan-Qiong; Compton, Stephen G.",JOURNAL OF PLANT ECOLOGY,2015,8,2,197,206,10.1093/jpe/rtv022,6
1183,Recurrent modification of floral morphology in heterantherous Solanum reveals a parallel shift in reproductive strategy,"Vallejo-Marin, Mario; Walker, Catriona; Friston-Reilly, Philip; Solis-Montero, Lislie; Igic, Boris",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2014,369,1649,,,10.1098/rstb.2013.0256,6
1184,"Reproductive ecology of Aloe plicatilis, a fynbos tree aloe endemic to the Cape Winelands, South Africa","Cousins, S. R.; Witkowski, E. T. F.; Pfab, M. F.; Riddles, R. E.; Mycock, D. J.",SOUTH AFRICAN JOURNAL OF BOTANY,2013,87,,52,65,10.1016/j.sajb.2013.02.174,6
1185,Variation in the reproductive performance of the Trollius-Chiastocheta mutualism at the edge of its range in north-east Germany,"Lemke, Tristan; Porembski, Stefan",OECOLOGIA,2013,172,2,437,447,10.1007/s00442-012-2500-z,6
1186,Friend or foe? Impacts of the introduced tropical oil bee Centris nitida on a threatened and specialized native mutualism in Southern Florida,"Downing, Jason L.; Liu, Hong",BIOLOGICAL INVASIONS,2012,14,10,2175,2185,10.1007/s10530-012-0223-z,6
1187,Carry-over effects of bumblebee associative learning in changing plant communities leads to increased costs of foraging,"Internicola, Antonina I.; Page, Paul A.; Bernasconi, Giorgina; Gigord, Luc D. B.",ARTHROPOD-PLANT INTERACTIONS,2009,3,1,17,26,10.1007/s11829-008-9051-6,6
1188,The influence of water level on the growth and photosynthesis of Hydrocotyle ranunculoides L.fil.,"Hussner, Andreas; Meyer, Christine",FLORA,2009,204,10,755,761,10.1016/j.flora.2008.10.005,6
1189,Dynamics of nectarivory in the House Sparrow in an urban environment,"Leveau, Lucas M.",ORNITOLOGIA NEOTROPICAL,2008,19,2,275,281,,6
1190,"Phenology and the production of seeds and wasps in Ficus microcarpa in Guangzhou, China","Lin, Shuling; Zhao, Nanxian; Chen, Yizhu",SYMBIOSIS,2008,45,01-Mar,101,105,,6
1191,Floral abundance and resource quality influence pollinator choice,"Fowler, Robert E.; Rotheray, Ellen L.; Goulson, Dave",INSECT CONSERVATION AND DIVERSITY,2016,9,6,481,494,10.1111/icad.12197,5
1192,Effects of florivory on plant-pollinator interactions: Implications for male and female components of plant reproduction,"Carper, Adrian L.; Adler, Lynn S.; Irwin, Rebecca E.",AMERICAN JOURNAL OF BOTANY,2016,103,6,1061,1070,10.3732/ajb.1600144,5
1193,"Eating locally: dance decoding demonstrates that urban honey bees in Brighton, UK, forage mainly in the surrounding urban area","Garbuzov, Mihail; Schurch, Roger; Ratnieks, Francis L. W.",URBAN ECOSYSTEMS,2015,18,2,411,418,10.1007/s11252-014-0403-y,5
1194,"Contrasting patterns of turnover between plants, pollinators and their interactions","Norfolk, Olivia; Eichhorn, Markus P.; Gilbert, Francis S.",DIVERSITY AND DISTRIBUTIONS,2015,21,4,405,415,10.1111/ddi.12295,5
1195,HIGH BUT VARIABLE OUTCROSSING RATES IN THE INVASIVE GERANIUM CAROLINIANUM (GERANIACEAE),"Shirk, Rebecca Y.; Hamrick, J. L.",AMERICAN JOURNAL OF BOTANY,2014,101,7,1200,1206,10.3732/ajb.1400224,5
1196,"DIFFERENTIATION OF FLORAL TRAITS ASSOCIATED WITH POLLINATOR PREFERENCE IN A GENERALIST-POLLINATED HERB, TROLLIUS RANUNCULOIDES (RANUNCULACEAE)","Zhao, Zhi-Gang; Huang, Shuang-Quan",INTERNATIONAL JOURNAL OF PLANT SCIENCES,2013,174,4,637,646,10.1086/669910,5
1197,"Significant differences in outcrossing rate, self-incompatibility, and inbreeding depression between two widely hybridizing species of Geum","Ruhsam, Markus; Hollingsworth, Peter M.; Squirrell, Jane; Ennos, Richard A.",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2010,101,4,977,990,10.1111/j.1095-8312.2010.01552.x,5
1198,Taxonomic and functional trait diversity of wild bees in different urban settings,"Normandin, Etienne; Vereecken, Nicolas J.; Buddle, Christopher M.; Fournier, Valerie",PEERJ,2017,5,,,,10.7717/peerj.3051,4
1199,Interspecific reproductive barriers between sympatric populations of wild tomato species (Solanum section Lycopersicon),"Baek, You Soon; Royer, Suzanne M.; Broz, Amanda K.; Covey, Paul A.; Lopez-Casado, Gloria; Nunez, Reynaldo; Kear, Philip J.; Bonierbale, Merideth; Orillo, Matilde; van der Knaap, Esther; Stack, Stephen M.; McClure, Bruce; Chetelat, Roger T.; Bedinger, Patricia A.",AMERICAN JOURNAL OF BOTANY,2016,103,11,1964,1978,10.3732/ajb.1600356,4
1200,Flowering ground vegetation benefits wild pollinators and fruit set of almond within arid smallholder orchards,"Norfolk, Olivia; Eichhorn, Markus P.; Gilbert, Francis",INSECT CONSERVATION AND DIVERSITY,2016,9,3,236,243,10.1111/icad.12162,4
1201,"BIMBY's first steps: a pilot study on the contribution of residential front-yards in Phoenix and Maastricht to biodiversity, ecosystem services and urban sustainability","Beumer, Carijn; Martens, Pim",URBAN ECOSYSTEMS,2016,19,1,45,76,10.1007/s11252-015-0488-y,4
1202,"REMNANTS OF POPULATIONS PROVIDE EFFECTIVE SOURCE MATERIAL FOR REINTRODUCTION OF AN ENDANGERED HAWAIIAN PLANT, SCHIEDEA KAALAE (CARYOPHYLLACEAE)","Weisenberger, Lauren A.; Weller, Stephen G.; Sakai, Ann K.",AMERICAN JOURNAL OF BOTANY,2014,101,11,1954,1962,10.3732/ajb.1400271,4
1203,"Relationships of Bees to Host Ornamental and Weedy Flowers in Urban Northwest Guanacaste Province, Costa Rica","Frankie, G. W.; Vinson, S. B.; Rizzardi, M. A.; Griswold, T. L.; Coville, R. E.; Grayum, M. H.; Martinez, L. E. S.; Foltz-Sweat, J.; Pawelek, J. C.",JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,2013,86,4,325,351,10.2317/JKES121222.1,4
1204,"Plant genotype, nutrients, and G X E interactions structure floral visitor communities","Burkle, Laura A.; Souza, Lara; Genung, Mark A.; Crutsinger, Gregory M.",ECOSPHERE,2013,4,9,,,10.1890/ES13-00039.1,4
1205,"Soil Conditions in Natural, Declining and Restored Heathlands Influence Plant-Pollinator Interactions of Calluna vulgaris","de la Pena, Eduardo; Van De Velde, Helena; Lens, Luc; Bonte, Dries",RESTORATION ECOLOGY,2012,20,5,603,611,10.1111/j.1526-100X.2011.00844.x,4
1206,"Pollen and ovule production, floral nectary structure, and nectar secretion dynamics in tristylous Lythrum salicaria L.","Caswell, Wade D.; Davis, Arthur R.",PLANT SYSTEMATICS AND EVOLUTION,2011,294,01-Feb,127,145,10.1007/s00606-011-0447-x,4
1207,Ornamental plants on sale to the public are a significant source of pesticide residues with implications for the health of pollinating insects,"Lentola, A.; David, A.; Abdul-Sada, A.; Tapparo, A.; Goulson, D.; Hill, E. M.",ENVIRONMENTAL POLLUTION,2017,228,,297,304,10.1016/j.envpol.2017.03.084,3
1208,Fitness-related selection on floral traits in the distylous plant Primula poissonii (Primulaceae),"Li, Hai-Dong; Zhao, Yan-Hui; Ren, Zong-Xin; Wu, Zhi-Kun; Wolfe, Lorne M.; Bernhardt, Peter; Wang, Hong",JOURNAL OF PLANT ECOLOGY,2017,10,3,559,568,10.1093/jpe/rtw055,3
1209,Insights from measuring pollen deposition: quantifying the pre-eminence of bees as flower visitors and effective pollinators,"Willmer, P. G.; Cunnold, H.; Ballantyne, G.",ARTHROPOD-PLANT INTERACTIONS,2017,11,3,411,425,10.1007/s11829-017-9528-2,3
1210,Plant size affects mutualistic and antagonistic interactions and reproductive success across 21 Brassicaceae species,"Schlinkert, Hella; Westphal, Catrin; Clough, Yann; Grass, Ingo; Helmerichs, Juliane; Tscharntke, Teja",ECOSPHERE,2016,7,12,,,10.1002/ecs2.1529/full,3
1211,Non-invasive naturalized alien plants were not more pollen-limited than invasive aliens and natives in a common garden,"Razanajatovo, Mialy; van Kleunen, Mark",FUNCTIONAL ECOLOGY,2016,30,9,1511,1520,10.1111/1365-2435.12633,3
1212,Focal Plant Observations as a Standardised Method for Pollinator Monitoring: Opportunities and Limitations for Mass Participation Citizen Science,"Roy, Helen E.; Baxter, Elizabeth; Saunders, Aoine; Pocock, Michael J. O.",PLOS ONE,2016,11,3,,,10.1371/journal.pone.0150794,3
1213,Self-Incompatibility in Ulex europaeus: Variations in Native and Invaded Regions,"Atlan, Anne; Schermann-Legionnet, Agnes; Udo, Nathalie; Tarayre, Michele",INTERNATIONAL JOURNAL OF PLANT SCIENCES,2015,176,6,515,524,10.1086/681669,3
1214,THE INFLUENCE OF NATURAL VARIATION IN POPULATION SIZE ON ECOLOGICAL AND QUANTITATIVE GENETICS OF THE ENDANGERED ENDEMIC PLANT HYPERICUM CUMULICOLA,"Oakley, Christopher G.",INTERNATIONAL JOURNAL OF PLANT SCIENCES,2015,176,1,11,19,10.1086/677946,3
1215,Culturally valuable minority crops provide a succession of floral resources for flower visitors in traditional orchard gardens,"Norfolk, Olivia; Eichhorn, Markus P.; Gilbert, Francis",BIODIVERSITY AND CONSERVATION,2014,23,13,3199,3217,10.1007/s10531-014-0775-6,3
1216,"Insect visitation rates to wild flowers increase in the presence of arid agriculture in South Sinai, Egypt","Norfolk, Olivia; Gilbert, Francis",JOURNAL OF ARID ENVIRONMENTS,2014,109,,83,87,10.1016/j.jaridenv.2014.05.002,3
1217,Honey bee colonies from different races show variation in defenses against the varroa mite in a 'common garden',"Kence, Meral; Oskay, Devrim; Giray, Tugrul; Kence, Aykut",ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,2013,149,1,36,43,10.1111/eea.12109,3
1218,"BREEDING BIOLOGIES, POLLINATORS, AND SEED BEETLES OF TWO PRAIRIE-CLOVERS, DALEA ORNATA AND DALEA SEARLSIAE (FABACEAE: AMORPHEAE), FROM THE INTERMOUNTAIN WEST, USA","Cane, James H.; Weber, Melissa; Miller, Stephanie",WESTERN NORTH AMERICAN NATURALIST,2012,72,1,16,20,10.3398/064.072.0102,3
1219,Solitary bees - Potential vectors for gene flow from cultivated to wild strawberries,"Schulze, Juerg; Oeschger, Lucia; Gross, Alexandra; Mueller, Andreas; Stoll, Peter; Erhardt, Andreas",FLORA,2012,207,10,762,767,10.1016/j.flora.2012.07.007,3
1220,"Pollination biology and reproduction of Seemannia sylvatica (Kunth) Hanstein (Gesneriaceae) in the Serra da Bodoquena National Park, Mato Grosso do Sul","Camargo, Eduardo; Rodrigues, Licleia da Cruz; Araujo, Andrea Cardoso",BIOTA NEOTROPICA,2011,11,4,125,130,10.1590/S1676-06032011000400013,3
1221,The gynoecium of male Anchietea pyrifolia (Violaceae): Preserved structure with a new function,"Hoffmann, Matthias H.; de Paula-Souza, Juliana; Flaeschendraeger, Axel; Roeser, Martin",FLORA,2010,205,7,429,433,10.1016/j.flora.2009.12.001,3
1222,"Insects associated with flowers of weeds of the Botanical Garden of Santiago de Cuba, with enfasis on Hymenoptera","Fernandez, JL; Garces, G; Portuondo, E; Valdes, P; Exposito, I",REVISTA DE BIOLOGIA TROPICAL,2001,49,03-Apr,1013,1026,,3
1223,To mow or to mow less: Lawn mowing frequency affects bee abundance and diversity in suburban yards,"Lerman, Susannah B.; Contosta, Alexandra R.; Milam, Joan; Bang, Christofer",BIOLOGICAL CONSERVATION,2018,221,,160,174,10.1016/j.biocon.2018.01.025,2
1224,Sweat bees on hot chillies: provision of pollination services by native bees in traditional slash-and-burn agriculture in the Yucatan Peninsula of tropical Mexico,"Landaverde-Gonzalez, Patricia; Quezada-Euan, Jose Javier G.; Theodorou, Panagiotis; Murray, Tomas E.; Husemann, Martin; Ayala, Ricardo; Moo-Valle, Humberto; Vandame, Remy; Paxton, Robert J.",JOURNAL OF APPLIED ECOLOGY,2017,54,6,1814,1824,10.1111/1365-2664.12860,2
1225,Warmest extreme year in US history alters thermal requirements for tree phenology,"Carter, Jacob M.; Orive, Maria E.; Gerhart, Laci M.; Stern, Jennifer H.; Marchin, Renee M.; Nagel, Joane; Ward, Joy K.",OECOLOGIA,2017,183,4,1197,1210,10.1007/s00442-017-3838-z,2
1226,Opportunistic use of banana flower bracts by Glossophaga soricina,"Murphy, Meghan; Clare, Elizabeth L.; Rydell, Jens; Yovel, Yossi; Bar-On, Yinon; Oelbaum, Phillip; Fenton, M. Brock",ACTA CHIROPTEROLOGICA,2016,18,1,209,213,10.3161/15081109ACC2016.18.1.011,2
1227,Breeding system of the critically endangered Lakela's Mint and influence of plant height on pollinators and seed output,"Richardson, Matthew L.; Keathley, Craig P.; Peterson, Cheryl L.",POPULATION ECOLOGY,2016,58,2,277,284,10.1007/s10144-015-0531-0,2
1228,Salvia apiana - A carpenter bee flower?,"Ott, Daniela; Huehn, Philipp; Classen-Bockhoff, Regine",FLORA,2016,221,,82,91,10.1016/j.flora.2015.12.008,2
1229,INCREASED POLLINATOR ACTIVITY IN URBAN GARDENS WITH MORE NATIVE FLORA,"Fukase, J.; Simons, A. M.",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2016,14,1,297,310,,2
1230,Using the British National Collection of Asters to Compare the Attractiveness of 228 Varieties to Flower-Visiting Insects,"Garbuzov, Mihail; Ratnieks, Francis L. W.",ENVIRONMENTAL ENTOMOLOGY,2015,44,3,638,646,10.1093/ee/nvv037,2
1231,ORNAMENTAL REPRESENTATIVES OF THE GENUS CENTAUREA L. AS A POLLEN SOURCE FOR BEE FRIENDLY GARDENS,"Denisow, Bozena; Strzalkowska-Abramek, Monika; Bozek, Malgorzata; Jezak, Anna",JOURNAL OF APICULTURAL SCIENCE,2014,58,2,49,58,10.2478/JAS-2014-0016,2
1232,Sexual Dimorphism of Staminate- and Pistillate-Phase Flowers of Saponaria officinalis (Bouncing Bet) Affects Pollinator Behavior and Seed Set,"Davis, Sandra L.; Dudle, Dana A.; Nawrocki, Jenna R.; Freestone, Leah M.; Konieczny, Peter; Tobin, Michael B.; Britton, Michael M.",PLOS ONE,2014,9,4,,,10.1371/journal.pone.0093615,2
1233,Estimation of the polleniferous potential of a Mediterranean landscape through the analysis of pollen harvested by Apis mellifera L.,"Vergara Lopez, Juan Manuel; Gil Vives, Lorenzo; Boi, Marzia",GRANA,2013,52,2,147,159,10.1080/00173134.2012.758775,2
1234,Multi-scale assessment of pollination of Lotus corniculatus (L.) in a peri-urban fringe,"Pellissier, Vincent; Maurel, Noelie; Machon, Nathalie",PLANT ECOLOGY & DIVERSITY,2013,6,2,195,203,10.1080/17550874.2012.755227,2
1235,Biological Flora of the British Isles: Stachys palustris L.,"Taylor, Kenneth; Rowland, Phillip",JOURNAL OF ECOLOGY,2011,99,4,1081,1090,10.1111/j.1365-2745.2011.01849.x,2
1236,Interaction of flowers flies (Diptera: Syrphidae) and Salvia bogotensis (Lamiaceae) in the Botanical Garden of Bogota (Colombia),"Zamora-Carrillo, Monica; Amat-Garcia, German D.; Luis Fernandez-Alonso, Jose",CALDASIA,2011,33,2,453,470,,2
1237,"Time-activity budgets and behaviour of the Amazilia hummingbird, Amazilia amazilia (Apodiformes : Trochilidae) in an urban environment","Calvino-Cancela, M.",REVISTA DE BIOLOGIA TROPICAL,2006,54,3,873,878,,2
1238,"Floral reward and insect visitation in ornamental deutzias (Deutzia spp.), Saxifragaceae sensu lato","Masierowska, Marzena L.",JOURNAL OF APICULTURAL RESEARCH,2006,45,1,13,19,10.1080/00218839.2006.11101306,2
1239,The self-compatibility in Impatiens balsamina (a long-day variety),"Kulawiec, M; Teske, E; Sniezko, R",ACTA SOCIETATIS BOTANICORUM POLONIAE,1996,65,01-Feb,107,109,,2
1240,A Natural History of Change in Native Bees Associated with Lowbush Blueberry in Maine,"Drummond, Francis A.; Dibble, Alison C.; Stubbs, Constance; Bushmann, Sara L.; Ascher, John S.; Ryan, Jennifer",NORTHEASTERN NATURALIST,2017,24,,49,68,,1
1241,Big city Bombus: using natural history and land-use history to find significant environmental drivers in bumble-bee declines in urban development,"Glaum, Paul; Simao, Maria-Carolina; Vaidya, Chatura; Fitch, Gordon; Iulinao, Benjamin",ROYAL SOCIETY OPEN SCIENCE,2017,4,5,,,10.1098/rsos.170156,1
1242,FLOWERING PLANTS PREFERRED BY BUMBLEBEES (BOMBUSLATR.) IN THE BOTANICAL GARDEN OF MEDICINAL PLANTS IN WROCLAW,"Sikora, Aneta; Micholap, Pawel; Kelm, Maria",JOURNAL OF APICULTURAL SCIENCE,2016,60,2,59,67,,1
1243,Interactions between the Bumblebee Bombus pascuorum and Red Clover (Trifolium pratense) Are Mediated by Plant Genetic Background,"Sands, Richard J.; Rowntree, Jennifer K.",PLOS ONE,2016,11,8,,,10.1371/journal.pone.0161327,1
1244,Predicting plant attractiveness to pollinators with passive crowdsourcing,"Bahlai, Christie A.; Landis, Douglas A.",ROYAL SOCIETY OPEN SCIENCE,2016,3,6,,,10.1098/rsos.150677,1
1245,POPULATION DIFFERENTIATION IN EARLY LIFE HISTORY TRAITS OF CLEOME LUTEA VAR. LUTEA IN THE INTERMOUNTAIN WEST,"Hintz, Lisa; Eshleman, Magdalena M.; Foxx, Alicia; Wood, Troy E.; Kramer, Andrea",WESTERN NORTH AMERICAN NATURALIST,2016,76,1,6,17,10.3398/064.076.0103,1
1246,Landscaping pebbles attract nesting by the native ground-nesting bee Halictus rubicundus (Hymenoptera: Halictidae),"Cane, James H.",APIDOLOGIE,2015,46,6,728,734,10.1007/s13592-015-0364-z,1
1247,"Genetic and Morphological Assessments of Hybridization Between Two Non-Native Geoemydid Turtles, Mauremys reevesii and Mauremys mutica, in Northcentral Japan","Fujii, Ryo; Ota, Hidetoshi; Toda, Mamoru",CHELONIAN CONSERVATION AND BIOLOGY,2014,13,2,191,201,10.2744/CCB-1067.1,1
1248,Australian acacias across eastern Adriatic - abundant but not aggressive,"Giovanetti, Manuela; Vukovic, Nina; Jelaska, Sven. D.",PERIODICUM BIOLOGORUM,2014,116,3,275,283,,1
1249,Plastic nesting behavior of Centris (Centris) flavifrons (Hymenoptera: Apidae: Centridini) in an urban area,"Martins, Celso F.; Peixoto, Marcella P.; Aguiar, Candida M. L.",APIDOLOGIE,2014,45,2,156,171,10.1007/s13592-013-0235-4,1
1250,"Self-Incompatibility in Byrsonima lucida (Malpighiaceae), a Threatened Pine Rockland Specialist","Downing, Jason L.; Liu, Hong",CASTANEA,2013,78,2,95,102,10.2179/12-031,1
1251,"A GLOBALLY RARE COASTAL SALT POND MARSH SYSTEM AT ODIORNE POINT STATE PARK, RYE, NEW HAMPSHIRE","Nichols, William F.; Moore, Gregg E.; Ritter, Nur P.; Peter, Chris R.",RHODORA,2013,115,961,1,27,10.3119/12-09,1
1252,Genetic variation for susceptibility to storm-induced stem breakage in Solidago altissima: The role of stem height and morphology,"Wise, Michael J.; Abrahamson, Warren G.",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2010,36,4,372,376,10.1016/j.actao.2010.03.003,1
1253,Life history monographs of Japanese plants: A new series,"Kawano, Shoichi; Ohara, Masashi",PLANT SPECIES BIOLOGY,2004,19,3,209,212,10.1111/j.1442-1984.2004.00117.x,1
1254,Science round-up - Helping bumble bees with Bombus nest boxes,"Munn, P",BEE WORLD,1998,79,1,44,48,10.1080/0005772X.1998.11099377,1
1255,"Buzzing on top: Linking wild bee diversity, abundance and traits with green roof qualities","Kratschmer, Sophie; Kriechbaum, Monika; Pachinger, Baerbel",URBAN ECOSYSTEMS,2018,21,3,429,446,10.1007/s11252-017-0726-6,0
1256,Perennial ground cover plants as floral resources for urban pollinators: A case of Geranium species,"Masierowska, Marzena; Stawiarz, Ernest; Rozwalka, Robert",URBAN FORESTRY & URBAN GREENING,2018,32,,185,194,10.1016/j.ufug.2018.03.018,0
1257,Potential of an Algorithm in Assessing Attractiveness of Flowering Plants to Bumblebees (Hymenoptera: Apidae) and Their Subsequent Protection as Pollinators,"Micholap, Pawel; Kelm, Maria; Sikora, Aneta",JOURNAL OF ENTOMOLOGICAL SCIENCE,2018,53,2,251,267,,0
1258,High genotypic diversity and strong spatial structure in populations of Trifolium alpestre with low seed production,"Kaljund, Karin; Leht, Malle; Jaaska, Vello",NORDIC JOURNAL OF BOTANY,2018,36,4,,,10.1111/njb.01705,0
1259,Phenological shifts and flower visitation of 185 lowland and alpine species in a lowland botanical garden,"Razanajatovo, Mialy; Fohr, Christine; van Kleunen, Mark; Fischer, Markus",ALPINE BOTANY,2018,128,1,23,33,10.1007/s00035-018-0201-x,0
1260,Ecological causes and consequences of flower color polymorphism in a self-pollinating plant (Boechera stricta),"Vaidya, Priya; McDurmon, Ansley; Mattoon, Emily; Keefe, Michaela; Carley, Lauren; Lee, Cheng-Ruei; Bingham, Robin; Anderson, Jill T.",NEW PHYTOLOGIST,2018,218,1,380,392,10.1111/nph.14998,0
1261,Public Knowledge of Monarchs and Support for Butterfly Conservation,"Penn, Jerrod; Penn, Hannah; Hu, Wuyang",SUSTAINABILITY,2018,10,3,,,10.3390/su10030807,0
1262,Assessing residential front yards using Google Street View and geospatial video: A virtual survey approach for urban pollinator conservation,"Burr, Andrea; Schaeg, Nicole; Hall, Damon M.",APPLIED GEOGRAPHY,2018,92,,12,20,10.1016/j.apgeog.2018.01.010,0
