SiteID,Date,Species,Green/Convntional,Count,Site,RoofType,Size,Elevation,Genus,Species
GSG,07/05/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,07/05/2011,LAGU,Green,1,Grand Street,green,550,20.5,Leucophaeus,atricilla
GSG,07/05/2011,BHCO,Green,1,Grand Street,green,550,20.5,Molothrus,ater
GSG,07/05/2011,LAGU,Green,1,Grand Street,green,550,20.5,Leucophaeus,atricilla
GSG,07/05/2011,BHCO,Green,1,Grand Street,green,550,20.5,Molothrus,ater
GSG,07/05/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,07/05/2011,LAGU,Green,1,Grand Street,green,550,20.5,Leucophaeus,atricilla
GSG,07/05/2011,BHCO,Green,1,Grand Street,green,550,20.5,Molothrus,ater
GSG,07/05/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,07/05/2011,LAGU,Green,1,Grand Street,green,550,20.5,Leucophaeus,atricilla
GSG,07/05/2011,LAGU,Green,1,Grand Street,green,550,20.5,Leucophaeus,atricilla
GSG,07/05/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,07/05/2011,LAGU,Green,1,Grand Street,green,550,20.5,Leucophaeus,atricilla
GSG,07/05/2011,CHSW,Green,1,Grand Street,green,550,20.5,Chaetura,pelagica
GSG,07/05/2011,CHSW,Green,1,Grand Street,green,550,20.5,Chaetura,pelagica
GSG,07/05/2011,NOCA,Green,1,Grand Street,green,550,20.5,Cardinalis,cardinalis
GSG,07/05/2011,WIFL,Green,1,Grand Street,green,550,20.5,Empidonax,traillii
GSG,07/05/2011,MODO,Green,1,Grand Street,green,550,20.5,Zenaida,macroura
GSG,07/05/2011,EUST,Green,1,Grand Street,green,550,20.5,Sturnus,vulgaris
GSG,07/05/2011,LAGU,Green,1,Grand Street,green,550,20.5,Leucophaeus,atricilla
GSG,07/05/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,07/05/2011,NOCA,Green,1,Grand Street,green,550,20.5,Cardinalis,cardinalis
GSG,07/05/2011,EUST,Green,1,Grand Street,green,550,20.5,Sturnus,vulgaris
GSG,07/05/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,07/05/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,07/05/2011,NOCA,Green,1,Grand Street,green,550,20.5,Cardinalis,cardinalis
GSG,07/05/2011,HOFI,Green,1,Grand Street,green,550,20.5,Haemorhous,mexicanus
GSG,07/05/2011,FICR,Green,1,Grand Street,green,550,20.5,Corvus,ossifragus
GSG,07/05/2011,HOFI,Green,1,Grand Street,green,550,20.5,Haemorhous,mexicanus
GSG,07/05/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,07/05/2011,CHSW,Green,1,Grand Street,green,550,20.5,Chaetura,pelagica
GSG,07/05/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,07/05/2011,HOFI,Green,1,Grand Street,green,550,20.5,Haemorhous,mexicanus
GSG,07/05/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,07/05/2011,AMGO,Green,1,Grand Street,green,550,20.5,Spinus,tristis
GSG,07/05/2011,HOFI,Green,1,Grand Street,green,550,20.5,Haemorhous,mexicanus
GSG,07/05/2011,NOCA,Green,1,Grand Street,green,550,20.5,Cardinalis,cardinalis
GSG,07/05/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,07/05/2011,NOCA,Green,1,Grand Street,green,550,20.5,Cardinalis,cardinalis
GSG,07/05/2011,AMGO,Green,1,Grand Street,green,550,20.5,Spinus,tristis
GSG,07/05/2011,HOFI,Green,1,Grand Street,green,550,20.5,Haemorhous,mexicanus
GSG,07/05/2011,HOFI,Green,1,Grand Street,green,550,20.5,Haemorhous,mexicanus
GSG,08/05/2011,BHCO,Green,1,Grand Street,green,550,20.5,Molothrus,ater
GSG,08/05/2011,HOFI,Green,1,Grand Street,green,550,20.5,Haemorhous,mexicanus
GSG,08/05/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,08/05/2011,CHSW,Green,1,Grand Street,green,550,20.5,Chaetura,pelagica
GSG,08/05/2011,EUST,Green,1,Grand Street,green,550,20.5,Sturnus,vulgaris
GSG,08/05/2011,LAGU,Green,1,Grand Street,green,550,20.5,Leucophaeus,atricilla
GSG,08/05/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,08/05/2011,BLJA,Green,1,Grand Street,green,550,20.5,Cyanocitta,cristata
GSG,08/05/2011,NOCA,Green,1,Grand Street,green,550,20.5,Cardinalis,cardinalis
GSG,08/05/2011,NOCA,Green,1,Grand Street,green,550,20.5,Cardinalis,cardinalis
GSG,08/05/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,08/05/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,08/05/2011,HOFI,Green,1,Grand Street,green,550,20.5,Haemorhous,mexicanus
GSG,08/05/2011,NOCA,Green,1,Grand Street,green,550,20.5,Cardinalis,cardinalis
GSG,08/05/2011,AMGO,Green,1,Grand Street,green,550,20.5,Spinus,tristis
GSG,08/05/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,08/05/2011,NOCA,Green,1,Grand Street,green,550,20.5,Cardinalis,cardinalis
GSG,08/05/2011,FICR,Green,1,Grand Street,green,550,20.5,Corvus,ossifragus
GSG,08/05/2011,AMRO,Green,1,Grand Street,green,550,20.5,Turdus,migratorius
GSG,28/04/2011,AMRO,Green,1,Grand Street,green,550,20.5,Turdus,migratorius
GSG,28/04/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,28/04/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,28/04/2011,HOFI,Green,1,Grand Street,green,550,20.5,Haemorhous,mexicanus
GSG,28/04/2011,HERG,Green,1,Grand Street,green,550,20.5,Larus,argentatus
GSG,28/04/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,28/04/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,29/04/2011,NOMO,Green,1,Grand Street,green,550,20.5,Mimus,polyglottos
GSG,29/04/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,29/04/2011,BLJA,Green,1,Grand Street,green,550,20.5,Cyanocitta,cristata
GSG,29/04/2011,AMRO,Green,1,Grand Street,green,550,20.5,Turdus,migratorius
GSG,29/04/2011,NOCA,Green,1,Grand Street,green,550,20.5,Cardinalis,cardinalis
GSG,29/04/2011,LAGU,Green,1,Grand Street,green,550,20.5,Leucophaeus,atricilla
GSG,29/04/2011,HERG,Green,1,Grand Street,green,550,20.5,Larus,argentatus
GSG,29/04/2011,RTHU,Green,1,Grand Street,green,550,20.5,Archilochus,colubris
GSG,29/04/2011,RTHU,Green,1,Grand Street,green,550,20.5,Archilochus,colubris
GSG,29/04/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,29/04/2011,UID,Green,1,Grand Street,green,550,20.5,unknown,unknown
GSG,29/04/2011,HOFI,Green,1,Grand Street,green,550,20.5,Haemorhous,mexicanus
GSG,29/04/2011,RTHU,Green,1,Grand Street,green,550,20.5,Archilochus,colubris
