Species,,Family,,Habitat,mean,sd,CI.low,CI.high
Amorbus,sp.,Coreidae,,GolfCourse,0.851,0.894,0.171,0.998
Anischys,sp.,Acanthosomatidae,,GolfCourse,0.862,0.898,0.132,0.999
Baclozygum,depressum,Thaumastocoridae,,GolfCourse,0.882,0.876,0.288,0.999
Brentiscerus,putoni,Rhyparochromidae,,GolfCourse,0.901,0.886,0.238,0.999
Chaetedus,longiceps,Miridae,,GolfCourse,0.979,0.826,0.831,1
Cletus,similis,Coreidae,,GolfCourse,0.856,0.899,0.131,0.998
Coridromius,sp.,Miridae,,GolfCourse,0.95,0.852,0.574,0.999
Creontiades,dilutus,Miridae,,GolfCourse,0.902,0.888,0.245,0.999
Crompus,oculatus,Lygaeidae,,GolfCourse,0.662,0.823,0.169,0.98
Crompus,opacus,Lygaeidae,,GolfCourse,,,,
Cryptorhamphus,orbus,Cryptorhamphidae,,GolfCourse,0.747,0.914,0.065,0.997
Cuspicona,sp.1,Pentatomidae,,GolfCourse,0.866,0.853,0.383,0.997
Cuspicona,sp.2,Pentatomidae,,GolfCourse,0.692,0.895,0.104,0.996
Cymodema,basicornis,Cymidae,,GolfCourse,0.92,0.872,0.337,0.999
Dictyotus,sp.1,Pentatomidae,,GolfCourse,0.872,0.898,0.136,0.999
Dictyotus,sp.2,Pentatomidae,,GolfCourse,0.906,0.882,0.268,0.999
Dieuches,maculicollis,Rhyparochromidae,,GolfCourse,,,,
Dilompus,robustus,Artheneidae,,GolfCourse,,,,
Dilompus,woodwardi,Artheneidae,,GolfCourse,0.867,0.899,0.143,0.998
Dindymus,versicolor,Pyrrhocoridae,,GolfCourse,0.931,0.866,0.416,0.999
Diplocysta,trilobata,Tingidae,,GolfCourse,0.865,0.899,0.137,0.999
Eribotes,sp.,Pentatomidae,,GolfCourse,0.9,0.884,0.247,0.999
Eritingis,sp.,Tingidae,,GolfCourse,0.867,0.899,0.136,0.999
Euander,lacertosus,Rhyparochromidae,,GolfCourse,0.872,0.899,0.155,0.999
Eupolemus,sp.1,Acanthosomatidae,,GolfCourse,0.86,0.898,0.123,0.999
Eupolemus,sp.2,Acanthosomatidae,,GolfCourse,0.832,0.896,0.151,0.998
Eurynysius,sp.,Lygaeidae,,GolfCourse,,,,
Eysarcoris,distinctus,Pentatomidae,,GolfCourse,0.836,0.875,0.251,0.998
Froggattia,olivinia,Tingidae,,GolfCourse,0.867,0.899,0.138,0.998
Gelonus,tasmanicus,Coreidae,,GolfCourse,0.867,0.901,0.138,0.999
Halticus,minutus,Miridae,,GolfCourse,0.903,0.841,0.503,0.998
Koscocrompus,obscurus,Lygaeidae,,GolfCourse,0.867,0.9,0.135,0.998
Lethaeini,spp.,Rhyparochromidae,,GolfCourse,,,,
Malandiola,sp.,Tingidae,,GolfCourse,0.869,0.896,0.142,0.998
Mcateella,elongata,Piesmatidae,,GolfCourse,0.951,0.857,0.564,0.999
Melanacanthus,scutellaris,Alydidae,,GolfCourse,0.878,0.877,0.281,0.999
Mictis,profana,Coreidae,,GolfCourse,0.9,0.882,0.243,0.999
Mirini,sp.1,Miridae,,GolfCourse,0.961,0.842,0.677,0.999
Mirini,sp.2,Miridae,,GolfCourse,0.896,0.886,0.233,0.999
Mirini,sp.3,Miridae,,GolfCourse,0.867,0.901,0.131,0.999
Mirini,sp.4,Miridae,,GolfCourse,0.901,0.882,0.247,0.999
Mirini,sp.5,Miridae,,GolfCourse,0.863,0.9,0.132,0.998
Mirini,sp.6,Miridae,,GolfCourse,0.864,0.9,0.125,0.999
Mirini,sp.7,Miridae,,GolfCourse,,,,
Mutusca,brevicornis,Alydidae,,GolfCourse,0.979,0.827,0.829,0.999
Nezara,viridula,Pentatomidae,,GolfCourse,0.864,0.898,0.13,0.998
Notius,depressus,Pentatomidae,,GolfCourse,,,,
Nysius,caledoniae,Lygaeidae,,GolfCourse,0.979,0.825,0.831,0.999
Nysius,vinitor,Lygaeidae,,GolfCourse,0.963,0.833,0.724,0.999
Ocirrhoe,sp.1,Pentatomidae,,GolfCourse,0.441,0.895,0.038,0.992
Ocirrhoe,sp.2,Pentatomidae,,GolfCourse,0.866,0.899,0.126,0.999
Ocirrhoe,sp.3,Pentatomidae,,GolfCourse,0.923,0.873,0.334,0.999
Oncocoris,geniculatus,Pentatomidae,,GolfCourse,0.897,0.887,0.241,0.999
Ontiscus,australis,Cymidae,,GolfCourse,0.896,0.884,0.226,0.999
Orthotylinae,sp.1,Miridae,,GolfCourse,0.861,0.895,0.159,0.998
Orthotylinae,sp.2,Miridae,,GolfCourse,0.87,0.9,0.15,0.999
Orthotylinae,sp.3,Miridae,,GolfCourse,,,,
Oxycarenus,sp.1,Oxycarenidae,,GolfCourse,0.864,0.902,0.128,0.998
Oxycarenus,sp.2,Oxycarenidae,,GolfCourse,0.868,0.899,0.12,0.999
Pentatomidae,sp.1,Pentatomidae,,GolfCourse,0.707,0.894,0.105,0.997
Pentatomidae,sp.2,Pentatomidae,,GolfCourse,,,,
Phylinae,sp.1,Miridae,,GolfCourse,0.847,0.896,0.165,0.998
Phylinae,sp.2,Miridae,,GolfCourse,0.755,0.911,0.066,0.997
