Sample # - this is the number of the sample collected in a trap during the time period covered in column C,Box # - this is the number on the box in which these vials of insects are contained,Date - this is the time period during which invertebrates were trapped for this sample,"ID - this is the location in the box for this vial, row A, column 1",Location - this is the location where the sample was collected (NHMU: Natural History Museum of Utah; Marr Lib: Marriot Library at the University of Utah),Roof/Ground - this is where the traps were located at each location (Ground: at ground level; roof: on the green roof),Combi/Pitfall - this is the type of trap used to collect the sample (Combi: combination trap that catches aerial invertebrate; Pitfall: pitfall trap that catches ground crawling invertebrates),Order - this is the taxonomic order of the collected invertebrates),Family - this is the taxonomic family of the invertebrates collected,Pollinator - this is whether or not the invertebrate is a known pollinator (Yes) or not (No),Amount - this is the number of each invertebrate of this morphospecies in the sample,Notes:,
127,4,7/2-7/22,C6,NHMU,Ground,Pitfall,Coleoptera,Tenebrionidae,No,4,Dentate Stink Beetle ,
127,4,7/2-7/22,C6,NHMU,Ground,Pitfall,Hemiptera,Pentatomidae,No,1,"Green stink bug- green wings, orange body",
127,4,7/2-7/22,C6,NHMU,Ground,Pitfall,Hemiptera,Reduviidae,No,2,"Large beetles- red shoulders and black body, with white stripes. Same as box3 A1/C8 ",
127,4,7/2-7/22,C6,NHMU,Ground,Pitfall,Araneae,Spider,No,1,Spider,
127,4,7/2-7/22,C6,NHMU,Ground,Pitfall,Coleoptera,Meloidae,No,7,Blister beetle - heads are very small segment  ,
128,4,7/2-7/22,C7,NHMU,Ground,Pitfall,Scutigeromorpha,Scutigeridae,No,3,"House Centipede - yellow/brown coloration, long antenae ",
128,4,7/2-7/22,C7,NHMU,Ground,Pitfall,Ephemeroptera,Baetidae,No,6,Possibly mayfly larvae - same as F3 box 3,
129,4,7/2-7/22,C8,NHMU,Ground,Pitfall,Hymenoptera,Formicidae,No,49,Little black ants ,
129,4,7/2-7/22,C8,NHMU,Ground,Pitfall,Araneae,Spider,No,12,Assorted Spiders,
129,4,7/2-7/22,C8,NHMU,Ground,Pitfall,Hymenoptera,Formicidae,No,8,"Small ants black carpenter ants, with stiped abdomen ",
129,4,7/2-7/22,C8,NHMU,Ground,Pitfall,,,No,10,Misc. micro insects ,
130,4,7/2-7/22,D1,Marr Lib,Roof,Pitfall,Araneae,Spider,No,33,Assorted Spiders,
130,4,7/2-7/22,D1,Marr Lib,Roof,Pitfall,Trichoptera,Limnephilidae,No,2,Small tan moth ,
131,4,7/2-7/22,D2,Marr Lib,Roof,Pitfall,Isopoda,Armadillidiidae,No,87,Common pill bug,
132,4,7/2-7/22,D3,Marr Lib,Roof,Pitfall,Dermaptera,Labiduridae,No,2,Ringlegeed earwig,
132,4,7/2-7/22,D3,Marr Lib,Roof,Pitfall,Allogastropoda,Valvatidae,No,1,Snail (small),
132,4,7/2-7/22,D3,Marr Lib,Roof,Pitfall,Coleoptera,Elateridae,No,2,"Wireworm, click beetle larvae, no legs ",
133,4,7/2-7/22,D4,Marr Lib,Roof,Pitfall,Hymenoptera,Formicidae,No,46,"Small, black pavement ants ",
133,4,7/2-7/22,D4,Marr Lib,Roof,Pitfall,Araneae,Spider,No,1,small spider ,
134,4,7/2-7/22,D5,Marr Lib,Roof,Pitfall,Coleoptera,Meloidae,No,8,Blister beetle ,
134,4,7/2-7/22,D5,Marr Lib,Roof,Pitfall,Coleoptera,Elateridae ,No,2,Iridescent green click beetle (Nitidolimonius resplendens) ,
134,4,7/2-7/22,D5,Marr Lib,Roof,Pitfall,,,,2,"Some type of small beetle, black color, with a white band behind head. Brown clic",
135,4,7/2-7/22,D6,Marr Lib,Roof,Pitfall,Hymenoptera,Formicidae,No,2,Pavement ant swarmers ,
135,4,7/2-7/22,D6,Marr Lib,Roof,Pitfall,Hymenoptera,Apidae,Yes,1,Black carpenter bee - large black ,
135,4,7/2-7/22,D6,Marr Lib,Roof,Pitfall,Hymenoptera,Vespidae,Yes,1,Yellow Jacket,
136,4,7/2-7/22,D7,Marr Lib,Roof,Pitfall,Diptera,Muscidae,No,7,Common house fly ,
137,4,7/2-7/22,"""Snails only""",Marr Lib,Roof,Pitfall,Allogastropoda,Valvatidae,No,4,Snails,
137,4,7/2-7/22,"""Snails only""",Marr Lib,Roof,Pitfall,Coleoptera,Elateridae,No,1,"Brown click beetles (Conoderus tabidus)- have flatish bodies, head seems like the same segment ",
138,5,08/12/2014,A1,NHMU,Roof,Pitfall,Isopoda,Armadillidiidae,No,14,Common Pill bug ,
139,5,08/12/2014,A2,NHMU,Roof,Pitfall,Araneae,Spider,No,7,Assorted Spiders,
140,5,08/12/2014,A3,NHMU,Roof,Pitfall,Hymenoptera,Formicidae,No,4,Red pavement ants ,
140,5,08/12/2014,A3,NHMU,Roof,Pitfall,Hymenoptera,Vespidae,Yes,1,Western yellow jacket - have spots on back ,
140,5,08/12/2014,A3,NHMU,Roof,Pitfall,Hemiptera,Reduviidae,No,1,"Large beetles- red shoulders and black body, with white stripes. Assassin bug",
140,5,08/12/2014,A3,NHMU,Roof,Pitfall,,,No,1,Larvae ,
141,5,08/12/2014,A4,NHMU,Roof,Pitfall,Scutigeromorpha,Scutigeridae,No,1,"House Centipede - yellow/brown coloration, long antenae ",
141,5,08/12/2014,A4,NHMU,Roof,Pitfall,Dermaptera,Labiduridae,No,6,"Earwigs? Possibly, larvae or microearwigs ",
141,5,08/12/2014,A4,NHMU,Roof,Pitfall,Hymenoptera,Formicidae,No,2,"Carpenter ant swarmers, striped abdomens ",
141,5,08/12/2014,A4,NHMU,Roof,Pitfall,Coleoptera,Elateridae,,1,Very small beetle - possibly click beetle ,
141,5,08/12/2014,A4,NHMU,Roof,Pitfall,,,,1,Slug larvae?,
142,5,08/12/2014,B1,NHMU,Ground,Pitfall,Araneae,Spider,No,53,Assorted Spiders,
143,5,08/12/2014,B2,NHMU,Ground,Pitfall,Dermaptera,Labiduridae,No,2,Ring legged earwig ,
143,5,08/12/2014,B2,NHMU,Ground,Pitfall,Coleoptera,Elateridae,No,1,Wireworm -click beetle larva; looks like a millipede and has only six legs,
143,5,08/12/2014,B2,NHMU,Ground,Pitfall,Polydesmida,Eurymerodesmidae,No,3,"Millipede larvae - ringged, circular ",
143,5,08/12/2014,B2,NHMU,Ground,Pitfall,Ephemeroptera,Baetidae,No,1,May fly larvae ,
143,5,08/12/2014,B2,NHMU,Ground,Pitfall,Hymenoptera,Formicidae,No,1,"Ant, small black ",
143,5,08/12/2014,B2,NHMU,Ground,Pitfall,,,No,1,Looks like a grasshopper/cricket ,
144,5,08/12/2014,B3,NHMU,Ground,Pitfall,Ephemeroptera,Baetidae,No,7,May fly larvae ,
145,5,08/12/2014,B4,NHMU,Ground,Pitfall,Diptera,Muscidae,No,5,"Common house fly, red eyes, stripes on thorax ",
145,5,08/12/2014,B4,NHMU,Ground,Pitfall,Diptera ,Sarcophagidae,No,3,"Flesh fly- black with red eyes, hairy bodies. ",
145,5,08/12/2014,B4,NHMU,Ground,Pitfall,Diptera ,Calliphoridae,No,1,"Common green bottle fly, large iridescent",
145,5,08/12/2014,B4,NHMU,Ground,Pitfall,Hymenoptera,Ichneumonidae ,Yes,1,"Black wasp, with red legs ",
145,5,08/12/2014,B4,NHMU,Ground,Pitfall,Hymenoptera,Formicidae,No,2,Pavement ants ,
145,5,08/12/2014,B4,NHMU,Ground,Pitfall,Hymenoptera,Vespidae,Yes,1,Paper wasp ,
146,5,08/12/2014,B5,NHMU,Ground,Pitfall,Hymenoptera,Formicidae,No,42,Little black ants ,
146,5,08/12/2014,B5,NHMU,Ground,Pitfall,Hymenoptera,Formicidae,No,3,Red pavement ants ,
147,5,08/12/2014,B6,NHMU,Ground,Pitfall,Hymenoptera,Formicidae,No,1,Black pavement ant ,
147,5,08/12/2014,B6,NHMU,Ground,Pitfall,,,,16,"Have wings, and hair on body ",
148,5,08/12/2014,B7,NHMU,Ground,Pitfall,Isopoda,Armadillidiidae,No,10,Common pill bugs ,
148,5,08/12/2014,B7,NHMU,Ground,Pitfall,Lepidoptera,Noctuidae,No,2,"Dingy Cutworm Moth - large with hairy shoulders, wings have little indents",
148,5,08/12/2014,B7,NHMU,Ground,Pitfall,Lepidoptera,Noctuidae,No,1,Miller moth? Specimen is very bleached ,
149,5,08/12/2014,B8,NHMU,Ground,Pitfall,Coleoptera,Tenebrionidae,No,1,Stink bug - Dentate stink beetles ,
149,5,08/12/2014,B8,NHMU,Ground,Pitfall,Hemiptera,Pyrrhocoridae,No,3,"Pyrrhocoris apterus - fire bug. Looks like a boxelder bug but with more red. Has triangles and circles, with little black lines ",
149,5,08/12/2014,B8,NHMU,Ground,Pitfall,,,,2,Brown shield bugs? ,
149,5,08/12/2014,B8,NHMU,Ground,Pitfall,Coleoptera,Meloidae,No,1,Blister beetle - small ,
149,5,08/12/2014,B8,NHMU,Ground,Pitfall,Coleoptera,Elateridae ,No,1,"Brown click beetles (Conoderus tabidus)- have flatish bodies, head seems like the same segment ",
150,5,08/12/2014,C1,Marr Lib,Roof,Pitfall,Hymenoptera,Formicidae,No,17,"Carpenter ant, striped abdomens ",
151,5,08/12/2014,C2,Marr Lib,Roof,Pitfall,Isopoda,Armadillidiidae,No,18,Common pill bugs ,
152,5,08/12/2014,C3,Marr Lib,Roof,Pitfall,Araneae,Spider,No,2,Assorted Spiders,
152,5,08/12/2014,C3,Marr Lib,Roof,Pitfall,,,,1,Mosquito with striped abdomen ',
153,5,08/12/2014,Snails,Marr Lib,Roof,Pitfall,Allogastropoda,Valvatidae,No,7,Snails ,
154,5,08/12/2014,D1,NHMU,Roof,Combi,Hymenoptera,Apidae,Yes,2,Tri-colored bumblebee,
154,5,08/12/2014,D1,NHMU,Roof,Combi,Hymenoptera,Vespidae,Yes,1,European paper wasp - has bright yellow legs ,
154,5,08/12/2014,D1,NHMU,Roof,Combi,Hymenoptera,Apidae,Yes,1,"Honey bee - thicker legs, hairy ",
155,5,08/12/2014,D2,NHMU,Roof,Combi,Araneae,Spider,No,2,Assorted Spiders,
155,5,08/12/2014,D2,NHMU,Roof,Combi,Diptera,Culicidae,No,2,Mosquito's with stripes ,
155,5,08/12/2014,D2,NHMU,Roof,Combi,Hymenoptera,Formicidae,No,1,"Carpenter ant swarmers, striped abdomens ",
155,5,08/12/2014,D2,NHMU,Roof,Combi,Coleoptera,Coccinellidae,No,1,Lady bug - specimen very old ,
155,5,08/12/2014,D2,NHMU,Roof,Combi,Diptera,Muscidae,No,2,Very small house flies ,
156,5,08/12/2014,E1,Marr Lib,Ground,Pitfall,Araneae,Spider,No,25,Assorted Spiders,
156,5,08/12/2014,E1,Marr Lib,Ground,Pitfall,Trichoptera,Limnephilidae,No,2,Small tan moth,
157,5,08/12/2014,E2,Marr Lib,Ground,PItfall,Isopoda,Armadillidiidae,No,42,Common pill bugs ,
157,5,08/12/2014,E2,Marr Lib,Ground,PItfall,Hymenoptera,Formicidae,No,1,"Carpenter ant, striped abdomens ",
158,5,08/12/2014,E3,Marr Lib,Ground,Pitfall,Diptera,Muscidae,No,1,"Common house fly, small ",
158,5,08/12/2014,E3,Marr Lib,Ground,Pitfall,Trichoptera,Limnephilidae,No,2,Small tan moth ,
158,5,08/12/2014,E3,Marr Lib,Ground,Pitfall,Dermaptera,Labiduridae,No,1,"Earwigs? Possibly, larvae or microearwigs ",
158,5,08/12/2014,E3,Marr Lib,Ground,Pitfall,Hymenoptera,Formicidae,No,1,Pavement ants,
158,5,08/12/2014,E3,Marr Lib,Ground,Pitfall,,,No,4,Micro insects ,
159,5,08/12/2014,E4,Marr Lib,Ground,Pitfall,Polydesmida,Eurymerodesmidae,No,1,Millipede ,
159,5,08/12/2014,E4,Marr Lib,Ground,Pitfall,Allogastropoda,Valvatidae,No,1,Small snail ,
159,5,08/12/2014,E4,Marr Lib,Ground,Pitfall,Polydesmida,Eurymerodesmidae,No,1,"Millipede larvae - ringged, circular ",
159,5,08/12/2014,E4,Marr Lib,Ground,Pitfall,,,,2,Weird things look like grasshopper - covered in white film,
160,5,08/12/2014,E5,Marr Lib,Ground,Pitfall,Lepidoptera,Sphingidae,No,1,Hummingbird moth- has clear spaces in wings ,
160,5,08/12/2014,E5,Marr Lib,Ground,Pitfall,Coleoptera,Tenebrionidae,No,1,Dentate Stink Beetle ,
160,5,08/12/2014,E5,Marr Lib,Ground,Pitfall,Coleoptera,Elateridae ,No,10,"Brown click beetles (Conoderus tabidus)- have flatish bodies, head seems like the same segment ",
161,5,08/12/2014,F1,NHMU,Ground,Combi,Coleoptera,Scarabaeidae ,No,6,"Dogbane leaf beetles -? Specimen are old, and hard to tell if iridescent ",
161,5,08/12/2014,F1,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,1,"Carpenter ant, striped abdomens ",
162,5,08/12/2014,F2,NHMU,Ground,Combi,Odonata,Aeshnidae,No,1,Dragonfly,
163,5,08/12/2014,F3,NHMU,Ground,Combi,Diptera,Dolichopodidae,No,6,long legged flies - iridescent ,
164,5,08/12/2014,F4,NHMU,Ground,Combi,Trichoptera,Limnephilidae,No,23,Tan moth ,
164,5,08/12/2014,F4,NHMU,Ground,Combi,Lepidoptera,Noctuidae,No,3,"Dingy Cutworm Moth - large with hairy shoulders, wings have little indents",
164,5,08/12/2014,F4,NHMU,Ground,Combi,Lepidoptera,Noctuidae,No,1,Forage Looper Moth ,
165,5,08/12/2014,F5,NHMU,Ground,Combi,Hymenoptera,Vespidae,Yes,1,European paper wasp - has bright yellow legs ,
165,5,08/12/2014,F5,NHMU,Ground,Combi,Hymenoptera,Pompilidae,Yes,1,"Spider wasp- long antennae, black",
165,5,08/12/2014,F5,NHMU,Ground,Combi,Diptera,Culicidae,No,1,Small mosquito ,
165,5,08/12/2014,F5,NHMU,Ground,Combi,Hymenoptera,Braconidae,Yes,1,Small red wasp with black wings ,
165,5,08/12/2014,F5,NHMU,Ground,Combi,Hymenoptera,Vespidae,Yes,1,"Wasp with yellow stripes, and no dots. ",
166,5,08/12/2014,F6,NHMU,Ground,Combi,Hymenoptera,Apidae,Yes,5,Tri-colored bumblebee,
166,5,08/12/2014,F6,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,2,"Carpenter ant, striped abdomens ",
166,5,08/12/2014,F6,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,3,"Small, black pavement ants ",
167,5,08/12/2014,F7,NHMU,Ground,Combi,Coleoptera,Meloidae,No,1,"Blister beetle, small black with weird head segment",
168,5,08/12/2014,F8,NHMU,Ground,Combi,Dermaptera,Labiduridae,No,1,Ring-legged Earwig ,
169,5,08/12/2014,F9,NHMU,Ground,Combi,,,,,,
169,5,08/12/2014,F9,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,8,"Carpenter ants, sugar ants ",
169,5,08/12/2014,F9,NHMU,Ground,Combi,Hymenoptera,Pompilidae,Yes,1,"Spider wasp- long antennae, black",
170,5,08/12/2014,F10,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,50,Carpenter ant - very small ,
171,5,08/12/2014,F11,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,37,Carpenter ant - very small ,
171,5,08/12/2014,F11,NHMU,Ground,Combi,Diptera,Muscidae,No,39,Common house fly ,
171,5,08/12/2014,F11,NHMU,Ground,Combi,Diptera,Calliphoridae,No,1,Blow fly - carrion fly. Iridescent green ,
171,5,08/12/2014,F11,NHMU,Ground,Combi,Diptera,Culicidae,No,9,Mosquitos,
171,5,08/12/2014,F11,NHMU,Ground,Combi,Araneae,Spider,No,2,"Assorted Spiders, very small ",
171,5,08/12/2014,F11,NHMU,Ground,Combi,Trichoptera,Limnephilidae,No,1,Small tan moth ,
171,5,08/12/2014,F11,NHMU,Ground,Combi,Coleoptera,Curculionidae ,No,1,Weevil family - long snout with fork 234,
171,5,08/12/2014,F11,NHMU,Ground,Combi,Hymenoptera,Andrenidae,Yes,54,"Small bees with posterier black cell. Perdita (388, Fig. B-389)",
172,5,08/12/2014,G1,Marr Lib,Roof,Pitfall,Allogastropoda,Valvatidae,No,13,Snails ,
173,5,08/12/2014,G2,Marr Lib,Roof,Pitfall,Isopoda,Armadillidiidae,No,234,Common pill bug,
174,5,08/12/2014,G3,Marr Lib,Roof,Pitfall,Hymenoptera,Formicidae,No,11,Carpenter ants - with stripes ,
175,5,08/12/2014,G4,Marr Lib,Roof,Pitfall,Coleoptera,Curculionidae ,No,1,Rocky Mountain Weevil - has weird projection off nose ,
175,5,08/12/2014,G4,Marr Lib,Roof,Pitfall,Coleoptera,Carabidae ,No,1,Large beetle- pterostichus melanarius ,
175,5,08/12/2014,G4,Marr Lib,Roof,Pitfall,,,,2,Micro fly ,
175,5,08/12/2014,G4,Marr Lib,Roof,Pitfall,Diptera,Rhinophoridae ,No,1,Small fly - all black ,
175,5,08/12/2014,G4,Marr Lib,Roof,Pitfall,Coleoptera,Lampyridae,No,2,"White stripe behind head, striped abdomen. (D3/D5) Looks like a firefly ",
175,5,08/12/2014,G4,Marr Lib,Roof,Pitfall,Polydesmida,Eurymerodesmidae,No,1,"Millipede larvae - ringged, circular ",
176,5,08/12/2014,G5,Marr Lib,Roof,Pitfall,Coleoptera,Meloidae,No,1,"Blister beetle- black, has weird feet. ",
176,5,08/12/2014,G5,Marr Lib,Roof,Pitfall,Diptera,Muscidae,No,2,Common house fly ,
176,5,08/12/2014,G5,Marr Lib,Roof,Pitfall,Hymenoptera,Vespidae,Yes,1,European paper wasp - has bright yellow legs ,
177,5,08/12/2014,G6,Marr Lib,Roof,Pitfall,Areaneae,Spiders,No,16,Assorted Spiders,
178,6,8/27-9/22,A1,Marr Lib,Ground,Pitfall,Areaneae,Spider,No,6,Assorted Spiders ,
719,6,8/27-9/22,A2,Marr Lib,Ground,Pitfall,Isopoda,Armadillidiidae,No,4,Common pillbug ,
719,6,8/27-9/22,A2,Marr Lib,Ground,Pitfall,Coleoptera,Curculionidae ,No,3,Rocky Mountain Weevil - has weird projection off nose ,
180,6,8/27-9/22,A3,Marr Lib,Ground,Pitfall,Trichoptera,Limnephilidae,No,1,Small tan moth,
180,6,8/27-9/22,A3,Marr Lib,Ground,Pitfall,Diptera ,Muscidae,No,2,Common house fly ,
180,6,8/27-9/22,A3,Marr Lib,Ground,Pitfall,Diptera,Rhagionidae,No,1,"Looks like a bee, striped wings, and abdomen ",
180,6,8/27-9/22,A3,Marr Lib,Ground,Pitfall,Hymenoptera,Formicidae,No,1,Carpenter ants ,
180,6,8/27-9/22,A3,Marr Lib,Ground,Pitfall,Diptera,Culicidae,No,3,Mosquito - small ,
180,6,8/27-9/22,A3,Marr Lib,Ground,Pitfall,Diptera ,Tipulidae ,No,1,Looks like crane fly  - no wings ,
181,6,8/27-9/22,A4,Marr Lib,Ground,Pitfall,Allogastropoda,Valvatidae,No,1,Snail ,
181,6,8/27-9/22,A4,Marr Lib,Ground,Pitfall,Soliolifera ,Slug Unknown,No,1,Slug ,
181,6,8/27-9/22,A4,Marr Lib,Ground,Pitfall,,,,1,Gnat ,
181,6,8/27-9/22,A4,Marr Lib,Ground,Pitfall,Hymenoptera,Formicidae,No,2,Carpenter ants ,
182,6,8/27-9/22,B1,Marr Lib,Ground,Pitfall,Isopoda,Armadillidiidae,No,10,Common pill bug,
183,6,8/27-9/22,B2,Marr Lib,Ground,Pitfall,Araneae,Spider,No,5,Assorted spiders,
184,6,8/27-9/22,B3,Marr Lib,Ground,Pitfall,Allogastropoda,Valvatidae,No,1,Snail shell - small ,
184,6,8/27-9/22,B3,Marr Lib,Ground,Pitfall,Polydesmida,Eurymerodesmidae,No,1,"Millipede larvae - ringged, circular ",
184,6,8/27-9/22,B3,Marr Lib,Ground,Pitfall,Coleoptera,Curculionidae ,No,1,Rocky Mountain Weevil - has weird projection off nose ,
184,6,8/27-9/22,B3,Marr Lib,Ground,Pitfall,Coleoptera,Elateridae ,No,1,"large brown click beetle - body all seems one segement, very small head",
184,6,8/27-9/22,B3,Marr Lib,Ground,Pitfall,Soliolifera ,Slug Unknown,No,1,Slug larvae?,
185,6,8/27-9/22,C1,Marr Lib,Roof,Pitfall,Isopoda,Armadillidiidae,No,70,Common pill bug,
186,6,8/27-9/22,C2,Marr Lib,Roof,Pitfall,Araneae,Spider,No,2,Assorted spiders,
187,6,8/27-9/22,C3,Marr Lib,Roof,Pitfall,Allogastropoda,Valvatidae,No,8,Snails ,
188,6,8/27-9/22,D1,Marr Lib,Roof,Pitfall,Allogastropoda,Valvatidae,No,80,Snails ,
189,6,8/27-9/22,D2,Marr Lib,Roof,Pitfall,Isopoda,Armadillidiidae,No,188,Common pill bug,
190,6,8/27-9/22,D3,Marr Lib,Roof,Pitfall,Hymenoptera,Formicidae,No,10,Red pavement ants ,
191,6,8/27-9/22,D4,Marr Lib,Roof,Pitfall,Diptera,Muscidae,No,2,Common house fly ,
191,6,8/27-9/22,D4,Marr Lib,Roof,Pitfall,Hymenoptera,Apidae,Yes,1,"Honey bee - thicker legs, hairy. Specimen very old ",
191,6,8/27-9/22,D4,Marr Lib,Roof,Pitfall,Coleoptera,Carabidae ,No,1,"Ground beetle - large, striped abdomen, non-striped head. ",
192,6,8/27-9/22,D5,Marr Lib,Roof,Pitfall,Araneae,Spider,No,1,Spider,
192,6,8/27-9/22,D5,Marr Lib,Roof,Pitfall,Scutigeromorpha,Scutigeridae,No,1,"House Centipede - yellow/brown coloration, long antenae ",
192,6,8/27-9/22,D5,Marr Lib,Roof,Pitfall,Polydesmida,Eurymerodesmidae,No,1,"Millipede larvae - ringged, circular ",
192,6,8/27-9/22,D5,Marr Lib,Roof,Pitfall,,,No,1,Slug larvae? Same as B3,
193,6,8/27-9/22,E1,Marr Lib,Roof,Pitfall,Araneae,Spider,No,8,Spiders,
194,6,8/27-9/22,E2,Marr Lib,Roof,Pitfall,Isopoda,Armadillidiidae,No,192,Common pill bug ,
195,6,8/27-9/22,E3,Marr Lib,Roof,Pitfall,Allogastropoda,Valvatidae,No,6,snails ,
196,6,8/27-9/22,E4,Marr Lib,Roof,Pitfall,Dermaptera,Labiduridae,No,1,Ring-legged Earwig ,
197,6,8/27-9/22,E5,Marr Lib,Roof,Pitfall,Coleoptera,Elateridae ,No,1,Iridescent green click beetle (Nitidolimonius resplendens) ,
197,6,8/27-9/22,E5,Marr Lib,Roof,Pitfall,Coleoptera,Carabidae ,No,1,"Ground beetle - large, striped abdomen, non-striped head. ",
198,6,8/27-9/22,F1,NHMU,Ground,Pitfall,Araneae,Spider,No,31,Spiders,
199,6,8/27-9/22,F2,NHMU,Ground,Pitfall,Dermaptera,Labiduridae,No,1,Ring-legged Earwig ,
201,6,8/27-9/22,F3,NHMU,Ground,Pitfall,Isopoda,Armadillidiidae,No,8,Common pill bugs ,
203,6,8/27-9/22,F4,NHMU,Ground,Pitfall,Lepidoptera,Noctuidae,No,1,Dingy Cutworm Moth - large with hairy shoulders,
204,6,8/27-9/22,F5,NHMU,Ground,Pitfall,Ephemeroptera,Baetidae,No,4,Mayfly larvae ,
205,6,8/27-9/22,F6,NHMU,Ground,Pitfall,,,,4,Weird wasp ,
206,6,8/27-9/22,F7,NHMU,Ground,Pitfall,Diptera,Muscidae,No,3,Common house fly ,
207,6,8/27-9/22,G1,NHMU,Ground,Combi,Diptera ,Calliphoridae,No,5,"Common green bottle fly, large iridescent",
208,6,8/27-9/22,G2,NHMU,Ground,Combi,,,,9,Weird bee/ant things ,
209,6,8/27-9/22,G3,NHMU,Ground,Combi,Hymenoptera,Pompilidae,Yes,2,"Spider wasp- long antennae, black",
209,6,8/27-9/22,G3,NHMU,Ground,Combi,Diptera,Culicidae,No,1,Small mosquitos ,
209,6,8/27-9/22,G3,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,4,"Pavement ants - two red, one black, one brown",
210,6,8/27-9/22,G4,NHMU,Ground,Combi,Areaneae,Spider,No,2,Spiders,
210,6,8/27-9/22,G4,NHMU,Ground,Combi,Dermaptera,Labiduridae,No,1,Ring-legged earwig ,
210,6,8/27-9/22,G4,NHMU,Ground,Combi,Hymenoptera,Formicidae,No,3,small black ants ,
210,6,8/27-9/22,G4,NHMU,Ground,Combi,Coleoptera,Curculionidae ,No,1,Acorn Weevil - brown ,
211,6,8/27-9/22,G5,NHMU,Ground,Combi,Hymenoptera,Apidae,Yes,1,Honey bee ,Apis mellifera
211,6,8/27-9/22,G5,NHMU,Ground,Combi,Hymenoptera,Sphecidae,Yes,1,"Thread Waisted Wasp, blue iridescent ",Chalybion californicum 
211,6,8/27-9/22,G5,NHMU,Ground,Combi,Diptera,Dolichopodidae,No,1,Shiny flies - long legged flies,
211,6,8/27-9/22,G5,NHMU,Ground,Combi,Hymenoptera,Pompilidae,Yes,1,"Spider wasp- long antennae, black",Pompilus luctosus
211,6,8/27-9/22,G5,NHMU,Ground,Combi,Hymenoptera,Vespidae,Yes,1,European paper wasp - antennae and legs yellow/orange. Polistes dominula,Polistes dominula 
211,6,8/27-9/22,G5,NHMU,Ground,Combi,Hymenoptera,Vespidae,Yes,2,Yellow Jacket - has dots and half diamonds on abdomen,Vespula pensylvanica
211,6,8/27-9/22,G5,NHMU,Ground,Combi,Hymenoptera,Eumenidae,Yes,2,Euodynerus hidalgo Potter wasp?,
212,6,8/27-9/22,G6,NHMU,Ground,Combi,Lepidoptera,Noctuidae,No,8,"large, hairy shoulders, small tan moths  ",
213,6,8/27-9/22,G7,NHMU,Ground,Combi,Hemiptera,Miridae,No,1,"Small, plant bugs, long antennae pg149",
213,6,8/27-9/22,G7,NHMU,Ground,Combi,Diptera,Syrphidae,Yes,4,"Yellow legs, red eyes. Yellow bands on abdomen pg 341",
213,6,8/27-9/22,G7,NHMU,Ground,Combi,Diptera ,Lauxaniidae,No,5,"tan flies, with stripes ",
213,6,8/27-9/22,G7,NHMU,Ground,Combi,Diptera,Muscidae,No,3,House flies ,
214,6,8/27-9/22,G8,NHMU,Ground,Combi,Coleoptera,Dermestidae ,No,6,Large beetle with red pattern on back - carpet beetle ,
214,6,8/27-9/22,G8,NHMU,Ground,Combi,Hemiptera,Rhopalidae ,No,1,"Boxelder Bug - reg eyes, red backs ",
215,6,8/27-9/22,G9,NHMU,Ground,Combi,Diptera,Dolichopodidae,No,20,long legged flies - iridescent ,
216,6,8/27-9/22,G10,NHMU,Ground,Combi,Diptera,Muscidae,No,93,Common house fly ,
216,6,8/27-9/22,G11,NHMU,Ground,Combi,,,,1,Bee/ant things ,
217,6,8/27-9/22,G11,NHMU,Ground,Combi,Diptera,Muscidae,No,4,Common house fly ,
217,6,8/27-9/22,G11,NHMU,Ground,Combi,Diptera,Syrphidae,Yes,29,"Yellow legs, red eyes. Yellow bands on abdomen pg 341",
218,6,8/27-9/22,H1,NHMU,Roof,Combi,Diptera,Dolichopodidae,No,2,long legged flies - iridescent ,
218,6,8/27-9/22,H1,NHMU,Roof,Combi,Lepidoptera,Tineidae,No,1,"Clothes moth, small tan pg297",
218,6,8/27-9/22,H1,NHMU,Roof,Combi,Lepidoptera,Noctuidae,No,1,"Tufted thorax, hairlike antennae pg297",
218,6,8/27-9/22,H1,NHMU,Roof,Combi,Diptera ,Drosophilidae,No,1,"Friut fly, yellowish with red eyes ",
218,6,8/27-9/22,H1,NHMU,Roof,Combi,Diptera ,Bibionidae ,No,1,March fly pg332,
218,6,8/27-9/22,H1,NHMU,Roof,Combi,Areaneae,Spider,No,1,Spider,
218,6,8/27-9/22,H1,NHMU,Roof,Combi,Diptera,Muscidae,No,1,House fly ,
219,6,8/27-9/22,H2,NHMU,Roof,Pitfall,Coleoptera,Dermestidae ,No,1,Large beetle with red pattern on back - carpet beetle ,
219,6,8/27-9/22,H2,NHMU,Roof,Pitfall,Hymenoptera,Apidae,Yes,2,Honey bee- very old ,Apis mellifera
220,6,8/27-9/22,I1,NHMU,Roof,Pitfall,Isopoda,Armadillidiidae,No,2,Common pill bug,
