Sample # - this is the number of the sample collected in a trap during the time period covered in column C,Box # - this is the number on the box in which these vials of insects are contained,Date - this is the time period during which invertebrates were trapped for this sample,"ID - this is the location in the box for this vial, row A, column 1",Location - this is the location where the sample was collected (NHMU: Natural History Museum of Utah; Marr Lib: Marriot Library at the University of Utah),Roof/Ground - this is where the traps were located at each location (Ground: at ground level; roof: on the green roof),Combi/Pitfall - this is the type of trap used to collect the sample (Combi: combination trap that catches aerial invertebrate; Pitfall: pitfall trap that catches ground crawling invertebrates),Order - this is the taxonomic order of the collected invertebrates),Family - this is the taxonomic family of the invertebrates collected,Pollinator - this is whether or not the invertebrate is a known pollinator (Yes) or not (No),Amount - this is the number of each invertebrate of this morphospecies in the sample,Notes:,
52,2,6/18-11/24,C4,Marr Lib,Ground,Pitfall,Lepidoptera,,No,1,Large moth,
52,2,6/18-11/24,C4,Marr Lib,Ground,Pitfall,Lepidoptera,,No,1,Small moth,
53,2,6/18-11/24,D1,NHMU,Roof,Pitfall,Isopoda,Armadillidiidae,No,5,Common pill bug,
54,2,6/18-11/24,D2,NHMU,Roof,Pitfall,Araneae,Spider,No,2,Spiders,
55,2,6/18-11/24,D3,NHMU,Roof,Pitfall,Hymenoptera,Formicidae,No,2,Ants,
55,2,6/18-11/24,D3,NHMU,Roof,Pitfall,Diptera,Muscidae,No,1,House fly,
55,2,6/18-11/24,D3,NHMU,Roof,Pitfall,,,,12,Insects Unknown,
56,2,6/18-11/24,E1,Unlabled,Ground,Pitfall,Araneae,Spider,No,5,Spiders,
57,2,6/18-11/24,E2,Unlabled,Ground,Pitfall,Araneae,Spider,No,14,Small Spiders,
58,2,6/18-11/24,E3,Unlabled,Ground,Pitfall,Diptera,Muscidae,No,1,House fly,
58,2,6/18-11/24,E3,Unlabled,Ground,Pitfall,Diptera,Drosophilidae,No,2,"Fruit flies, brown flies",
58,2,6/18-11/24,E3,Unlabled,Ground,Pitfall,,,No,2,Little flies,
58,2,6/18-11/24,E3,Unlabled,Ground,Pitfall,,,No,1,Unknown beetle,
59,2,6/18-11/24,E4,Unlabled,Ground,Pitfall,,,,,,
60,2,6/18-11/24,E5,Unlabled,Ground,Pitfall,Polydesmida,Eurymerodesmus,No,5,Millipedes,
61,2,6/18-11/24,E6,Unlabled,Ground,Pitfall,Dermaptera,Labiduridae,No,7,"Two segmented six legged insect, probably very old Ring legged earwigs",
62,2,6/18-11/24,E7,Unlabled,Ground,Pitfall,Hymenoptera,Formicidae,No,11,Ants,
63,2,6/18-11/24,F1,Marr Lib,Roof,Pitfall,Isopoda,Armadillidiidae,No,16,Common pill bug,
64,2,6/18-11/24,F2,Marr Lib,Roof,Pitfall,ÿColeoptera,,No,6,"3- Darkling Beetles, 1-?",
65,2,6/18-11/24,F3,Marr Lib,Roof,Pitfall,Araneae,Spider,No,9,Assorted Spiders,
66,2,6/18-11/24,F4,Marr Lib,Roof,Pitfall,Hymenoptera,Formicidae,No,26,Ants,
67,2,6/18-11/24,F5,Marr Lib,Roof,Pitfall,Diptera,Drosophilidae,No,4,"Brown flies, 1- small black fly",
68,2,6/18-11/24,F6,Marr Lib,Roof,Pitfall,Dermaptera,Labiduridae,No,1,Ring legged earwig,
69,2,6/18-11/24,F7,Marr Lib,Roof,Pitfall,Hymenoptera,Apidae,Yes,1,Honey bee ,
70,2,6/18-11/24,"""Snails only""",Marr Lib,Roof,Pitfall,Allogastropoda,Valvatidae,No,5,"Snails (3 large, 2 small)",
70,2,6/18-11/24,"""Snails only""",Marr Lib,Roof,Pitfall,Araneae,Spider,No,2,Assorted Spiders,
70,2,6/18-11/24,"""Snails only""",Marr Lib,Roof,Pitfall,Isopoda,Armadillidiidae,No,3,Common pill bug,
70,2,6/18-11/24,"""Snails only""",Marr Lib,Roof,Pitfall,Hymenoptera,Formicidae,No,2,Pavement ants,
71,3,6/24-7/2,A1,NHMU,Roof,Combi,ÿColeoptera,Melyridae,No,3,Scarlet malachite beetle ,
72,3,6/24-7/2,A2,NHMU,Roof,Combi,Hymenoptera,Formicidae,No,19,"Red pavement ant swarmers - looks similar to a pavement ant, but has wings ",
73,3,6/24-7/2,A3,NHMU,Roof,Combi,,,,1,Brown fly ,
73,3,6/24-7/2,A3,NHMU,Roof,Combi,Hymenoptera,  Crabronidae,Yes,8,Weevil wasp,
74,3,6/24-7/2,A4,NHMU,Roof,Combi,Hymenoptera,Apidae,Yes,2,Tri-colored bumble bee,
74,3,6/24-7/2,A4,NHMU,Roof,Combi,Hymenoptera, Crabronidae,Yes,3,"Weevil wasp, 1-small 2-large",
75,3,6/24-7/2,A5,NHMU,Roof,Combi,Hymenoptera,Halictidae,Yes,1,Iridescent bee,
75,3,6/24-7/2,A5,NHMU,Roof,Combi,,,,1,"Unknown: possibly a grasshopper, but doesn't seem to have elongeated hindlegs- lacewing?. ",
75,3,6/24-7/2,A5,NHMU,Roof,Combi,ÿColeoptera,,No,1,Darkling beetle ,
75,3,6/24-7/2,A5,NHMU,Roof,Combi,,,,1,"Very small grashopper, seems to have red eyes and golden spots on abdomen ",
76,3,6/24-7/2,B1,Marr Lib,Ground,Combi,Dermaptera,Labiduridae,No,9,Ringlegeed earwig,
77,3,6/24-7/2,B2,Marr Lib,Ground,Combi,Isopoda,Armadillidiidae,No,11,Common pill bug,
77,3,6/24-7/2,B2,Marr Lib,Ground,Combi,Araneae,Spider,No,1,Spider ,
78,3,6/24-7/2,B3,Marr Lib,Ground,Combi,Araneae,Spider,No,3,Assorted Spiders,
