Native bird data from Threlfall et al Journal of Applied Ecology 'Increasing biodiversity in urban green spaces through simple vegetation interventions',,,
For data collection methods see above paper.,,,
spp = species. Point = green space site (n=39). Rep = plot within each green space.,,,
spp,point,rep,occ
"""Australian Magpie""",GC001,1,1
"""Australian Magpie""",GC001,2,1
"""Australian Magpie""",GC001,3,1
"""Australian Magpie""",GC002,1,1
"""Australian Magpie""",GC002,2,1
"""Australian Magpie""",GC002,3,1
"""Australian Magpie""",GC003,1,1
"""Australian Magpie""",GC003,2,1
"""Australian Magpie""",GC003,3,1
"""Australian Magpie""",GC004,1,1
"""Australian Magpie""",GC004,2,1
"""Australian Magpie""",GC004,3,1
"""Australian Magpie""",GC005,1,1
"""Australian Magpie""",GC005,2,1
"""Australian Magpie""",GC005,3,1
"""Australian Magpie""",GC006,1,1
"""Australian Magpie""",GC006,2,1
"""Australian Magpie""",GC006,3,1
"""Australian Magpie""",GC007,1,1
"""Australian Magpie""",GC007,2,1
"""Australian Magpie""",GC007,3,1
"""Australian Magpie""",GC008,1,1
"""Australian Magpie""",GC008,2,1
"""Australian Magpie""",GC008,3,1
"""Australian Magpie""",GC009,1,1
"""Australian Magpie""",GC009,2,1
"""Australian Magpie""",GC009,3,1
"""Australian Magpie""",GC010,1,1
"""Australian Magpie""",GC010,2,1
"""Australian Magpie""",GC010,3,1
"""Australian Magpie""",GC011,1,1
"""Australian Magpie""",GC011,2,1
"""Australian Magpie""",GC011,3,1
"""Australian Magpie""",GC012,1,1
"""Australian Magpie""",GC012,2,1
"""Australian Magpie""",GC012,3,1
"""Australian Magpie""",GC013,1,1
"""Australian Magpie""",GC013,2,1
"""Australian Magpie""",GC013,3,1
"""Australian Magpie""",RG001,1,1
"""Australian Magpie""",RG001,2,1
"""Australian Magpie""",RG001,3,1
"""Australian Magpie""",RG002,1,1
"""Australian Magpie""",RG002,2,1
"""Australian Magpie""",RG002,3,1
"""Australian Magpie""",RG003,1,1
"""Australian Magpie""",RG003,2,1
"""Australian Magpie""",RG004,1,1
"""Australian Magpie""",RG004,2,1
"""Australian Magpie""",RG004,3,1
"""Australian Magpie""",RG005,1,1
"""Australian Magpie""",RG005,2,1
"""Australian Magpie""",RG005,3,1
"""Australian Magpie""",RG006,1,1
"""Australian Magpie""",RG006,2,1
"""Australian Magpie""",RG006,3,1
"""Australian Magpie""",RG007,1,1
"""Australian Magpie""",RG007,2,1
"""Australian Magpie""",RG007,3,1
"""Australian Magpie""",RG008,1,1
"""Australian Magpie""",RG008,2,1
"""Australian Magpie""",RG008,3,1
"""Australian Magpie""",RG009,1,1
"""Australian Magpie""",RG009,2,1
"""Australian Magpie""",RG009,3,1
"""Australian Magpie""",RG010,2,1
"""Australian Magpie""",RG010,3,1
"""Australian Magpie""",RG011,1,1
"""Australian Magpie""",RG011,2,1
"""Australian Magpie""",RG011,3,1
"""Australian Magpie""",RG012,1,1
"""Australian Magpie""",RG012,2,1
"""Australian Magpie""",RG012,3,1
"""Australian Magpie""",RG013,1,1
"""Australian Magpie""",RG013,2,1
"""Australian Magpie""",RG013,3,1
"""Australian Magpie""",UP001,1,1
"""Australian Magpie""",UP001,2,1
"""Australian Magpie""",UP001,3,1
"""Australian Magpie""",UP002,1,1
"""Australian Magpie""",UP002,2,1
"""Australian Magpie""",UP002,3,1
"""Australian Magpie""",UP003,1,1
"""Australian Magpie""",UP003,3,1
"""Australian Magpie""",UP004,1,1
"""Australian Magpie""",UP004,2,1
"""Australian Magpie""",UP004,3,1
"""Australian Magpie""",UP005,1,1
"""Australian Magpie""",UP005,2,1
"""Australian Magpie""",UP005,3,1
"""Australian Magpie""",UP006,1,1
"""Australian Magpie""",UP006,2,1
"""Australian Magpie""",UP006,3,1
"""Australian Magpie""",UP007,1,1
"""Australian Magpie""",UP007,2,1
"""Australian Magpie""",UP007,3,1
"""Australian Magpie""",UP008,1,1
"""Australian Magpie""",UP008,2,1
"""Australian Magpie""",UP008,3,1
"""Australian Magpie""",UP009,1,1
"""Australian Magpie""",UP009,2,1
"""Australian Magpie""",UP009,3,1
"""Australian Magpie""",UP010,1,1
"""Australian Magpie""",UP010,2,1
"""Australian Magpie""",UP011,1,1
"""Australian Magpie""",UP011,2,1
"""Australian Magpie""",UP011,3,1
"""Australian Magpie""",UP012,1,1
"""Australian Magpie""",UP012,2,1
"""Australian Magpie""",UP012,3,1
"""Australian Magpie""",UP013,1,1
"""Australian Magpie""",UP013,2,1
"""Australian Magpie""",UP013,3,1
"""Black-faced Cuckoo-Shrike""",GC004,2,1
"""Black-faced Cuckoo-Shrike""",GC006,1,1
"""Black-faced Cuckoo-Shrike""",GC007,2,1
"""Black-faced Cuckoo-Shrike""",GC008,2,1
"""Black-faced Cuckoo-Shrike""",GC009,3,1
"""Black-faced Cuckoo-Shrike""",GC010,1,1
"""Black-faced Cuckoo-Shrike""",UP004,1,1
"""Brown Goshawk""",GC008,1,1
"""Brown Goshawk""",UP009,1,1
"""Brown Thornbill""",GC002,1,1
"""Brown Thornbill""",GC002,3,1
"""Brown Thornbill""",GC004,3,1
"""Brown Thornbill""",GC005,1,1
"""Brown Thornbill""",GC005,2,1
"""Brown Thornbill""",GC005,3,1
"""Brown Thornbill""",GC008,1,1
"""Brown Thornbill""",GC008,2,1
"""Brown Thornbill""",GC008,3,1
"""Brown Thornbill""",GC009,3,1
"""Brown Thornbill""",GC010,2,1
"""Brown Thornbill""",GC010,3,1
"""Brown Thornbill""",GC012,1,1
"""Brown Thornbill""",GC012,2,1
"""Brown Thornbill""",GC012,3,1
"""Brown Thornbill""",RG001,1,1
"""Brown Thornbill""",RG008,1,1
"""Brown Thornbill""",RG009,1,1
"""Brown Thornbill""",UP002,1,1
"""Brown Thornbill""",UP002,3,1
"""Brown Thornbill""",UP008,1,1
"""Brown Thornbill""",UP008,2,1
"""Brown Thornbill""",UP008,3,1
"""Brown-headed Honeyeater""",GC008,2,1
"""Brown-headed Honeyeater""",UP007,2,1
"""Brush Bronzewing""",GC008,3,1
"""Brush Bronzewing""",GC009,2,1
"""Buff-rumped Thornbill""",GC008,1,1
"""Buff-rumped Thornbill""",RG008,1,1
"""Collared Sparrowhawk""",GC006,1,1
"""Collared Sparrowhawk""",GC008,1,1
"""Common Bronzewing""",GC002,2,1
"""Common Bronzewing""",GC002,3,1
"""Common Bronzewing""",GC003,3,1
"""Common Bronzewing""",GC004,3,1
"""Common Bronzewing""",GC005,3,1
"""Common Bronzewing""",GC006,1,1
"""Common Bronzewing""",GC007,1,1
"""Common Bronzewing""",GC007,3,1
"""Common Bronzewing""",GC008,3,1
"""Common Bronzewing""",GC009,2,1
"""Common Bronzewing""",GC009,3,1
"""Common Bronzewing""",GC010,2,1
"""Common Bronzewing""",GC010,3,1
"""Common Bronzewing""",GC012,1,1
"""Common Bronzewing""",GC013,2,1
"""Common Bronzewing""",GC013,3,1
"""Crested Pigeon""",GC001,1,1
"""Crested Pigeon""",GC001,2,1
"""Crested Pigeon""",GC001,3,1
"""Crested Pigeon""",GC002,2,1
"""Crested Pigeon""",GC002,3,1
"""Crested Pigeon""",GC003,1,1
"""Crested Pigeon""",GC003,3,1
"""Crested Pigeon""",GC004,1,1
"""Crested Pigeon""",GC004,2,1
"""Crested Pigeon""",GC004,3,1
"""Crested Pigeon""",GC005,1,1
"""Crested Pigeon""",GC005,3,1
"""Crested Pigeon""",GC006,1,1
"""Crested Pigeon""",GC006,2,1
"""Crested Pigeon""",GC006,3,1
"""Crested Pigeon""",GC007,1,1
"""Crested Pigeon""",GC007,2,1
"""Crested Pigeon""",GC007,3,1
"""Crested Pigeon""",GC008,1,1
"""Crested Pigeon""",GC009,1,1
"""Crested Pigeon""",GC009,2,1
"""Crested Pigeon""",GC009,3,1
"""Crested Pigeon""",GC010,1,1
"""Crested Pigeon""",GC010,2,1
"""Crested Pigeon""",GC010,3,1
"""Crested Pigeon""",GC011,1,1
"""Crested Pigeon""",GC011,3,1
"""Crested Pigeon""",GC012,2,1
"""Crested Pigeon""",GC013,1,1
"""Crested Pigeon""",GC013,2,1
"""Crested Pigeon""",GC013,3,1
"""Crested Pigeon""",RG003,1,1
"""Crested Pigeon""",RG005,1,1
"""Crested Pigeon""",RG008,2,1
"""Crested Pigeon""",RG012,1,1
"""Crested Pigeon""",RG012,2,1
"""Crested Pigeon""",RG012,3,1
"""Crested Pigeon""",UP001,1,1
"""Crested Pigeon""",UP001,2,1
"""Crested Pigeon""",UP001,3,1
"""Crested Pigeon""",UP002,1,1
"""Crested Pigeon""",UP002,2,1
"""Crested Pigeon""",UP002,3,1
"""Crested Pigeon""",UP003,2,1
"""Crested Pigeon""",UP003,3,1
"""Crested Pigeon""",UP004,1,1
"""Crested Pigeon""",UP004,2,1
"""Crested Pigeon""",UP005,1,1
"""Crested Pigeon""",UP005,2,1
"""Crested Pigeon""",UP005,3,1
"""Crested Pigeon""",UP006,1,1
"""Crested Pigeon""",UP006,2,1
"""Crested Pigeon""",UP006,3,1
"""Crested Pigeon""",UP007,1,1
"""Crested Pigeon""",UP007,2,1
"""Crested Pigeon""",UP007,3,1
"""Crested Pigeon""",UP008,1,1
"""Crested Pigeon""",UP008,2,1
"""Crested Pigeon""",UP008,3,1
"""Crested Pigeon""",UP013,3,1
"""Crimson Rosella""",GC004,1,1
"""Crimson Rosella""",RG010,1,1
"""Crimson Rosella""",UP010,1,1
"""Eastern Rosella""",GC001,1,1
"""Eastern Rosella""",GC001,2,1
"""Eastern Rosella""",GC001,3,1
"""Eastern Rosella""",GC002,1,1
"""Eastern Rosella""",GC002,2,1
"""Eastern Rosella""",GC002,3,1
"""Eastern Rosella""",GC003,1,1
"""Eastern Rosella""",GC003,2,1
"""Eastern Rosella""",GC003,3,1
"""Eastern Rosella""",GC004,1,1
"""Eastern Rosella""",GC004,2,1
"""Eastern Rosella""",GC004,3,1
"""Eastern Rosella""",GC005,1,1
"""Eastern Rosella""",GC005,3,1
"""Eastern Rosella""",GC006,1,1
"""Eastern Rosella""",GC006,2,1
"""Eastern Rosella""",GC006,3,1
"""Eastern Rosella""",GC007,1,1
"""Eastern Rosella""",GC007,2,1
"""Eastern Rosella""",GC007,3,1
"""Eastern Rosella""",GC008,1,1
"""Eastern Rosella""",GC009,1,1
"""Eastern Rosella""",GC009,2,1
"""Eastern Rosella""",GC009,3,1
"""Eastern Rosella""",GC010,1,1
"""Eastern Rosella""",GC010,2,1
"""Eastern Rosella""",GC010,3,1
"""Eastern Rosella""",GC011,1,1
"""Eastern Rosella""",GC011,3,1
"""Eastern Rosella""",GC012,1,1
"""Eastern Rosella""",GC013,1,1
"""Eastern Rosella""",RG002,1,1
"""Eastern Rosella""",RG002,3,1
"""Eastern Rosella""",RG007,1,1
"""Eastern Rosella""",RG007,2,1
"""Eastern Rosella""",RG008,1,1
"""Eastern Rosella""",RG008,2,1
"""Eastern Rosella""",RG009,1,1
"""Eastern Rosella""",RG009,3,1
"""Eastern Rosella""",RG010,3,1
"""Eastern Rosella""",RG012,1,1
"""Eastern Rosella""",UP001,1,1
"""Eastern Rosella""",UP001,3,1
"""Eastern Rosella""",UP002,1,1
"""Eastern Rosella""",UP002,2,1
"""Eastern Rosella""",UP002,3,1
"""Eastern Rosella""",UP004,1,1
"""Eastern Rosella""",UP004,2,1
"""Eastern Rosella""",UP005,3,1
"""Eastern Rosella""",UP006,3,1
"""Eastern Rosella""",UP007,1,1
"""Eastern Rosella""",UP007,2,1
"""Eastern Rosella""",UP007,3,1
"""Eastern Rosella""",UP008,1,1
"""Eastern Rosella""",UP008,2,1
"""Eastern Rosella""",UP008,3,1
"""Eastern Rosella""",UP009,1,1
"""Eastern Rosella""",UP009,2,1
"""Eastern Rosella""",UP012,1,1
"""Eastern Rosella""",UP012,2,1
"""Eastern Rosella""",UP012,3,1
"""Eastern Spinebill""",GC008,1,1
"""Eastern Spinebill""",GC008,3,1
"""Eastern Spinebill""",RG009,3,1
"""Eastern Yellow Robin""",GC007,1,1
"""Eastern Yellow Robin""",GC008,1,1
"""Eastern Yellow Robin""",GC008,2,1
"""Eastern Yellow Robin""",GC008,3,1
"""Fairy Martin""",GC010,2,1
"""Fairy Martin""",GC012,3,1
"""Galah""",GC001,3,1
"""Galah""",GC002,2,1
"""Galah""",GC003,1,1
"""Galah""",GC004,1,1
"""Galah""",GC004,2,1
"""Galah""",GC006,1,1
"""Galah""",GC006,3,1
"""Galah""",GC008,1,1
"""Galah""",GC010,2,1
"""Galah""",GC010,3,1
"""Galah""",GC011,1,1
"""Galah""",GC013,1,1
"""Galah""",GC013,2,1
"""Galah""",GC013,3,1
"""Galah""",RG004,1,1
"""Galah""",RG009,2,1
"""Galah""",RG009,3,1
"""Galah""",RG010,2,1
