Coleoptera data from Threlfall et al Journal of Applied Ecology 'Increasing biodiversity in urban green spaces through simple vegetation interventions',,,
For data collection methods see above paper.,,,
spp = species. Point = green space site (n=39). Rep = plot within each green space. For family abbreviations see Supplementary materials.,,,
spp,point,rep,occ
ADER.120,GC006,2,1
ADER.120,GC006,4,1
ADER.120,GC008,3,1
ADER.120,GC009,3,1
ADER.120,RG006,3,1
ADER.120,UP008,1,1
ADER.120,UP009,1,1
ADER.120,UP012,2,1
ANTH.119,GC003,1,1
ANTH.119,GC009,4,1
ANTH.119,RG007,1,1
ANTH.128,GC009,3,1
ANTH.128,RG006,3,1
ANTH.128,RG009,1,1
CAR.114,GC001,3,1
CAR.114,GC003,2,1
CAR.114,GC004,1,1
CAR.114,GC004,3,1
CAR.114,GC005,1,1
CAR.114,GC006,2,1
CAR.114,GC006,4,1
CAR.114,GC007,1,1
CAR.114,GC007,2,1
CAR.114,GC007,4,1
CAR.114,GC009,1,1
CAR.114,GC009,3,1
CAR.114,GC009,4,1
CAR.114,GC012,1,1
CAR.114,RG003,1,1
CAR.114,RG005,1,1
CAR.114,RG007,1,1
CAR.114,RG007,4,1
CAR.114,RG009,1,1
CAR.114,RG009,2,1
CAR.114,RG009,3,1
CAR.114,RG009,4,1
CAR.114,RG012,2,1
CAR.114,RG012,4,1
CAR.114,UP001,2,1
CAR.114,UP003,1,1
CAR.114,UP006,2,1
CAR.114,UP007,1,1
CAR.114,UP009,1,1
CAR.114,UP009,2,1
CAR.114,UP012,2,1
CAR.115,GC003,2,1
CAR.115,GC004,1,1
CAR.115,GC004,2,1
CAR.115,GC004,3,1
CAR.115,GC006,2,1
CAR.115,GC006,4,1
CAR.115,GC007,1,1
CAR.115,GC007,4,1
CAR.115,GC009,1,1
CAR.115,GC009,3,1
CAR.115,GC009,4,1
CAR.115,GC012,1,1
CAR.115,GC012,3,1
CAR.115,RG001,3,1
CAR.115,RG003,1,1
CAR.115,RG006,3,1
CAR.115,RG007,1,1
CAR.115,RG007,4,1
CAR.115,RG009,1,1
CAR.115,RG009,2,1
CAR.115,RG009,3,1
CAR.115,RG009,4,1
CAR.115,RG012,4,1
CAR.115,RG013,2,1
CAR.115,UP001,2,1
CAR.115,UP003,1,1
CAR.115,UP006,2,1
CAR.115,UP007,1,1
CAR.115,UP008,1,1
CAR.115,UP009,1,1
CAR.115,UP009,2,1
CAR.116,GC003,1,1
CAR.116,GC003,2,1
CAR.116,GC004,1,1
CAR.116,GC004,2,1
CAR.116,GC004,3,1
CAR.116,GC005,1,1
CAR.116,GC007,1,1
CAR.116,GC007,4,1
CAR.116,GC009,2,1
CAR.116,GC009,3,1
CAR.116,GC009,4,1
CAR.116,RG009,2,1
CAR.116,RG009,3,1
CAR.116,UP006,2,1
CAR.116,UP009,1,1
CAR.117,GC003,1,1
CAR.117,GC003,2,1
CAR.117,GC004,1,1
CAR.117,GC006,2,1
CAR.117,GC007,1,1
CAR.117,GC007,4,1
CAR.117,GC009,1,1
CAR.117,GC009,2,1
CAR.117,GC009,3,1
CAR.117,GC009,4,1
CAR.117,GC012,1,1
CAR.117,UP003,1,1
CAR.117,UP007,1,1
CAR.127,GC007,4,1
CAR.127,GC008,1,1
CAR.127,UP007,1,1
CAR.131,GC006,4,1
CAR.131,RG007,1,1
CAR.131,RG009,3,1
CAR.131,RG009,4,1
CAR.131,RG012,4,1
CAR.132,GC003,1,1
CAR.132,GC009,3,1
CAR.132,RG009,3,1
CAR.158,GC006,2,1
CAR.158,GC007,4,1
CAR.158,RG003,1,1
CAR.158,RG009,4,1
CAR.17,GC009,3,1
CAR.17,RG003,1,1
CAR.17,RG009,3,1
CAR.52,GC003,1,1
CAR.52,RG009,2,1
CAR.52,RG009,3,1
CAR.54,GC009,1,1
CAR.54,GC009,2,1
CAR.54,RG001,1,1
CAR.54,UP006,2,1
CAR.56,GC003,3,1
CAR.56,GC004,2,1
CAR.56,UP006,2,1
CAR.63,GC003,2,1
CAR.63,GC004,4,1
CAR.63,GC007,4,1
CAR.63,GC009,1,1
CAR.63,UP006,2,1
CAR.64,GC003,2,1
CAR.64,GC004,4,1
CAR.64,RG009,4,1
CAR.64,UP009,1,1
CAR.68,GC009,1,1
CAR.68,GC009,3,1
CAR.68,RG001,1,1
CAR.71,GC009,3,1
CAR.71,GC009,4,1
CAR.71,GC012,3,1
CAR.71,RG011,1,1
CAR.71,UP009,1,1
CAR.73,GC006,2,1
CAR.73,GC009,3,1
CAR.73,UP002,1,1
CAR.76,GC003,2,1
CAR.76,GC009,1,1
CAR.76,GC009,2,1
CAR.76,GC009,3,1
CAR.76,GC012,1,1
CAR.77,GC003,2,1
CAR.77,GC004,2,1
