Bee data from Threlfall et al Journal of Applied Ecology 'Increasing biodiversity in urban green spaces through simple vegetation interventions',,,,,
For data collection methods see above paper.,,,,,
"spp = species. Point = green space site (n=39). Rep = plot within each green space. Season = spring and summer sampling seasons as  detailed in the paper. Homalictus (Homalictus) complex: punctatus, brisbanensis and megastigmus",,,,,
Plot,point,rep,spp,Season,occ
12RG03,RG012,3,"""Apis melifera""",1,1
13RG02,RG013,2,"""Apis melifera""",1,1
13RG03,RG013,3,"""Apis melifera""",1,1
13RG04,RG013,4,"""Apis melifera""",1,1
13RG03,RG013,7,"""Apis melifera""",2,1
02UP02,UP002,4,"""Apis melifera""",2,1
04UP02,UP004,4,"""Apis melifera""",2,1
05UP02,UP005,2,"""Apis melifera""",1,1
07UP01,UP007,1,"""Apis melifera""",1,1
07UP01,UP007,3,"""Apis melifera""",2,1
10UP01,UP010,1,"""Apis melifera""",1,1
11UP02,UP011,4,"""Apis melifera""",2,1
12UP01,UP012,1,"""Apis melifera""",1,1
12UP02,UP012,2,"""Apis melifera""",1,1
13UP01,UP013,1,"""Apis melifera""",1,1
13UP02,UP013,4,"""Apis melifera""",2,1
05GC02,GC005,6,"""Euhesma fasciatella""",2,1
09GC02,GC009,2,"""Euhesma fasciatella""",1,1
09RG01,RG009,5,"""Euhesma fasciatella""",2,1
02UP02,UP002,4,"""Euhesma fasciatella""",2,1
02GC03,GC002,3,"""Homalictus (Homalictus) sphecodoides""",1,1
02GC01,GC002,5,"""Homalictus (Homalictus) sphecodoides""",2,1
02GC02,GC002,6,"""Homalictus (Homalictus) sphecodoides""",2,1
02GC03,GC002,7,"""Homalictus (Homalictus) sphecodoides""",2,1
03GC01,GC003,1,"""Homalictus (Homalictus) sphecodoides""",1,1
03GC02,GC003,6,"""Homalictus (Homalictus) sphecodoides""",2,1
03GC03,GC003,7,"""Homalictus (Homalictus) sphecodoides""",2,1
03GC04,GC003,8,"""Homalictus (Homalictus) sphecodoides""",2,1
04GC01,GC004,1,"""Homalictus (Homalictus) sphecodoides""",1,1
04GC02,GC004,2,"""Homalictus (Homalictus) sphecodoides""",1,1
04GC03,GC004,3,"""Homalictus (Homalictus) sphecodoides""",1,1
04GC04,GC004,4,"""Homalictus (Homalictus) sphecodoides""",1,1
04GC01,GC004,5,"""Homalictus (Homalictus) sphecodoides""",2,1
