Family,Genus,Species,Status,Count,Rep
Alismataceae,Alisma,triviale,native,1,2
Amaranthaceae,Gomphrena,globosa,non-native,0,2
Apiaceae,Conium,maculatum,non-native,1,2
Apiaceae,Daucus,carota,non-native,12,20
Apiaceae,Eryngium,maritimum,non-native,0,1
Apiaceae,Pastinaca,sativa,non-native,0,1
Apocynaceae,Apocynum,androsaemifolium,native,5,7
Apocynaceae,Asclepias,syriaca,native,0,1
Asparagaceae,Hosta,Tratt.,non-native,8,17
Asteraceae,Achillea,millefolium,native,1,18
Asteraceae,Achillea,ptarmica,non-native,0,5
Asteraceae,Ageratina,altissima,native,0,1
Asteraceae,Ageratum,houstonianum,non-native,1,2
Asteraceae,Arctium,lappa,non-native,6,9
Asteraceae,Argyranthemum,Webb,non-native,0,8
Asteraceae,Bidens,spp.,native,0,3
Asteraceae,Centaurea,spp.,non-native,0,2
Asteraceae,Cichorium,intybus,non-native,4,6
Asteraceae,Cirsium,arvense,non-native,0,11
Asteraceae,Conyza,canadensis,native,2,2
Asteraceae,Coreopsis,spp.,non-native,5,10
Asteraceae,Cosmos,bipinnatus,non-native,4,7
Asteraceae,Dahlia,Cav.,non-native,0,2
Asteraceae,Doellingeria,umbellata,native,4,8
Asteraceae,Echinacea,purpurea,native,11,19
Asteraceae,Echinops,ritro,non-native,2,5
Asteraceae,Erigeron,spp.,native,2,19
Asteraceae,Eupatorium,perfoliatum,native,2,5
Asteraceae,Eutrochium,maculatum,native,7,8
Asteraceae,Gaillardia,Fougeroux,non-native,1,2
Asteraceae,Helenium,autumnale,non-native,1,2
Asteraceae,Helianthus,spp.,non-native,6,10
Asteraceae,Heliopsis,Pers.,native,0,1
Asteraceae,Leontodon,autumnalis,non-native,1,9
Asteraceae,Leucanthemum,vulgare,non-native,2,10
Asteraceae,Liatris,spicata,non-native,7,14
Asteraceae,Ligularia,Cass.,non-native,1,3
Asteraceae,Matricaria,chamomilla,non-native,2,4
Asteraceae,Rudbeckia,hirta,native,16,23
Asteraceae,Rudbeckia,laciniata,native,14,14
Asteraceae,Solidago,graminifolia,native,7,14
Asteraceae,Solidago,spp.,native,25,27
Asteraceae,Sonchus,oleraceus,non-native,9,19
Asteraceae,Symphyotrichum,novae-angliae,native,0,3
Asteraceae,Tagetes,spp.,non-native,1,7
Asteraceae,Tanacetum,spp.,non-native,1,5
Asteraceae,Tragopogon,pratensis,non-native,0,4
Asteraceae,Zinnia,spp.,non-native,0,2
Balsaminaceae,Impatiens,capensis,native,4,16
Balsaminaceae,Impatiens,glandulifera,non-native,0,1
Begoniaceae,Begonia,spp.,non-native,1,6
