GI.type,Species Number,Genus,Species,urban.gradient,Urban
cemeteries,15,Bombus,pratorum,intermediate,3.75
cemeteries,16,Bombus,lucorum,intermediate,1.75
cemeteries,17,Melanostoma,mellinum,intermediate,0.13
cemeteries,18,Merodon,equestris,intermediate,0.13
cemeteries,19,Andrena,minutula,intermediate,0
cemeteries,20,Platycheirus,scutatus,intermediate,0.63
cemeteries,21,Nomada,flava,intermediate,0.25
cemeteries,22,Eumerus,funeralis,intermediate,2.13
cemeteries,23,Lasioglossum,calceatum,intermediate,0.13
cemeteries,24,Cheilosia,albitarsis,intermediate,0.13
cemeteries,25,Andrena,angustior,intermediate,0
cemeteries,26,Andrena,cineraria,intermediate,0
cemeteries,27,Andrena,semilaevis,intermediate,0
cemeteries,28,Nomada,panzeri,intermediate,0
cemeteries,29,Cheilosia,soror,intermediate,0
cemeteries,30,Helophilus,pendulus,intermediate,0
cemeteries,31,Bombus,sylvestris,intermediate,1.38
cemeteries,32,Syrphus,ribesii,intermediate,0.88
cemeteries,33,Andrena,fulva,intermediate,1.13
cemeteries,34,Lasioglossum,albipes,intermediate,0.75
cemeteries,35,Andrena,nigroaenea,intermediate,0.13
cemeteries,36,Nomada,goodeniana,intermediate,0.13
cemeteries,37,Platycherius,clypteatus,intermediate,0.13
cemeteries,38,Hylaeus,communis,intermediate,0
cemeteries,39,Rhingia,campestris,intermediate,0
cemeteries,40,Neoascia,podagrica,intermediate,0
cemeteries,41,Dasysyrphus,albostriatus,intermediate,0.38
cemeteries,42,Volucella,pellucens,intermediate,0.88
cemeteries,43,Hylaeus,hyalinatus,intermediate,1.13
cemeteries,44,Andrena,nitida,intermediate,0.13
cemeteries,45,Megachile,centuncularis,intermediate,0.13
cemeteries,46,Bombus,barbutellus,intermediate,0.13
cemeteries,47,Bombus,rupestris,intermediate,0.13
cemeteries,48,Andrena,subopaca,intermediate,0
cemeteries,49,Halictus,tumulorum,intermediate,0
cemeteries,50,Megachile,ligniseca,intermediate,0
cemeteries,51,Nomada,flavoguttata,intermediate,0
cemeteries,52,Nomada,ruficornis,intermediate,0
cemeteries,53,Platycherius,granditarsis,intermediate,0
cemeteries,54,Chrysogaster,solstitialis,intermediate,0
cemeteries,55,Melanogaster,hirtella,intermediate,0
cemeteries,56,Xylota,segnis,intermediate,0
cemeteries,57,Bombus,hypnorum,intermediate,1.75
cemeteries,58,Eupeodes,corollae,intermediate,0.63
cemeteries,59,Eupeodes,latifasciatus,intermediate,1
cemeteries,60,Lasioglossum,smeathmanellum,intermediate,0.63
cemeteries,61,Epistrophe,eligans,intermediate,0.25
cemeteries,62,Colletes,daviesanus,intermediate,0.13
cemeteries,63,Bombus,campestris,intermediate,0.13
cemeteries,64,Eupeodes,luniger,intermediate,0.13
cemeteries,65,Syrphus,vitripennis,intermediate,0.13
cemeteries,66,Eristalis,pertinax,intermediate,0.13
cemeteries,67,Eristalis,tenax,intermediate,0.13
cemeteries,68,Andrena,helvola,intermediate,0
cemeteries,69,Andrena,synadelpha,intermediate,0
cemeteries,70,Andrena,chrysosceles,intermediate,0
cemeteries,71,Andrena,dorsata,intermediate,0
cemeteries,72,Andrena,wilkella,intermediate,0
cemeteries,73,Lasioglossum,leucopus,intermediate,0
cemeteries,74,Sphecodes,ferruginatus,intermediate,0
cemeteries,75,Chelostoma,florisomne,intermediate,0
cemeteries,76,Osmia,caerulescens,intermediate,0
cemeteries,77,Osmia,leaiana,intermediate,0
cemeteries,78,Nomada,marshamella,intermediate,0
cemeteries,79,Bombus,ruderatus,intermediate,0
cemeteries,80,Dasysyrphus,venustus,intermediate,0
cemeteries,81,Xanthogramma,pedissequum,intermediate,0
cemeteries,82,Cheilosia,antiqua,intermediate,0
cemeteries,83,Cheilosia,illustrata,intermediate,0
cemeteries,84,Cheilosia,impressa,intermediate,0
cemeteries,85,Cheilosia,lasiopa,intermediate,0
cemeteries,86,Ferdinandea,cuprea,intermediate,0
cemeteries,87,Portevinia,maculata,intermediate,0
cemeteries,88,Riponnensia,splendens,intermediate,0
cemeteries,89,Eristalis,arbustorum,intermediate,0
cemeteries,90,Helophilus,hybridus,intermediate,0
cemeteries,91,Chalcosyrphus,nemorum,intermediate,0
cemeteries,92,Xylota,tarda,intermediate,0
cemeteries,93,Parasyrphus,nigritarsis,intermediate,0.25
cemeteries,94,Halictus,rubicundus,intermediate,0.13
cemeteries,95,Sphecodes,ephippius,intermediate,0.13
cemeteries,96,Coelioxys,inermis,intermediate,0.13
cemeteries,97,Nomada,fabriciana,intermediate,0.13
cemeteries,98,Baccha,elongata,intermediate,0.13
cemeteries,99,Melangyna,umbellatarum,intermediate,0.13
cemeteries,100,Scaeva,pyrastri,intermediate,0.5
cemeteries,101,Andrena,denticulata,intermediate,0
cemeteries,102,Melitta,haemorrhoidalis,intermediate,0
cemeteries,103,Lasioglossum,villosulum,intermediate,0
cemeteries,104,Meliscaeva,auricollis,intermediate,0
cemeteries,105,Sphaerophoria,scripta,intermediate,0
cemeteries,106,Myathropa,florea,intermediate,0
cemeteries,107,Heringia,brevidens,intermediate,0
cemeteries,108,Volucella,inanis,intermediate,0
cemeteries,1,Apis,melifera,rural,6.25
cemeteries,2,Bombus,lapidarius,rural,5.13
cemeteries,3,Bombus,pascuorum,rural,2.88
cemeteries,4,Melanostoma,scalare,rural,4
cemeteries,5,Episyrphus,balteatus,rural,10.13
cemeteries,6,Syritta,pipiens,rural,3.88
cemeteries,7,Bombus,vestalis,rural,2.75
cemeteries,8,Andrena,scotica,rural,2.63
cemeteries,9,Andrena,bicolor,rural,2.13
cemeteries,10,Andrena,haemorrhoa,rural,14.13
cemeteries,11,Osmia,rufa,rural,7.75
cemeteries,12,Bombus,hortorum,rural,1.75
cemeteries,13,Platycherius,albimanus,rural,1.63
cemeteries,14,Bombus,terrestris,rural,1
cemeteries,15,Bombus,pratorum,rural,2.38
cemeteries,16,Bombus,lucorum,rural,2.13
cemeteries,17,Melanostoma,mellinum,rural,5.25
cemeteries,18,Merodon,equestris,rural,1.13
cemeteries,19,Andrena,minutula,rural,1.63
cemeteries,20,Platycheirus,scutatus,rural,1.13
cemeteries,21,Nomada,flava,rural,2
cemeteries,22,Eumerus,funeralis,rural,1.25
cemeteries,23,Lasioglossum,calceatum,rural,2.38
