Estimate,type of green roof,rep,stat,value
Nt (%),old,4,mean,0.3
DHA (mg TPF g?1 d?1),old,4,mean,1928
Soil water content (%),old,4,mean,23.9
Collembola (103 ind. m?2),old,4,mean,80.2
Shannon–Weaver,old,4,mean,1.7
Evenness,old,4,mean,0.61
pH,young,4,SE,0.19
Corg (%),young,4,SE,0.4
Nt (%),young,4,SE,0.01
DHA (?g TPF g?1 d?1),young,4,SE,27
Soil water content (%),young,4,SE,23.4
Collembola (103 ind. m?2),young,4,SE,4
Shannon–Weaver,young,4,SE,
Evenness,young,4,SE,
pH,old,4,SE,0.53
Corg (%),old,4,SE,2.5
Nt (%),old,4,SE,0.02
DHA (mg TPF g?1 d?1),old,4,SE,842
Soil water content (%),old,4,SE,23.2
Collembola (103 ind. m?2),old,4,SE,46.1
Shannon–Weaver,old,4,SE,
Evenness,old,4,SE,
