Infratructure type,site,Wall type,Area (m2),Estimate,Taxa,Spider abundance
grey,M11,Bare Wall,110,Abundance,Spider,0
grey,M16,Bare Wall,120,Abundance,Spider,0
grey,M19,Bare Wall,120,Abundance,Spider,0
grey,M2,Bare Wall,80,Abundance,Spider,0
grey,M20,Bare Wall,120,Abundance,Spider,0
grey,M31,Bare Wall,60,Abundance,Spider,1
grey,M6,Bare Wall,48,Abundance,Spider,0
grey,M9,Bare Wall,48,Abundance,Spider,0
green,M12,Climbing plants,72,Abundance,Spider,0
green,M14,Climbing plants,200,Abundance,Spider,0
green,M22,Climbing plants,100,Abundance,Spider,10
green,M24,Climbing plants,120,Abundance,Spider,1
green,M28,Climbing plants,1050,Abundance,Spider,1
green,M29,Climbing plants,100,Abundance,Spider,2
green,M30,Climbing plants,1000,Abundance,Spider,6
green,M5,Climbing plants,90,Abundance,Spider,4
green,M7,Climbing plants,300,Abundance,Spider,2
green,M8,Climbing plants,48,Abundance,Spider,5
green,M15,Felt Layer,40,Abundance,Spider,11
green,M17,Felt Layer,42,Abundance,Spider,28
green,M23,Felt Layer,108,Abundance,Spider,2
green,M27,Felt Layer,300,Abundance,Spider,2
green,M32,Felt Layer,100,Abundance,Spider,40
green,M34,Felt Layer,120,Abundance,Spider,4
green,M1,Substrate module,30,Abundance,Spider,2
green,M10,Substrate module,144,Abundance,Spider,187
green,M13,Substrate module,300,Abundance,Spider,8
green,M18,Substrate module,120,Abundance,Spider,0
green,M25,Substrate module,900,Abundance,Spider,15
green,M26,Substrate module,50,Abundance,Spider,2
green,M3,Substrate module,30,Abundance,Spider,9
green,M33,Substrate module,90,Abundance,Spider,5
green,M4,Substrate module,28,Abundance,Spider,9
grey,M11,Bare Wall,110,Abundance,Beetle,0
grey,M16,Bare Wall,120,Abundance,Beetle,0
grey,M19,Bare Wall,120,Abundance,Beetle,0
grey,M2,Bare Wall,80,Abundance,Beetle,0
grey,M20,Bare Wall,120,Abundance,Beetle,0
grey,M31,Bare Wall,60,Abundance,Beetle,0
grey,M6,Bare Wall,48,Abundance,Beetle,0
grey,M9,Bare Wall,48,Abundance,Beetle,0
green,M12,Climbing plants,72,Abundance,Beetle,0
green,M14,Climbing plants,200,Abundance,Beetle,52
green,M22,Climbing plants,100,Abundance,Beetle,0
green,M24,Climbing plants,120,Abundance,Beetle,2
green,M28,Climbing plants,1050,Abundance,Beetle,0
green,M29,Climbing plants,100,Abundance,Beetle,3
green,M30,Climbing plants,1000,Abundance,Beetle,7
green,M5,Climbing plants,90,Abundance,Beetle,8
green,M7,Climbing plants,300,Abundance,Beetle,26
green,M8,Climbing plants,48,Abundance,Beetle,8
green,M15,Felt Layer,40,Abundance,Beetle,4
green,M17,Felt Layer,42,Abundance,Beetle,1
green,M23,Felt Layer,108,Abundance,Beetle,4
green,M27,Felt Layer,300,Abundance,Beetle,8
green,M32,Felt Layer,100,Abundance,Beetle,24
green,M34,Felt Layer,120,Abundance,Beetle,4
green,M1,Substrate module,30,Abundance,Beetle,0
green,M10,Substrate module,144,Abundance,Beetle,34
green,M13,Substrate module,300,Abundance,Beetle,13
green,M18,Substrate module,120,Abundance,Beetle,1
green,M25,Substrate module,900,Abundance,Beetle,35
green,M26,Substrate module,50,Abundance,Beetle,5
green,M3,Substrate module,30,Abundance,Beetle,4
green,M33,Substrate module,90,Abundance,Beetle,0
green,M4,Substrate module,28,Abundance,Beetle,11
grey,M11,Bare Wall,110,Richness,Spider,0
grey,M16,Bare Wall,120,Richness,Spider,0
grey,M19,Bare Wall,120,Richness,Spider,0
grey,M2,Bare Wall,80,Richness,Spider,0
grey,M20,Bare Wall,120,Richness,Spider,0
grey,M31,Bare Wall,60,Richness,Spider,1
grey,M6,Bare Wall,48,Richness,Spider,0
grey,M9,Bare Wall,48,Richness,Spider,0
green,M12,Climbing plants,72,Richness,Spider,0
green,M14,Climbing plants,200,Richness,Spider,0
green,M22,Climbing plants,100,Richness,Spider,5
green,M24,Climbing plants,120,Richness,Spider,1
green,M28,Climbing plants,1050,Richness,Spider,1
green,M29,Climbing plants,100,Richness,Spider,2
green,M30,Climbing plants,1000,Richness,Spider,3
green,M5,Climbing plants,90,Richness,Spider,3
green,M7,Climbing plants,300,Richness,Spider,2
green,M8,Climbing plants,48,Richness,Spider,4
green,M15,Felt Layer,40,Richness,Spider,5
green,M17,Felt Layer,42,Richness,Spider,4
green,M23,Felt Layer,108,Richness,Spider,1
green,M27,Felt Layer,300,Richness,Spider,2
green,M32,Felt Layer,100,Richness,Spider,5
green,M34,Felt Layer,120,Richness,Spider,2
green,M1,Substrate module,30,Richness,Spider,2
green,M10,Substrate module,144,Richness,Spider,8
green,M13,Substrate module,300,Richness,Spider,4
green,M18,Substrate module,120,Richness,Spider,0
green,M25,Substrate module,900,Richness,Spider,7
green,M26,Substrate module,50,Richness,Spider,2
green,M3,Substrate module,30,Richness,Spider,6
green,M33,Substrate module,90,Richness,Spider,4
green,M4,Substrate module,28,Richness,Spider,3
grey,M11,Bare Wall,110,Richness,Beetle,0
grey,M16,Bare Wall,120,Richness,Beetle,0
grey,M19,Bare Wall,120,Richness,Beetle,0
grey,M2,Bare Wall,80,Richness,Beetle,0
