GI.type,Rep,area (m2),Species,Abundance,FlowerType
public/community gardens,4,150,Lotus corniculatus,30266,Flower
public/community gardens,4,150,Pimpinella saxifraga,9084,Compound umbel
public/community gardens,4,150,Centaurea nigra,8771,Capitulum
public/community gardens,4,150,Ononis repens,8685,Flower
public/community gardens,4,150,Thymus polytrichus,8139,Raceme
public/community gardens,4,150,Hypochaeris radicata,7889,Capitulum
public/community gardens,4,150,Daucus carota,6183,Compound umbel
public/community gardens,4,150,Galium verum,5571,Panicle
public/community gardens,4,150,Trifolium pratense,5063,Umbel
public/community gardens,4,150,Crepis capillaris,4408,Capitulum
public/community gardens,4,150,Galium mollugo,4405,Panicle
public/community gardens,4,150,Trifolium repens,2567,Umbel
public/community gardens,4,150,Cerastium fontanum,2296,Flower
public/community gardens,4,150,Achillea millefolium,2098,Corymb
public/community gardens,4,150,Senecio jacobaea,1846,Capitulum
public/community gardens,4,150,Convolvulus arvensis,1159,Flower
public/community gardens,4,150,Medicago lupulina,864,Raceme
public/community gardens,4,150,Ranunculus bulbosus,678,Flower
public/community gardens,4,150,Linum catharticum,336,Flower
public/community gardens,4,150,Prunella vulgaris,328,Verticillaster
public/community gardens,4,150,Sherardia arvensis,266,Cyme
public/community gardens,4,150,Bellis perennis,234,Capitulum
public/community gardens,4,150,Trifolium fragiferum,110,Umbel
public/community gardens,4,150,Knautia arvensis,99,Capitulum
public/community gardens,4,150,Centaurea scabiosa,90,Capitulum
public/community gardens,4,150,Cirsium acaule,70,Capitulum
public/community gardens,4,150,Ranunculus sp.,65,Flower
public/community gardens,4,150,Cirsium vulgare,23,Capitulum
public/community gardens,4,150,Glechoma hederacea,11,Verticillaster
public/community gardens,4,150,Trifolium medium,8,Umbeel
public/community gardens,4,150,Ranunculus sardous,5,Flower
public/community gardens,4,150,Odontites vernus,4,Raceme
public/community gardens,4,150,Picris echioides,3,Capitulum
public/community gardens,4,150,Agrimonia eupatoria,2,Spike
public/community gardens,4,150,Geranium pusillum,1,Flower
public/community gardens,4,150,Geranium sp.,1,Flower
public/community gardens,4,150,Trifolium hybridum,1,Umbel
public/community gardens,4,150,Asperula cynanchica,0,Compound cyme
public/community gardens,4,150,Centaurea sp.,0,Capitulum
public/community gardens,4,150,Ranunculus repens,0,Flower
public/community gardens,4,150,Taraxacum sp.,0,Capitulum
