Study,City,SiteID,Taxa,Taxa.simplified,Year,Infrastructure,Habitat,original.habitat,GI.type,GI.compare,Nat.compare,Family,Genus,Species,Status,Estimate,Stat,Value,GI.area.mean (m2),GI.height (m),Rep,pH,Salinity,depth (m)
1288,Zoug,Rotkreuz,birds,birds,2005,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Adult birds,count,0,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2005,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Nest found,count,0,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2005,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks hatched (all clutches),count,0,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2005,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks fledged,count,0,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2005,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks age (relative days number),count,0,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2005,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks found dead,count,0,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2005,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Replacement clutches,count,0,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2006,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Adult birds,count,8,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2006,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Nest found,count,5,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2006,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks hatched (all clutches),count,15,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2006,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks fledged,count,0,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2006,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks age (relative days number),count,4,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2006,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks found dead,count,1,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2006,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Replacement clutches,count,1,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2007,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Adult birds,count,7,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2007,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Nest found,count,4,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2007,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks hatched (all clutches),count,13,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2007,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks fledged,count,0,,,,,,
1288,Zoug,Rotkreuz,birds,birds,2007,green,urban,green roof,green roof,roof,green roof vs grassland,,,,,Chicks age (relative days number),count,4,,,,,,
