Year,Habitat,Site,Measure,value
2008,green roof,OBI,Chicks found dead,4
2008,green roof,OBI,Replacement clutches,2
2005,green roof,Steinhausen,Adult birds,5
2005,green roof,Steinhausen,Nest found,2
2005,green roof,Steinhausen,Chicks hatched (all clutches),6
2005,green roof,Steinhausen,Chicks fledged,0
2005,green roof,Steinhausen,Chicks age (relative days number),4
2005,green roof,Steinhausen,Chicks found dead,NA
2005,green roof,Steinhausen,Replacement clutches,2
2006,green roof,Steinhausen,Adult birds,2
2006,green roof,Steinhausen,Nest found,1
2006,green roof,Steinhausen,Chicks hatched (all clutches),4
2006,green roof,Steinhausen,Chicks fledged,0
2006,green roof,Steinhausen,Chicks age (relative days number),5
2006,green roof,Steinhausen,Chicks found dead,NA
2006,green roof,Steinhausen,Replacement clutches,0
2007,green roof,Steinhausen,Adult birds,3
2007,green roof,Steinhausen,Nest found,2
2007,green roof,Steinhausen,Chicks hatched (all clutches),3
2007,green roof,Steinhausen,Chicks fledged,0
2007,green roof,Steinhausen,Chicks age (relative days number),7
2007,green roof,Steinhausen,Chicks found dead,0
2007,green roof,Steinhausen,Replacement clutches,1
2008,green roof,Steinhausen,Adult birds,4
2008,green roof,Steinhausen,Nest found,2
2008,green roof,Steinhausen,Chicks hatched (all clutches),9
2008,green roof,Steinhausen,Chicks fledged,0
2008,green roof,Steinhausen,Chicks age (relative days number),10
2008,green roof,Steinhausen,Chicks found dead,1
2008,green roof,Steinhausen,Replacement clutches,2
2005,green roof,Emmen,Adult birds,
2005,green roof,Emmen,Nest found,
2005,green roof,Emmen,Chicks hatched (all clutches),
2005,green roof,Emmen,Chicks fledged,
2005,green roof,Emmen,Chicks age (relative days number),
2005,green roof,Emmen,Chicks found dead,
2005,green roof,Emmen,Replacement clutches,
2006,green roof,Emmen,Adult birds,
2006,green roof,Emmen,Nest found,
2006,green roof,Emmen,Chicks hatched (all clutches),
2006,green roof,Emmen,Chicks fledged,
2006,green roof,Emmen,Chicks age (relative days number),
2006,green roof,Emmen,Chicks found dead,
2006,green roof,Emmen,Replacement clutches,
2007,green roof,Emmen,Adult birds,
2007,green roof,Emmen,Nest found,
2007,green roof,Emmen,Chicks hatched (all clutches),
2007,green roof,Emmen,Chicks fledged,
2007,green roof,Emmen,Chicks age (relative days number),
2007,green roof,Emmen,Chicks found dead,
2007,green roof,Emmen,Replacement clutches,
2008,green roof,Emmen,Adult birds,4
2008,green roof,Emmen,Nest found,2
2008,green roof,Emmen,Chicks hatched (all clutches),7
2008,green roof,Emmen,Chicks fledged,3
2008,green roof,Emmen,Chicks age (relative days number),4
2008,green roof,Emmen,Chicks found dead,3
2008,green roof,Emmen,Replacement clutches,1
2005,green roof,Hunenberg,Adult birds,
2005,green roof,Hunenberg,Nest found,
2005,green roof,Hunenberg,Chicks hatched (all clutches),
2005,green roof,Hunenberg,Chicks fledged,
2005,green roof,Hunenberg,Chicks age (relative days number),
2005,green roof,Hunenberg,Chicks found dead,
2005,green roof,Hunenberg,Replacement clutches,
2006,green roof,Hunenberg,Adult birds,
2006,green roof,Hunenberg,Nest found,
2006,green roof,Hunenberg,Chicks hatched (all clutches),
2006,green roof,Hunenberg,Chicks fledged,
2006,green roof,Hunenberg,Chicks age (relative days number),
2006,green roof,Hunenberg,Chicks found dead,
2006,green roof,Hunenberg,Replacement clutches,
2007,green roof,Hunenberg,Adult birds,
2007,green roof,Hunenberg,Nest found,
2007,green roof,Hunenberg,Chicks hatched (all clutches),
2007,green roof,Hunenberg,Chicks fledged,
2007,green roof,Hunenberg,Chicks age (relative days number),
2007,green roof,Hunenberg,Chicks found dead,
2007,green roof,Hunenberg,Replacement clutches,
2008,green roof,Hunenberg,Adult birds,4
2008,green roof,Hunenberg,Nest found,2
2008,green roof,Hunenberg,Chicks hatched (all clutches),4
2008,green roof,Hunenberg,Chicks fledged,0
2008,green roof,Hunenberg,Chicks age (relative days number),4
2008,green roof,Hunenberg,Chicks found dead,4
