GI.Type,SiteID,SpeciesCode,Taxa,SpeciesName,CommonName,Status,Count
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,107,bl,Bird,,Blackbird,,1
public/community gardens,107,bl,Bird,,Blackbird,,1
public/community gardens,107,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,2
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,2
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,111,bl,Bird,,Blackbird,,1
public/community gardens,90,bl,Bird,,Blackbird,,1
public/community gardens,90,bl,Bird,,Blackbird,,1
public/community gardens,90,bl,Bird,,Blackbird,,1
public/community gardens,90,bl,Bird,,Blackbird,,1
public/community gardens,91,bl,Bird,,Blackbird,,1
public/community gardens,91,bl,Bird,,Blackbird,,1
public/community gardens,91,bl,Bird,,Blackbird,,1
public/community gardens,91,bl,Bird,,Blackbird,,1
public/community gardens,91,bl,Bird,,Blackbird,,1
public/community gardens,134,bl,Bird,,Blackbird,,1
public/community gardens,134,bl,Bird,,Blackbird,,1
public/community gardens,138,bl,Bird,,Blackbird,,1
public/community gardens,138,bl,Bird,,Blackbird,,1
public/community gardens,185,bl,Bird,,Blackbird,,2
public/community gardens,185,bl,Bird,,Blackbird,,1
public/community gardens,147,bl,Bird,,Blackbird,,1
public/community gardens,147,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,2
public/community gardens,69,bl,Bird,,Blackbird,,1
public/community gardens,69,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,182,bl,Bird,,Blackbird,,2
public/community gardens,182,bl,Bird,,Blackbird,,1
public/community gardens,85,bl,Bird,,Blackbird,,1
public/community gardens,85,bl,Bird,,Blackbird,,1
public/community gardens,85,bl,Bird,,Blackbird,,1
public/community gardens,56,bl,Bird,,Blackbird,,1
public/community gardens,56,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,1
public/community gardens,67,bl,Bird,,Blackbird,,1
public/community gardens,39,bl,Bird,,Blackbird,,2
public/community gardens,39,bl,Bird,,Blackbird,,1
public/community gardens,38,bl,Bird,,Blackbird,,1
public/community gardens,38,bl,Bird,,Blackbird,,2
public/community gardens,166,bl,Bird,,Blackbird,,1
public/community gardens,166,bl,Bird,,Blackbird,,1
public/community gardens,166,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,76,bl,Bird,,Blackbird,,1
public/community gardens,149,bl,Bird,,Blackbird,,1
public/community gardens,149,bl,Bird,,Blackbird,,1
public/community gardens,149,bl,Bird,,Blackbird,,1
public/community gardens,149,bl,Bird,,Blackbird,,1
public/community gardens,106,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,78,bl,Bird,,Blackbird,,1
public/community gardens,182,bl,Bird,,Blackbird,,1
public/community gardens,182,bl,Bird,,Blackbird,,1
public/community gardens,182,bl,Bird,,Blackbird,,1
public/community gardens,90,bl,Bird,,Blackbird,,1
public/community gardens,90,bl,Bird,,Blackbird,,1
public/community gardens,90,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,2
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,105,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,3
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,102,bl,Bird,,Blackbird,,1
public/community gardens,91,bl,Bird,,Blackbird,,1
public/community gardens,91,bl,Bird,,Blackbird,,1
public/community gardens,91,bl,Bird,,Blackbird,,1
public/community gardens,91,bl,Bird,,Blackbird,,2
public/community gardens,97,bl,Bird,,Blackbird,,1
public/community gardens,97,bl,Bird,,Blackbird,,1
