GI.type,Taxa,Family,Species,Abundance,value
public/community gardens,Bees,Andrenidae,Andrena wilkella,Abundance,4
public/community gardens,Bees,Colletidae,Hylaeus hyalinatus,Abundance,10
public/community gardens,Bees,Colletidae,Hylaeus leptocephalus,Abundance,31
public/community gardens,Bees,Colletidae,Hylaeus mesillae cressoni,Abundance,5
public/community gardens,Bees,Colletidae,Hylaeus modestus,Abundance,3
public/community gardens,Bees,Colletidae,Hylaeus punctatus,Abundance,18
public/community gardens,Bees,Colletidae,Hylaeusÿspp.,Abundance,7
public/community gardens,Bees,Halictidae,Augochlorella aurata,Abundance,1
public/community gardens,Bees,Halictidae,Agapostemon virescens,Abundance,58
public/community gardens,Bees,Halictidae,Halictus ligatus,Abundance,26
public/community gardens,Bees,Halictidae,Halictus confusus,Abundance,3
public/community gardens,Bees,Halictidae,Lasioglossum anomalum,Abundance,3
public/community gardens,Bees,Halictidae,Lasioglossum ellisiae,Abundance,7
public/community gardens,Bees,Halictidae,Lasioglossum pectorale,Abundance,14
public/community gardens,Bees,Halictidae,Lasioglossum zephyrum,Abundance,8
public/community gardens,Bees,Halictidae,Lasioglossumÿspp.,Abundance,79
public/community gardens,Bees,Megachilidae,Anthidium manicatum,Abundance,3
public/community gardens,Bees,Megachilidae,Anthidium oblongatum,Abundance,3
public/community gardens,Bees,Megachilidae,Heriades carinatus,Abundance,1
public/community gardens,Bees,Megachilidae,Megachile campanulae,Abundance,1
public/community gardens,Bees,Megachilidae,Megachile centuncularis,Abundance,5
public/community gardens,Bees,Megachilidae,Megachile concinna,Abundance,2
public/community gardens,Bees,Megachilidae,Megachile latimanus,Abundance,2
public/community gardens,Bees,Megachilidae,Megachile mendica,Abundance,8
public/community gardens,Bees,Megachilidae,Megachile pugnata,Abundance,1
public/community gardens,Bees,Megachilidae,Megachile rotundata,Abundance,24
public/community gardens,Bees,Megachilidae,Megachile texana,Abundance,3
public/community gardens,Bees,Megachilidae,Stelis louisae,Abundance,2
public/community gardens,Bees,Apidae,Apis mellifera,Abundance,68
public/community gardens,Bees,Apidae,Bombus bimaculatus,Abundance,14
public/community gardens,Bees,Apidae,Bombus fervidus,Abundance,6
public/community gardens,Bees,Apidae,Bombus griseocollis,Abundance,8
public/community gardens,Bees,Apidae,Bombus impatiens,Abundance,23
public/community gardens,Bees,Apidae,Bombusÿspp.,Abundance,5
public/community gardens,Bees,Apidae,Ceratina calcarata,Abundance,1
public/community gardens,Bees,Apidae,Epeolus bifasciatus,Abundance,2
public/community gardens,Bees,Apidae,Melissodes bimaculata,Abundance,21
public/community gardens,Bees,Apidae,Melissodes subillata,Abundance,3
public/community gardens,Bees,Apidae,Triepeolus lunatus,Abundance,2
public/community gardens,Bees,Apidae,Xylocopa virginica,Abundance,3
public/community gardens,Bees,Andrenidae,Andrena wilkella,pollen score,4.8
public/community gardens,Bees,Colletidae,Hylaeus hyalinatus,pollen score,1.1
public/community gardens,Bees,Colletidae,Hylaeus leptocephalus,pollen score,1.1
public/community gardens,Bees,Colletidae,Hylaeus mesillae cressoni,pollen score,1
public/community gardens,Bees,Colletidae,Hylaeus modestus,pollen score,1
public/community gardens,Bees,Colletidae,Hylaeus punctatus,pollen score,1.5
public/community gardens,Bees,Colletidae,Hylaeusÿspp.,pollen score,0
public/community gardens,Bees,Halictidae,Augochlorella aurata,pollen score,0
public/community gardens,Bees,Halictidae,Agapostemon virescens,pollen score,2.2
public/community gardens,Bees,Halictidae,Halictus ligatus,pollen score,4
public/community gardens,Bees,Halictidae,Halictus confusus,pollen score,3.7
public/community gardens,Bees,Halictidae,Lasioglossum anomalum,pollen score,1
public/community gardens,Bees,Halictidae,Lasioglossum ellisiae,pollen score,3.6
public/community gardens,Bees,Halictidae,Lasioglossum pectorale,pollen score,3.9
public/community gardens,Bees,Halictidae,Lasioglossum zephyrum,pollen score,2.4
public/community gardens,Bees,Halictidae,Lasioglossumÿspp.,pollen score,0
public/community gardens,Bees,Megachilidae,Anthidium manicatum,pollen score,3.7
public/community gardens,Bees,Megachilidae,Anthidium oblongatum,pollen score,4
public/community gardens,Bees,Megachilidae,Heriades carinatus,pollen score,0
public/community gardens,Bees,Megachilidae,Megachile campanulae,pollen score,0
public/community gardens,Bees,Megachilidae,Megachile centuncularis,pollen score,3.8
public/community gardens,Bees,Megachilidae,Megachile concinna,pollen score,0
public/community gardens,Bees,Megachilidae,Megachile latimanus,pollen score,0
public/community gardens,Bees,Megachilidae,Megachile mendica,pollen score,4.6
public/community gardens,Bees,Megachilidae,Megachile pugnata,pollen score,0
public/community gardens,Bees,Megachilidae,Megachile rotundata,pollen score,2.1
public/community gardens,Bees,Megachilidae,Megachile texana,pollen score,3
public/community gardens,Bees,Megachilidae,Stelis louisae,pollen score,0
public/community gardens,Bees,Apidae,Apis mellifera,pollen score,4
public/community gardens,Bees,Apidae,Bombus bimaculatus,pollen score,4.1
public/community gardens,Bees,Apidae,Bombus fervidus,pollen score,5.2
public/community gardens,Bees,Apidae,Bombus griseocollis,pollen score,5.5
public/community gardens,Bees,Apidae,Bombus impatiens,pollen score,5.5
public/community gardens,Bees,Apidae,Bombusÿspp.,pollen score,0
public/community gardens,Bees,Apidae,Ceratina calcarata,pollen score,0
public/community gardens,Bees,Apidae,Epeolus bifasciatus,pollen score,0
public/community gardens,Bees,Apidae,Melissodes bimaculata,pollen score,4.8
public/community gardens,Bees,Apidae,Melissodes subillata,pollen score,4.3
public/community gardens,Bees,Apidae,Triepeolus lunatus,pollen score,0
public/community gardens,Bees,Apidae,Xylocopa virginica,pollen score,6
