Sites,Site name,Green space type,City,Size (m2),Latitude,Longitude,city,Habitats,method,Season,L.ISAWZUM,L.MICHIGANENSIS,L.ASTERIS,L.SAGAX,L.LAEVISSIMUM,L.LEUCOCOMUM,L.LINEATULUM,L.CRESSONII,L.TEGULAREA,L.IMITATUM,L.EPHIALTUM,L.PILOSUM,L.VERSATUM,L.HITCHENSI,L.TAYLOREA,L.VERSANS,L.SUBVERSANS,L.SMILACINAE,L.NIGROVIRIDE,L.ABANCI,L.PLANATUM,L.DREISBACHI,L.VIRIDATUM,L.OBLONGUM,L.TRIGEMINUM,L.ZEPHYRUM,L.TENAX,L.COERULUM,L.HETEROGNATUM,L.PARADMIRANTUM,L.PERPUNCTATUM,L.CEPHALOTES,L.BIRKMANNI,L.MACOUPINENSIS,L.FOXII,L.INCONDIDUM,L.COMAGENENSE,L.ATHABACENSE,L.CORIACEUM,L.OENOTHARAE,L.CINCTIPES,L.QUEBECENSIS,L.ZONULUM,L.LEUCOZONIUM,H.RUBICUNDUS,H.CONFUSUS,H.LIGATUS,A.AURATA,A.PURA,A.METALLICA,A.VIRESCENS,A.TEXANA,APIS.MELLIFERA,B.IMPATIENS,B.TERRICOLA,B.GRISEOCOLLIS,B.VAGANS,B.RUFOCINCTUS,B.TERNARIUS,B.BIMACULATUS,B.FERVIDUS,B.CITRINUS,B.PERPLEXUS,B.BOREALIS,M.DESPONSA,M.TRINODIS,M.DRURIELLA,M.SUBILLATA,M.ILLATA,P.PRUINOSA,A.TERMINALIS,C.CALCARATA,C.MIKMAQUI,C.DUPLA,X.VIRGINIANA,M.INERMIS,M.FRIGIDA,M.ROTUNDATA,M.PUGNATA,M.CAMPANULAE,M.CENTUNCULARIS,M.RELATIVA,M.LATIMANUS,M.GEMULA,M.TEXANA,M.BREVIS,M.MENDICA,M.LAPPONICA,M.MELANOPHAE,A.MANICATUM,A.OBLONGATUM,A.FLORENTINUM,C.PORTERAE,C.OCTODENTATA,H.CARINATA,H.PRODUCTA,H.PILOSIFRONS,H.SPOLIATA,H.LEAVITTI,H.ANTHOCOPOIDES,O.ALBIVENTRIS,O.ATRIVENTRIS,O.LIGNARIA,O.CAERULESCENS,O.TERSULA,O.PUMILA,O.TAURUS,O.CONJUNCTA,O.SIMILLIMA,O.BUCEPHALA,C.RAPUNCULI,C.PHILADELPHI,C.CAMPANULARUM,H.MESILLAE,H.HYALINATUS,H.AFFINIS,H.MODESTUS,H.ANNULATUS,H.PUNCTATUS,H.COMMUNIS,H.LEPTOCEPHALUS,H.BASALIS,H.NELUMBONIS,C.SIMULANS,C.AMERICANA,C.ANDRENOIDES,P.PARVUS,P.RUDBECKIAE,P.ANDRENOIDES,P.OCTOMACULATA,M.NUDA,A.HIRTICINCTA,A.HIPPOTES,A.CRESSONII,A.NIVALIS,A.COMMODA,A.NIGRAE,A.CEANOTHI,A.CARLINI,A.CRATAGEI,A.WHEELERI,A.RUFOSIGNATA,A.MISERABILIS,A.MILWAUKIENSIS,A.VICINA,A.FRAGILIS,A.PLATYPARIA,A.BISALICIS,A.FRIGIDA*,A.PERPLEXA*,A.ZIZIEA,A.MANDIBULARIS*,A.GERANII,A.MORISONELLA,A.ERYTHROGASTER,A.DUNNINGI,A.PERSIMULATA,A.RUGOSA,A.ALLEGHANIENSIS,A.FORBESI,A.SIGMUNDI,A.NASSONI,A.SPIREANA,A.ROBERTSONI,A.WILKELLA,A.IMITATRIX,A.INTEGRA,A.ALGIDA,A.CLARKELLA,A.CHROMOTRICHA,A.ERIGENIAE*,A.WSCRIPTA,A.BREVIPALPIS,A.NUBECULA,A.DISTANS,A.ASTERIS,A.ERYTHRONII,A.SIMPLEX,A.REGULARIS,N.BETHUNEI,N.CRESSONII,N.MACULATA,N.DENTICULATA,N.VICINA,N.LUTHEOLOIDES,N.PARVA,N.PYGMAEA,S.RANUNCULI,S.DICHROUS,S.CLEMATIDIS,S.MANDIBULARIS,S.SOLONIS,S.CAROLINUS,S.CRESSONI,S.CONFERTUS,T.PECTORALIS,T.REGIMENATUS,T.OBLITERATUS,E.SCUTELARIS,H.CALLIOPSIDIS
CBS,Shaare Zion,Cemetery,Montreal,16483,45.5503,-73.6557,MontrÇal,cemetery,pan trap,2013,,,,111,40,,4,2,,12,5,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,1,1,2,,,2,8,5,3,1,,,57,1,1,3,,,,2,1,,,,,,,,,,,7,,,,,,,,6,,,,,,,,,,,,1,,1,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,4,,,,,,,,1,,,,1,6,,4,9,,,4,1,1,,12,,1,,,,,,1,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,1,,1,,,,,1,,,1,,,,,,,,,,
CC,Urgel Bourgie,Cemetery,Montreal,62100,45.5095,-73.6647,MontrÇal,cemetery,pan trap,2013,,,,23,44,1,4,2,2,29,5,,1,1,,1,,,,,,1,,,,1,,1,,,,,,1,,,,,28,4,3,,,3,49,24,22,3,,1,55,,2,10,,1,1,1,,1,,,,,,1,,,1,3,4,1,,2,,,3,1,,,,,,,16,,,,,,2,1,5,,,14,,,,,2,,,,,2,1,,,,3,2,21,,2,2,2,,,11,,,,,,,1,,,,,1,18,1,57,38,,,44,2,,,3,,2,,,,,,,8,1,1,,,,,,17,,7,,,1,,,,,,1,3,,,,,,,,,,1,1,,3,,,,,,,,,,,,,,,
CHD,Hawthorn-Dale,Cemetery,Montreal,86000,45.6838,-73.5069,MontrÇal,cemetery,pan trap,2013,,1,,6,51,,7,4,,19,,2,32,,,14,,,2,,1,,,,1,1,,,,,,,6,4,,,,4,8,,,2,20,5,17,11,8,11,62,1,54,,5,12,,3,,2,1,,,1,,,111,,24,,30,2,,23,1,3,,3,2,,,,,,,,,,1,2,,,,1,1,,1,32,2,,1,,7,1,1,,,1,,,,,,1,,7,1,1,35,8,,6,,,,,,,,,,,,,15,25,29,26,,,3,2,2,,6,,2,,,,1,,,2,,5,1,,,,,,,3,1,,2,,2,,,2,,,,,,,,,,3,1,2,1,1,2,,5,1,,,,,,,,12,,,1,
CL,Lachine,Cemetery,Montreal,50735,45.4435,-73.684,MontrÇal,cemetery,pan trap,2013,,,,29,13,10,8,2,8,129,5,1,2,3,,,,,,,,,,,,,,1,,,,,,,,,,,16,4,2,,,2,13,8,8,4,1,2,168,,1,8,1,1,,2,,,1,,,,3,3,,,4,1,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,3,,,2,7,,,,1,,,,,,,,,,,,1,,,3,,,1,,2,,141,,1,,,,,,,,1,,,,,,,,,3,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLV,Lakeview,Cemetery,Montreal,147000,45.4417,-73.8373,MontrÇal,cemetery,pan trap,2013,,,,24,114,,36,43,17,88,3,1,9,5,,12,,,2,,,,,,,,,1,,,,,,8,,,2,,46,1,10,,2,8,50,11,29,769,10,3,261,3,,28,,5,3,8,,2,,,,,8,,,1,3,8,,29,2,,,,,4,,,,1,,,,,,1,,3,1,,1,,,26,,1,,1,8,1,,,,,,,,,2,,8,7,1,1,8,,,6,,,,,,,2,,,,,,1,5,25,30,,,1,8,8,,10,,,,,,,,,7,,,,,,,,,,29,,,5,,,,,,1,,1,1,1,,,,,,,,4,,7,,3,11,,1,,,,,,,,,,
CP,La PrÇsentation,Cemetery,Montreal,13005,45.4434,-73.7366,MontrÇal,cemetery,pan trap,2013,,,,10,15,,3,6,11,20,2,,2,1,,1,,,,,,,,,,1,,1,,,,,,2,,,,,35,1,,,,3,5,11,3,15,1,2,93,,1,5,,1,,2,,,,,,,1,,,,4,1,,5,,1,,,2,2,,,4,1,1,,7,,,,,5,,,1,,,23,,,,,3,,1,,,,,,,,1,,28,4,,2,4,,,2,,,,,,,,,,,,,,,8,9,,,1,,1,,5,,,,,,,,,4,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,1,,1,2,,,,,4,,,,,,,,,,,1,
CSG,Ste-Geneviäve,Cemetery,Montreal,44800,45.459,-73.9204,MontrÇal,cemetery,pan trap,2013,,,1,6,9,1,11,14,1,23,,,207,7,,11,,,1,,,3,2,2,3,,,1,,,,,,7,,,,,11,,2,,,1,6,13,15,33,11,1,73,,5,2,,,,1,,1,,,1,,2,,,,,2,,51,13,8,,,14,,,,,,,,,,,,,,,,,,,6,1,,,,7,4,,,,,,,,,,3,,28,,5,7,11,,,,,,,,,,,,,,,12,53,18,19,,,55,8,4,,51,,1,,,,,,,2,,,,,3,1,,,,3,,,1,,,,1,,,,,1,,,,,,2,1,2,1,,8,,7,,,,,,1,,,,,,,
CSL,St-Laurent,Cemetery,Montreal,16182,45.5155,-73.6714,MontrÇal,cemetery,pan trap,2013,,,,19,10,,9,4,,13,3,,3,3,,5,,,,,1,,,,,2,,,,1,,,1,,,,,,22,,1,,,,8,13,,3,1,,105,,4,3,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,4,,,,1,8,1,,,,,,2,,,,,,,,,,,,,32,4,22,10,,,26,1,3,,4,1,4,,,,,,,2,,,,,,1,,,,5,,,5,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
CV,De La Visitation,Cemetery,Montreal,6200,45.5674,-73.6591,MontrÇal,cemetery,pan trap,2013,,,,19,11,,14,,1,2,3,,,,,,,,,,,,,,,,,6,,,,,,,,,,,13,4,4,1,,1,10,12,12,,15,,109,,,,,,,,,,,,,,1,1,,,,3,1,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,1,3,3,,,2,1,,,5,,,,,,,,,,,,,3,,5,9,,,2,2,,,4,,1,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,1,,,,,1,,,1,,3,1,,,,,,,,,,,,
JAN,Alexis-Nihon,Community garden,Montreal,1050,45.4971,-73.691,MontrÇal,community garden,pan trap,2013,,,,17,10,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,4,1,1,1,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,5,,,,,,,,,,,,,,,1,,,,1,2,,,1,2,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
