ID,lat,lon,elevation,city,country,human.population,human.density,GI type,Richness,Abundance,PropNative,Replicate
1,-6.8667,112.4334,9,Sentul City,Indonesia,0.115981,0.001261,urban tree canopy,76,32876,39.70%,
2,-6.2,106.816667,8,Jakarta,Indonesia,10.075,0.015242,roadsides,119,25706,47.40%,113
