SiteID,Lon,Lat,Area (m2),Height (m),Age (year),Sealed area (%),Family,Genus,Species,Abundance
1,16.326241,48.17935,400,9.5,4,79.6,Colletidae,Hylaeus,communis,2
1,16.326241,48.17935,400,9.5,4,79.6,Colletidae,Hylaeus,gredleri,
1,16.326241,48.17935,400,9.5,4,79.6,Colletidae,Hylaeus,hyalinatus,15
1,16.326241,48.17935,400,9.5,4,79.6,Colletidae,Hylaeus,imparilis,
1,16.326241,48.17935,400,9.5,4,79.6,Colletidae,Hylaeus,leptocephalus,
1,16.326241,48.17935,400,9.5,4,79.6,Colletidae,Hylaeus,pictipes,
1,16.326241,48.17935,400,9.5,4,79.6,Colletidae,Hylaeus,punctatus,5
1,16.326241,48.17935,400,9.5,4,79.6,Colletidae,Hylaeus,sinuatus,
1,16.326241,48.17935,400,9.5,4,79.6,Colletidae,Hylaeus,styriacus,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Halictus,kessleri,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Halictus,maculatus,1
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Halictus,rubicundus,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Halictus,seladonius,5
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Halictus,simplex,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Halictus,subauratus,19
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Halictus,tumulorum,5
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,calceatum,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,laticeps,2
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,leucozonium,1
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,malachurum,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,marginatum,1
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,minutulum,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,morioÿ,4
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,nigripes,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,nitidulum,1
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,pauxillum,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,politum,4
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,sabulosum,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Lasioglossum,villosulum,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Sphecodes,albilabris,
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Sphecodes,monilicornis,1
1,16.326241,48.17935,400,9.5,4,79.6,Halictidae,Sphecodes,ruficrus,1
