Bee family genus,Genus,Species,Status,Green roofs,Abundance
Halictidae,ÿLasioglossum,cinctipes,native,Prairies,1
Halictidae,ÿLasioglossum,coriaceum,native,Prairies,2
Halictidae,ÿLasioglossum,ellisiae,native,Prairies,5
Halictidae,ÿLasioglossum,illinoense,native,Prairies,6
Halictidae,ÿLasioglossum,leucozonium,non-native,Prairies,1
Halictidae,ÿLasioglossum,michiganense,native,Prairies,0
Halictidae,ÿLasioglossum,mitchelli,native,Prairies,20
Halictidae,ÿLasioglossum,pectorale,native,Prairies,0
Halictidae,ÿLasioglossum,perpunctatum,native,Prairies,3
Halictidae,ÿLasioglossum,pilosum,native,Prairies,0
Halictidae,ÿLasioglossum,pruinosum,native,Prairies,0
Halictidae,ÿLasioglossum,zephyrum,native,Prairies,0
Halictidae,ÿLasioglossum,zophops,native,Prairies,0
Halictidae,ÿSphecodes,unknown,native,Prairies,0
Megachilidae,ÿAnthidium,manicatum,non-native,Prairies,0
Megachilidae,ÿAnthidium,oblongatum,non-native,Prairies,5
Megachilidae,ÿCoelioxys,banksi,native,Prairies,1
Megachilidae,ÿHoplitis,pilosifrons,native,Prairies,6
Megachilidae,ÿHoplitis,producta,native,Prairies,1
Megachilidae,ÿMegachilie,centuncularis,non-native,Prairies,0
Megachilidae,ÿMegachilie,inermis,native,Prairies,1
Megachilidae,ÿMegachilie,latimanus,native,Prairies,0
Megachilidae,ÿMegachilie,mendica,native,Prairies,0
Megachilidae,ÿMegachilie,montivaga,native,Prairies,5
Megachilidae,ÿMegachilie,rotundata,non-native,Prairies,0
Megachilidae,ÿOsmia,Chenosmia,native,Prairies,1
Megachilidae,ÿOsmia,albiventris,native,Prairies,2
