Taxa,Species,Frequency Percent,Red List,Native Status,Habitat,Territories
Plants,Corynephorus canescens,.,*,.,,
Plants,Cotoneaster cf. horizontalis,.,*,N,,
Plants,Crataegus monogyna,3,*,.,,
Plants,Crataegus monogyna s. l.,.,*,.,,
Plants,Crataegus x media,.,1,.,,
Plants,Crataegus x subsphaericea,.,1,.,,
Plants,Crepis capillaris,3,*,.,,
Plants,Crocus vernus s. l.,.,*,N,,
Plants,Cystopteris fragilis,.,1,.,,
Plants,Dactylis glomerata,3,*,.,,
Plants,Daucus carota,.,*,.,,
Plants,Deschampsia cespitosa,.,*,.,,
Plants,Descurainia sophia,.,*,.,,
Plants,Digitaria ischaemum,.,*,.,,
Plants,Draba verna,7,*,.,,
Plants,Dryopteris carthusiana,3,*,.,,
Plants,Dryopteris dilatata,.,*,.,,
Plants,Dryopteris?lix-mas,70,*,.,,
Plants,Elaeagnus angustifolia,.,*,N,,
Plants,Elymus repens subsp. repens,.,*,.,,
Plants,Epilobium angustifolium,.,*,.,,
Plants,Epilobium ciliatum,.,*,N,,
Plants,Epilobium hirsutum,.,*,.,,
Plants,Epilobium montanum,.,*,.,,
Plants,Epilobium parvi?orum,.,*,.,,
Plants,Epilobium lamyi,3,*,N,,
Plants,Epilobium tetragonum,.,*,.,,
Plants,Epipactis helleborine,.,õ,.,,
Plants,Equisetum arvense,7,*,.,,
Plants,Eragrostis minor,.,*,N,,
Plants,Eranthis hyemalis,.,*,N,,
Plants,Erigeron annuus,7,*,N,,
Plants,Erigeron canadensis,.,*,N,,
Plants,Erysimum cheiranthoides,.,*,.,,
Plants,Euonymus europaea,7,*,.,,
Plants,Euphorbia cyparissias,.,*,.,,
Plants,Euphorbia peplus,.,*,.,,
Plants,Fagus sylvatica,7,*,.,,
Plants,Fallopia dumentorum,.,*,.,,
Plants,Festuca brevipila,.,*,.,,
Plants,Festuca pratensis,3,*,.,,
Plants,Festuca rubra,.,*,.,,
Plants,Ficaria verna,7,*,.,,
Plants,Filago arvensis,.,1,.,,
Plants,Fragaria ananassa,.,*,N,,
Plants,Fragaria vesca,.,*,.,,
Plants,Fraxinus excelsior,70,*,.,,
Plants,Gagea pratensis,7,*,.,,
Plants,Gagea villosa,3,*,.,,
Plants,Galanthus nivalis,3,*,N,,
Plants,Galanthus nivalis 'Flore Pleno',.,*,N,,
Plants,Galeopsis tetrahit,.,*,.,,
Plants,Galinsoga parvi?ora,.,*,N,,
Plants,Galinsoga quadriradiata,.,*,N,,
Plants,Galium album,.,*,.,,
Plants,Galium aparine,10,*,.,,
Plants,Galium boreale,.,3,.,,
Plants,Galium x pomeranicum,.,*,.,,
Plants,Geranium pusillum,.,*,.,,
Plants,Geranium robertianum,10,*,.,,
Plants,Geum urbanum,.,*,.,,
Plants,Glechoma hederacea,7,*,.,,
Plants,Hedera helix,100,*,(N),,
Plants,Helianthus annuus,3,*,N,,
Plants,Helichrysum arenarium,.,õ,.,,
Plants,Heracleum sphondylium,.,*,.,,
Plants,Herniaria glabra,.,*,.,,
Plants,Hieracium aurantiacum,.,*,N,,
Plants,Hieracium lachenalii,.,*,.,,
Plants,Hieracium laevigatum,.,*,.,,
Plants,Hieracium murorum,.,*,.,,
Plants,Hieracium pilosella,.,*,.,,
Plants,Hieracium sabaudum,.,*,.,,
Plants,Holcus lanatus,.,*,.,,
Plants,Hordeum murinum subsp. murinum.,.,*,.,,
Plants,Hosta spec.,3,*,N,,
Plants,Humulus lupulus,23,*,.,,
Plants,Hyacinthus orientalis,.,*,N,,
Plants,Hypericum perforatum,3,*,.,,
Plants,Hypochaeris radicata,3,*,.,,
Plants,Iberis sempervirens,.,*,N,,
Plants,Impatiens parvi?ora,50,*,N,,
Plants,Iris germanica,.,*,N,,
Plants,Juncus tenuis,.,*,N,,
Plants,Laburnum anagyroides,3,*,N,,
Plants,Lactuca serriola,.,*,.,,
Plants,Lamium album,3,*,.,,
Plants,Lamium amplexicaule,.,*,.,,
Plants,Lamium purpureum,7,*,.,,
Plants,Lapsana communis,.,*,.,,
Plants,Lathyrus latifolius,.,*,N,,
Plants,Lathyrus pratensis,7,*,.,,
Plants,Lepidium densi?orum,.,*,N,,
Plants,Lepidium ruderale,.,*,.,,
Plants,Lepidium virginicum,.,*,N,,
Plants,Leucanthemum ircutianum,3,*,.,,
Plants,Ligustrum vulgare,17,*,N,,
