WetBasin,BwooSrc,BwooSnk,BwooMate,RcatSrc,RcatSnk,Rcatmate,PcruSrc,PcruSnk,PcruMate,HverSnk,RclaSnk,RpalSnk,RutrSnk,DrainRes,DrainCom,,EmergCov,undev500X,DistFor_m,im,mg,mw,ug,uw,SizeAc,Alg,AvgCond,AVGTemp,AVG pH,,Size m^2
4Sea1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,,0,12.18605506,6.425184,26,31,9,0,34,0.57031922,0,80,25.4,7.33,,2308
4Sea3,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,,0,17.75452378,94.993968,57,34,9,0,0,0.745516936,0,66,24.16666667,7.882,,3017
4Sea4,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,,0,14.87274865,63.011304,45,44,12,0,0,0.815447759,0,72,24.03333333,8.782,,3300
4Sea5,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,,0,12.06129444,8.025384,28,20,28,0,24,0.189035617,0,155,25.15,7.11,,765
4Sea6,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,,0,11.66604296,11.786616,55,11,34,0,0,0.370410967,0,107,24.55,7.66,,1499
4SeaOv,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,,0,16.21613423,66.955416,37,63,1,0,0,3.968759532,0,90,21.93333333,6.892,,16061
4SeaTri,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,,1,17.72233883,26.477976,20,9,2,59,10,0.950614403,0,65,23.56666667,7.356,,3847
Aldi,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,,87,29.58277033,6.096,51,27,0,0,22,0.105019787,0,66,25.3,7.48,,425
AtlLg,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,3,33.28888316,15.066264,39,48,13,0,0,2.690730499,0,37,23.26666667,6.504,,10889
AtlSm,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,1,49.69081738,21.110448,62,38,0,0,0,0.57353159,0,130,23.16666667,7.238,,2321
Brigh,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,,89,52.16825572,0,0,7,0,0,93,1.236515329,0,29,21.7,5.916,,5004
CorpLg,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,,0,22.20613487,197.90664,39,48,13,0,0,0.152711126,0,60,22.53333333,6.636,,618
CorpSm,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,,1,40.65211957,114.51336,60,0,0,3,36,0.185081931,0,76,23.7,6.564,,749
EncLg,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,5.721481473,181.712616,19,57,0,0,23,0.65112268,1,129,22.2,7.214,,2635
EncSm,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,6.266885232,66.105024,48,33,0,0,19,0.524357619,1,130,22.06666667,7.438,,2122
Exec,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,,2,22.0617664,0,45,0,0,4,51,3.182964419,0,123,23.63333333,6.992,,12881
FairE,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,,0,8.075065442,17.154144,7,86,0,0,6,1.035371548,1,54,22.56666667,7.322,,4190
FairSm,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,6,12.64230142,184.641744,32,47,0,0,21,0.344712007,1,338,22.23333333,6.852,,1395
FairW,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,5.484840217,323.846952,31,54,15,0,0,2.488351191,1,214,22.96666667,7.794,,10070
Fawn,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,,1,53.92332368,5.373624,0,62,0,0,38,1.153240815,0,100,23.5,7.076,,4667
